accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,5524000000,5524000000,18000000,1773000000,2945000000,None,6804000000,10919000000,None,2024-12-31,34956000000,60068000000,60068000000,4181000000,None,60340000000,None,279000000,4927000000,29000000000,None,27634000000,None,USD,-7900000000,67841000000,6804000000,31000000,135161000000,25582000000,38749000000,131797000000,109579000000,93048000000,3325000000,None
None,None,12814000000,12814000000,18000000,1773000000,3688000000,None,7191000000,11155000000,None,2023-12-31,32293000000,55610000000,55610000000,4099000000,None,52194000000,None,304000000,4932000000,26962000000,None,28607000000,None,USD,-1000000000,60120000000,7191000000,2000000,134711000000,33002000000,37841000000,124314000000,101709000000,86473000000,10360000000,-6533000000
None,None,9201000000,9201000000,18000000,1778000000,2934000000,None,4136000000,11254000000,None,2022-12-31,32156000000,67439000000,67439000000,3579000000,None,59135000000,None,241000000,4401000000,22302000000,None,30655000000,4935000000,USD,4784000000,64191000000,4302000000,28000000,138805000000,28463000000,29538000000,121518000000,110342000000,91980000000,17254000000,-4594000000
None,None,9746000000,9746000000,18000000,1777000000,2882000000,None,12495000000,9977000000,None,2021-12-31,32379000000,75951000000,75951000000,3128000000,None,64189000000,None,277000000,4993000000,19639000000,None,28701000000,5110000000,USD,3127000000,77575000000,12673000000,84000000,146529000000,27928000000,35194000000,131093000000,118601000000,95899000000,15408000000,-3143000000
None,None,8449000000,8449000000,18000000,1673000000,2276000000,None,8502000000,8822000000,None,2020-12-31,33124000000,82876000000,82876000000,3310000000,None,77554000000,None,293000000,3562000000,17708000000,None,27607000000,5248000000,USD,1055000000,87063000000,8677000000,30000000,150565000000,24173000000,28661000000,137468000000,126392000000,108807000000,13076000000,-2264000000
None,None,39924000000,39924000000,18000000,1484000000,1452000000,None,3753000000,5428000000,None,2019-12-31,15604000000,18649000000,18649000000,1813000000,None,62975000000,None,93000000,2354000000,10380000000,None,17597000000,2962000000,USD,4717000000,67088000000,3753000000,0,89115000000,49519000000,15585000000,97287000000,39596000000,81702000000,-8172000000,-24504000000
None,None,7289000000,7289000000,18000000,1546000000,1546000000,None,5308000000,5384000000,None,2018-12-31,15663000000,21233000000,21233000000,1605000000,None,35002000000,None,1420000000,1895000000,10385000000,None,14490000000,2883000000,USD,3368000000,40310000000,5308000000,772000000,59352000000,16945000000,17239000000,67798000000,42407000000,50559000000,-8446000000,-24108000000
None,None,9303000000,9303000000,18000000,1603000000,1474000000,None,6415000000,5088000000,None,2017-12-31,15785000000,27559000000,27559000000,1605000000,None,30953000000,None,2090000000,4741000000,8752000000,None,15605000000,2803000000,USD,5459000000,37368000000,6415000000,486000000,70786000000,21223000000,16641000000,65689000000,49563000000,49048000000,5097000000,-11923000000
None,None,5100000000,5100000000,18000000,1631000000,1407000000,None,402000000,4758000000,None,2016-12-31,15416000000,28897000000,28897000000,1444000000,None,36440000000,None,1783000000,3562000000,7972000000,None,8352000000,2604000000,USD,4378000000,36842000000,402000000,1323000000,66099000000,16187000000,9781000000,61463000000,49912000000,51682000000,4636000000,-10852000000
None,None,8399000000,8399000000,17000000,1637000000,1597000000,None,2025000000,4730000000,None,2015-12-31,13168000000,19709000000,19709000000,1719000000,None,29240000000,None,145000000,1458000000,6866000000,None,3695000000,2565000000,USD,2248000000,31671000000,2431000000,8000000,53050000000,16314000000,10894000000,49105000000,36736000000,38211000000,3945000000,-8839000000
None,None,8348000000,8348000000,16000000,1610000000,1401000000,None,4014000000,3735000000,None,2014-12-31,5862000000,1513000000,1513000000,1124000000,None,10565000000,None,92000000,2848000000,5553000000,None,None,2485000000,USD,535000000,15011000000,4439000000,26000000,27513000000,16081000000,11393000000,25771000000,11432000000,14378000000,1742000000,-972000000
None,None,9595000000,9595000000,16000000,1604000000,933000000,None,None,4803000000,None,2013-12-31,6277000000,1890000000,1890000000,1150000000,None,14292000000,None,118000000,2000000000,5515000000,None,3535000000,2298000000,USD,1567000000,14723000000,431000000,300000000,29198000000,17848000000,6879000000,24706000000,11350000000,17827000000,4492000000,-320000000
None,None,5901000000,5901000000,3713000000,1577000000,556000000,None,None,4298000000,None,2012-12-31,6130000000,2323000000,2323000000,1091000000,None,14630000000,None,None,1989000000,5178000000,None,None,2247000000,USD,None,15672000000,1042000000,2075000000,27008000000,15354000000,6776000000,23645000000,11654000000,16869000000,3363000000,None
None,None,27000000,27000000,11957000000,1625000000,417000000,None,None,3817000000,None,2011-12-31,6100000000,2910000000,2910000000,872000000,None,37000000,None,None,2012000000,5464000000,None,None,2144200000,USD,None,48000000,16000000,626000000,19521000000,7354000000,5897000000,7589000000,12167000000,1692000000,11932000000,None
None,None,9644000,9644000,None,1625000000,356784000,None,None,3373104000,None,2010-12-31,6197182000,3691178000,3691178000,836270000,None,None,None,None,3998344000,3404464000,None,None,2357563000,USD,None,None,None,1131000,21134705000,8218493000,3761248000,5431706000,12916212000,1670458000,15702999000,None
None,None,None,None,None,1625000000,None,None,None,None,None,2009-12-31,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,None,None,None,None
