capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
974000000,-5211000000,-20820000000,None,None,-319000000,None,None,None,8386000000,11025000000,11025000000,None,2024-12-31,4286000000,18806000000,None,None,None,None,None,None,None,None,None,-1708000000,None,None,USD
777000000,-17222000000,-2009000000,None,None,-417000000,None,None,None,8698000000,10539000000,10539000000,None,2023-12-31,4820000000,22839000000,None,None,None,None,None,None,None,None,None,-1972000000,None,None,USD
695000000,-24803000000,-623000000,-483000000,None,-686000000,None,None,-1455000000,8467000000,10043000000,10043000000,None,2022-12-31,11845000000,24943000000,None,None,None,None,None,None,None,None,None,-1487000000,None,None,USD
787000000,-19039000000,-2344000000,1297000000,-97000000,-142000000,None,None,-1321000000,8521000000,9261000000,9261000000,None,2021-12-31,11549000000,22777000000,None,None,None,None,None,None,None,None,None,-934000000,None,None,USD
798000000,-11501000000,-37557000000,-31475000000,-5000000,-40000000,None,None,-929000000,6471000000,7716000000,7716000000,None,2020-12-31,4622000000,17588000000,None,None,None,None,None,None,None,None,None,-978000000,None,None,USD
552000000,18708000000,596000000,32635000000,7000000,-231000000,None,None,-74000000,2017000000,6366000000,6366000000,None,2019-12-31,7882000000,13324000000,None,None,None,None,None,None,None,None,None,-629000000,None,None,USD
638000000,-14396000000,-1006000000,-2014000000,-39000000,-226000000,None,None,-591000000,1765000000,5580000000,5580000000,None,2018-12-31,5687000000,13427000000,None,None,None,None,None,None,None,None,None,-12014000000,None,None,USD
529000000,-5512000000,-274000000,4203000000,29000000,93000000,None,None,-391000000,1501000000,4107000000,4107000000,None,2017-12-31,5309000000,9960000000,None,None,None,None,None,None,None,None,None,-1410000000,None,None,USD
479000000,-3928000000,-6074000000,-3299000000,-338000000,-38000000,None,None,-71000000,1189000000,3717000000,3717000000,None,2016-12-31,5953000000,7041000000,None,None,None,None,None,None,None,None,None,-6033000000,None,None,USD
532000000,5752000000,-12936000000,51000000,-300000000,-434000000,None,None,-1076000000,836000000,3294000000,3294000000,None,2015-12-31,5144000000,7535000000,None,None,None,None,None,None,None,None,None,-7586000000,None,None,USD
612000000,-3293000000,-926000000,-1247000000,-577000000,-203000000,None,None,-172000000,786000000,2661000000,2661000000,None,2014-12-31,1774000000,3549000000,None,None,None,None,None,None,None,None,None,-665000000,None,None,USD
491000000,-3442000000,879000000,3694000000,-10000000,-56000000,None,None,681000000,897000000,2555000000,2555000000,None,2013-12-31,4128000000,6267000000,None,None,None,None,None,None,None,None,None,-320000000,None,None,USD
333000000,1931000000,-2418000000,None,None,-203000000,None,None,None,1150000000,None,None,None,2012-12-31,5275000000,6345000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
355515000,-6783021000,553899000,None,None,-87602000,None,None,None,1272194000,None,None,None,2011-12-31,3433128000,6246960000,None,None,None,None,None,None,None,None,None,None,None,None,USD
448000000,65000000,-5031000000,None,None,-73000000,None,None,None,1184000000,None,None,None,2010-12-31,4178000000,4976000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
312565000,-4881151000,-486355000,None,None,165347000,None,None,None,697492000,None,None,None,2009-12-31,4636515000,5367336000,None,None,None,None,None,None,None,None,None,None,None,None,USD
