comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,16904000000,16904000000,None,8386000000,6524000000,14910000000,2024-12-31,39430000000,3716000000,-570000000,None,2808000000,648000000,None,4278000000,4286000000,-2160000000,None,30293000000,9137000000,None,USD,12791000000,11089000000,56334000000
None,20415000000,20415000000,None,8698000000,8474000000,17172000000,2023-12-31,33903000000,6250000000,1377000000,None,2224000000,540000000,None,4863000000,4873000000,-1684000000,None,21146000000,12757000000,None,USD,7675000000,10704000000,54318000000
None,17414000000,17414000000,None,8467000000,15707000000,24174000000,2022-12-31,40640000000,13477000000,1632000000,None,2230000000,186000000,None,11836000000,11845000000,-2044000000,None,22523000000,18117000000,-2596000000,USD,6510000000,13260000000,58054000000
None,17446000000,17446000000,None,8521000000,15412000000,23933000000,2021-12-31,38751000000,12989000000,1440000000,None,2423000000,39000000,None,11542000000,11549000000,-2384000000,None,20827000000,17924000000,-2551000000,USD,8046000000,10249000000,56197000000
None,15387000000,15387000000,None,6471000000,5852000000,12323000000,2020-12-31,30417000000,3398000000,-1224000000,None,2454000000,174000000,None,4616000000,4622000000,-2280000000,None,19054000000,11363000000,-5685000000,USD,7755000000,8067000000,45804000000
None,7439000000,7439000000,None,2017000000,10210000000,12227000000,2019-12-31,25827000000,8426000000,544000000,None,1784000000,275000000,None,7882000000,7882000000,-1509000000,None,12844000000,12983000000,-3048000000,USD,6792000000,5842000000,33266000000
None,7718000000,7718000000,None,1765000000,6545000000,8310000000,2018-12-31,25035000000,5197000000,-490000000,None,1348000000,204000000,None,5687000000,5687000000,-1144000000,None,18652000000,6383000000,-42000000,USD,10753000000,6253000000,32753000000
None,7040000000,7040000000,None,1501000000,8877000000,10378000000,2017-12-31,21176000000,7727000000,2418000000,None,1150000000,146000000,None,5309000000,5309000000,-1004000000,None,11629000000,9545000000,-861000000,USD,4982000000,5402000000,28216000000
None,5833000000,5833000000,None,1189000000,8931000000,10120000000,2016-12-31,19805000000,7884000000,1931000000,None,1047000000,82000000,None,5953000000,5953000000,-965000000,None,10466000000,9340000000,-535000000,USD,4366000000,5073000000,25638000000
None,4500000000,4500000000,None,836000000,7364000000,8200000000,2015-12-31,18359000000,6645000000,1501000000,None,719000000,879000000,None,5144000000,5144000000,None,None,10822000000,7537000000,-206000000,USD,4285000000,4959000000,22859000000
None,4426000000,4426000000,None,786000000,2798000000,3584000000,2014-12-31,15534000000,2369000000,595000000,None,429000000,None,None,1774000000,1774000000,None,None,11771000000,3411000000,-651000000,USD,3297000000,5359000000,19960000000
None,4581000000,4581000000,None,897000000,5631000000,6528000000,2013-12-31,14209000000,5332000000,1204000000,None,299000000,None,None,4128000000,4128000000,None,None,8207000000,5664000000,-54000000,USD,2855000000,4726000000,18790000000
None,4508000000,4508000000,None,1150000000,5829000000,6979000000,2012-12-31,13872000000,5725000000,450000000,None,104000000,None,None,5275000000,None,None,None,7767000000,5817000000,None,USD,2778000000,4989000000,18380000000
None,4639393000,4639393000,None,1272194000,3667806000,4940000000,2011-12-31,12804558000,3668527000,235399000,None,0,None,None,3433128000,None,None,None,8511326000,3620000000,None,USD,2617506000,5893820000,17443951000
None,4293000000,4293000000,None,1184000000,4836000000,6020000000,2010-12-31,11345000000,4836000000,658000000,None,0,None,None,4178000000,None,None,None,6315000000,4717000000,None,USD,2495000000,3820000000,15638000000
None,4056390000,4056390000,None,697492000,5101794000,5799286000,2009-12-31,10157806000,5950317000,1313802000,None,0,None,None,4636515000,None,None,None,5056012000,4931794000,None,USD,1707440000,3348572000,14214196000
