accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,11478729000,11478729000,71000,632435108,2695589000,None,None,14985073000,None,2025-08-31,22536416000,2410755000,2410755000,None,None,None,None,None,2430942000,10739851000,None,None,None,None,21018731000,8182866000,843487000,5945000,65394897000,28900689000,20352097000,33153930000,36494208000,12801833000,31195446000,None
None,3095692000,5004469000,5004469000,72000,635940000,2743807000,None,946229000,13664847000,None,2024-08-31,21120179000,2904031000,2904031000,None,None,78628000,None,334664000,2183069000,8665882000,None,939198000,4278515000,USD,23082423000,4120549000,1672431000,5396000,55932363000,20857781000,18976127000,26764115000,35074582000,7787988000,28288646000,None
None,3001131000,9045032000,9045032000,72000,638591616,2491173000,None,104810000,12227186000,None,2023-08-31,15573003000,2072957000,2072957000,None,None,43093000,None,197443000,2105138000,9094708000,None,4423867000,4167486000,USD,19316224000,3149034000,795227000,4575000,51245305000,23381931000,18009038000,24786712000,27863374000,6777674000,25692839000,None
None,3270688000,7889833000,7889833000,72000,642839181,2559485000,None,9175000,11776775000,None,2022-08-31,13133293000,1930808000,1930808000,None,None,45893000,None,317972000,1940290000,9122719000,None,4383823000,4677675000,USD,18203842000,3325756000,716773000,3973000,47263390000,21610871000,17523496000,24516302000,25652519000,6992806000,22106097000,-6678037000
None,3441081000,8168174000,8168174000,72000,645909042,2274057000,None,12080000,9728212000,None,2021-08-31,11125861000,1710938000,1710938000,None,None,53473000,None,329526000,1765831000,7416436000,None,4619472000,4821624000,USD,13988748000,3506634000,756244000,4294000,43175843000,19666511000,15708867000,23078729000,23509332000,7369862000,19529454000,-3408491000
None,3423641000,8415330000,8415330000,72000,647797003,1349874000,None,7820000,7846892000,None,2020-08-31,7709820000,1029218000,1029218000,1,None,54052000,None,324514000,1393225000,5796147000,None,3324560000,1545568000,USD,12375533000,3485513000,763877000,94309000,37078593000,17749756000,12662590000,19579420000,19328837000,6916830000,17000536000,-2565761000
None,None,6126853000,6126853000,72000,650204873,1646641000,None,6411000,8095071000,None,2019-08-31,6205550000,840779000,840779000,1,None,16247000,None,240313000,1225364000,5841992000,None,3185590000,1391166000,USD,10421538000,22658000,6411000,3313000,29789880000,15450601000,11061896000,14962189000,14339279000,3900293000,14409008000,-1388376000
None,None,5061360000,5061360000,72000,655296150,1348802000,None,5337000,7496368000,None,2018-08-31,5383012000,687110000,687110000,0,None,19676000,None,215532000,1024639000,5462045000,None,2809215000,1264020000,USD,7952413000,25013000,5337000,3192000,24449083000,13585559000,10151751000,13724495000,10863524000,3572744000,10364753000,-2116948000
None,None,4126860000,4126860000,71000,660463227,1525065000,None,2907000,6885257000,None,2017-08-31,5002352000,710382000,710382000,0,None,22163000,None,211610000,1082161000,4534911000,None,2332902000,1140598000,USD,7081855000,25070000,2907000,3011000,22689890000,12097289000,9824279000,12979690000,10592601000,3155411000,8949477000,-1649090000
None,None,4905609000,4905609000,72000,667770274,1280821000,None,2773000,6222399000,None,2016-08-31,3609437000,510151000,510151000,0,None,24457000,None,198633000,845339000,4509280000,None,2650415000,956542000,USD,7879960000,27230000,2773000,2875000,20609004000,11976222000,8878924000,12419628000,8632782000,3540704000,7555262000,-2591907000
