capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
600039000,-2948334000,-2019650000,None,None,None,None,None,None,1705457000,3700169000,3700169000,None,2025-08-31,7678433000,11474399000,None,None,None,None,None,None,None,None,None,-4619497000,None,None,USD
516509000,-6063508000,-7061818000,None,None,None,None,None,None,1077997000,3241479000,3241479000,None,2024-08-31,7419197000,9131027000,None,None,None,None,None,None,None,None,None,-4524646000,None,None,USD
528172000,-5645326000,-2622470000,None,None,-87669000,None,None,None,2281085000,2827394000,2827394000,None,2023-08-31,7003530000,9524268000,None,None,None,None,None,None,None,None,None,-4330403000,None,None,USD
717998000,-5311026000,-4260629000,-30526000,None,2411735000,None,None,-2411735000,2088216000,2457306000,2457306000,None,2022-08-31,6988960000,9541129000,None,None,None,None,None,None,None,None,None,-4116378000,None,None,USD
580132000,-4926337000,-4309766000,-260955000,None,1471613000,None,None,-1471613000,1891242000,2236094000,2236094000,None,2021-08-31,5990545000,8975148000,None,None,None,None,None,None,None,None,None,-3703124000,None,None,USD
599132000,-4049092000,-1894519000,2288477000,16936000,-721500000,None,None,721500000,1773124000,2037733000,2037733000,None,2020-08-31,5185313000,8215152000,None,None,None,None,None,None,None,None,None,-2915847000,None,None,USD
599009000,-3767171000,-1755576000,1065493000,-38713000,-114257000,None,None,-526297000,892760000,1861725000,1861725000,None,2019-08-31,4846241000,6626953000,None,None,None,None,None,None,None,None,None,-2691114000,None,None,USD
619187000,-3709025000,-1249604000,934500000,-133559000,273963000,None,None,-710804000,926776000,1708724000,1708724000,None,2018-08-31,4214594000,6026688000,None,None,None,None,None,None,None,None,None,-2639094000,None,None,USD
515919000,-3560235000,-2233879000,-778749000,42326000,-685121000,None,None,-73322000,801789000,1567578000,1567578000,None,2017-08-31,3634932000,4973039000,None,None,None,None,None,None,None,None,None,-2649051000,None,None,USD
496566000,-3396933000,-610350000,544843000,-22989000,-611101000,None,None,-370068000,729052000,1438138000,1438138000,None,2016-08-31,4349603000,4575115000,None,None,None,None,None,None,None,None,None,-2604989000,None,None,USD
395017000,-3202296000,-1170384000,-560539000,-279996000,-645298000,None,None,-427125000,645923000,1353471000,1353471000,None,2015-08-31,3273789000,4092137000,None,None,None,None,None,None,None,None,None,-2452989000,None,None,USD
321870000,-3165416000,-1056411000,-710580000,25162000,-665716000,None,None,-704532000,620743000,1254916000,1254916000,None,2014-08-31,3175958000,3486085000,None,None,None,None,None,None,None,None,None,-2559434000,None,None,USD
369593000,-3065629000,-1156215000,-1008641000,-89925000,-887670000,None,None,-309694000,593028000,1121738000,1121738000,None,2013-08-31,3554519000,3303128000,None,None,None,None,None,None,None,None,None,-2544352000,None,None,USD
371974000,-2558855000,-535385000,939448000,-223164000,-339971000,None,None,-128459000,593545000,950857000,950857000,None,2012-08-31,2824933000,4256852000,None,None,None,None,None,None,None,None,None,-2098841000,None,None,USD
403714000,-2121504000,-703387000,862786000,245938000,73189000,None,None,-620481000,513256000,643642000,643642000,None,2011-08-31,2553240000,3441739000,None,None,None,None,None,None,None,None,None,-2171877000,None,None,USD
238215000,-2429026000,-273765000,296630000,-92199000,652665000,None,None,-377233000,474688000,824148000,824148000,None,2010-08-31,2060459000,3091620000,None,None,None,None,None,None,None,None,None,-2070875000,None,None,USD
243455000,-1850303000,-245174000,None,None,-242767000,None,None,None,498591000,378446000,378446000,None,2009-08-31,1589963000,3160202000,None,None,None,None,None,None,None,None,None,-1855384000,None,None,USD
320368000,-2161517000,-323994000,None,None,None,None,None,None,491421000,333685000,333685000,None,2008-08-31,1691751000,2803248000,None,None,None,None,None,None,None,None,None,-2261234000,None,None,USD
364371000,-2127706000,-350448000,None,None,None,None,None,None,444499000,293059000,293059000,None,2007-08-31,1243148000,2630565000,None,None,None,None,None,None,None,None,None,-2307947000,None,None,USD
306174000,-1934467000,-252500000,None,None,None,None,None,None,320610000,267973000,267973000,None,2006-08-31,973329000,2667989000,None,None,None,None,None,None,None,None,None,-2087027000,None,None,USD
