comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,47437576000,47437576000,None,2441594000,10498948000,12940542000,2025-08-31,22235401000,10270393000,2437993000,None,228555000,336324000,None,7678433000,7832400000,107769000,None,12009737000,10225664000,None,USD,None,4350968000,69672977000
None,43734147000,43734147000,None,1077997000,9758292000,10836289000,2024-08-31,21162317000,9699323000,2280126000,None,58969000,272256000,None,7264787000,7419197000,213287000,None,11566470000,9595847000,None,USD,1150430000,4281316000,64896464000
None,43380138000,43380138000,None,1061616000,9186857000,10248473000,2023-08-31,20731607000,9139332000,2135802000,None,47525000,232884000,None,6871557000,7003530000,232884000,None,11921718000,8809889000,None,USD,1298657000,4275943000,64111745000
None,41892766000,41892766000,None,1030645000,9243487000,10274132000,2022-08-31,19701539000,9196167000,2207207000,None,47320000,45133000,None,6877169000,6988960000,-2187000,None,10334358000,9367181000,-123694000,USD,1123296000,4225957000,61594305000
None,34169261000,34169261000,None,1891242000,7820608000,9711850000,2021-08-31,16364128000,7761116000,1770571000,None,59492000,26127000,None,5906809000,5990545000,-26127000,None,8742599000,7621529000,199079000,USD,1118320000,3454362000,50533389000
None,30350881000,30350881000,None,1773124000,6807402000,8580526000,2020-08-31,13976158000,6774331000,1589018000,None,33071000,36260000,None,5107839000,5185313000,36260000,None,7462514000,6513644000,293758000,USD,870611000,2836585000,44327039000
None,29900325000,29900325000,None,892760000,6274760000,7167520000,2019-08-31,13314688000,6251797000,1405556000,None,22963000,87508000,None,4779112000,4846241000,64545000,None,7009614000,6305074000,-30314000,USD,799734000,2562158000,43215013000
None,28499170000,28499170000,None,926776000,5827632000,6754408000,2018-08-31,12442913000,5808093000,1593499000,None,19539000,56337000,None,4059907000,4214594000,36798000,None,6594585000,5898779000,-13409000,USD,790779000,2403315000,40992534000
None,25105349000,25105349000,None,801789000,4631577000,5433366000,2017-08-31,11030492000,4616032000,981100000,None,15545000,37940000,None,3445149000,3634932000,22395000,None,5880090000,5191402000,-1032000,USD,704317000,2127777000,36176841000
None,24520234000,24520234000,None,729052000,5619830000,6348882000,2016-08-31,10277427000,5603572000,1253969000,None,16258000,30484000,None,4111892000,4349603000,14226000,None,5466982000,4810445000,809385000,USD,643407000,1886543000,34797661000
None,23105185000,23105185000,None,645923000,4425108000,5071031000,2015-08-31,9809239000,4410530000,1136741000,None,14578000,19413000,None,3053581000,3273789000,None,None,5373370000,4435869000,-10761000,USD,625541000,1868325000,32914424000
None,22190212000,22190212000,None,620743000,4315322000,4936065000,2014-08-31,9684466000,4297701000,1121743000,None,17621000,None,None,2941498000,3175958000,None,None,5383954000,4300512000,14810000,USD,639513000,1819136000,31874678000
None,21010110000,21010110000,None,593028000,4353329000,4946357000,2013-08-31,9384175000,4339294000,784775000,None,14035000,None,None,3281878000,3554519000,None,None,5045495000,4338680000,14649000,USD,715094000,1835646000,30394285000
None,20790284000,20790284000,None,593545000,3919235000,4512780000,2012-08-31,8987701000,3904174000,1079241000,None,15061000,None,None,2553510000,2824933000,None,None,5116153000,3871548000,47687000,USD,559611000,1810984000,29777985000
None,18966195000,18966195000,None,513256000,3527022000,4040278000,2011-08-31,8386719000,3512022000,958782000,None,15000000,None,None,2277677000,2553240000,None,None,4916262000,3470457000,56565000,USD,503222000,1820277000,27352914000
None,15843331000,15843331000,None,474688000,2929046000,3403734000,2010-08-31,7250747000,2914369000,853910000,None,14677000,None,None,1780656000,2060459000,None,None,4335902000,2914845000,14201000,USD,383700000,1668306000,23094078000
None,16329854000,16329854000,None,498591000,2691857000,3190448000,2009-08-31,6841114000,2677736000,739590000,None,14121000,None,None,1589963000,None,None,None,4197249000,2643865000,None,USD,434937000,1788514000,23170968000
None,18128241000,18128241000,None,491421000,3130466000,3621887000,2008-08-31,7185585000,3107762000,910574000,None,22704000,None,None,1691751000,None,None,None,4174003000,3011582000,None,USD,390168000,4151131000,25313826000
None,15411274000,15411274000,None,444499000,2518985000,2963484000,2007-08-31,6041473000,2618918000,895861000,None,0,None,None,1243148000,None,None,None,3548854000,2492619000,None,USD,307357000,3522488000,21452747000
None,13234327000,13234327000,None,320610000,1793093000,2113703000,2006-08-31,4994039000,1923667000,490535000,None,0,None,None,973329000,None,None,None,3152980000,1841059000,None,USD,298354000,3200946000,18228366000
