accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,428000000,7613000000,7613000000,None,450000000,361000000,None,1499000000,2072000000,None,2024-11-30,12788000000,782000000,782000000,None,None,4129000000,None,None,1274000000,2215000000,None,446000000,None,USD,38470000000,6056000000,1574000000,273000000,30230000000,11232000000,10521000000,16125000000,18998000000,5604000000,14105000000,None
None,446000000,7141000000,7141000000,None,459000000,314000000,None,None,2224000000,None,2023-11-30,12805000000,1088000000,1088000000,None,None,3634000000,None,None,1018000000,1942000000,None,376000000,None,USD,33346000000,4080000000,73000000,701000000,29779000000,11084000000,8251000000,13261000000,18695000000,5010000000,16518000000,None
None,504000000,4236000000,4236000000,None,471000000,379000000,None,500000000,2065000000,None,2022-11-30,12787000000,1449000000,1449000000,None,None,3629000000,None,None,835000000,1790000000,None,265000000,1908000000,USD,28319000000,4633000000,587000000,1860000000,27165000000,8996000000,8128000000,13114000000,18169000000,4986000000,14051000000,-23843000000
None,550000000,3844000000,3844000000,None,481000000,312000000,None,None,1878000000,None,2021-11-30,12668000000,1820000000,1820000000,None,None,4123000000,None,None,993000000,1736000000,None,252000000,2116000000,USD,23905000000,4673000000,97000000,1954000000,27241000000,8669000000,6932000000,12444000000,18572000000,5512000000,14797000000,-17399000000
None,591000000,4478000000,4478000000,None,485000000,306000000,None,None,1398000000,None,2020-11-30,10742000000,1359000000,1359000000,None,None,4117000000,None,None,756000000,1422000000,None,1381000000,1517000000,USD,19611000000,4708000000,92000000,1514000000,24284000000,8146000000,5512000000,11020000000,16138000000,5508000000,13264000000,-13546000000
None,None,2650000000,2650000000,61000,491572000,209000000,None,3149343000,1535000000,None,2019-11-30,10691000000,1721000000,1721000000,None,None,988924000,None,None,783000000,1399438000,None,789158000,1293015000,USD,14829000000,4138000000,3149000000,1527000000,20762000000,6495000000,8191000000,10232000000,14267000000,2041000000,10530000000,-10615234000
None,None,1642775000,1642775000,61000,497843000,186258000,None,None,1315578000,None,2018-11-30,10581048000,2069001000,2069001000,1,None,4124800000,None,None,312499000,1105660000,None,796310000,1075072000,USD,11815597000,4218034000,93234000,1586187000,18768682000,4857039000,4301126000,9406568000,13911643000,5105442000,9362114000,-7990751000
None,None,2306072000,2306072000,61000,501123000,113538000,None,1882479000,1217968000,None,2017-11-30,5821561000,385658000,385658000,1,None,1881421000,None,0,210071000,944223000,None,298276000,936976000,USD,9573870000,1945167000,63746000,3513702000,14535556000,7247813000,3527457000,6075687000,7287743000,2548230000,8459869000,-6084436000
None,None,1011315000,1011315000,61000,504299000,88024000,None,1892200000,833033000,None,2016-11-30,5406474000,414405000,414405000,0,None,1902068000,None,80439000,245441000,696517000,None,281785000,816264000,USD,8114517000,1983543000,81475000,3749985000,12707114000,5839774000,2811635000,5282279000,6867340000,2470644000,7424835000,-5132472000
None,None,876560000,876560000,61000,507164000,93307000,None,1907231000,672006000,None,2015-11-30,5366881000,510007000,510007000,0,None,1907231000,None,80439000,161802000,651888000,None,344802000,787421000,USD,7253431000,1941392000,34161000,3111524000,11726472000,4821892000,2213556000,4724892000,6904580000,2511336000,7001580000,-4267715000
None,None,1117400000,1117400000,61000,508480000,68377000,None,599960000,591800000,None,2014-11-30,4721962000,469662000,469662000,95586000,None,911086000,None,80439000,271037000,701181000,None,204687000,785123000,USD,6924294000,1517584000,606498000,2622091000,10785829000,4602328000,2494435000,4009924000,6183501000,1515489000,6775905000,-3918851000
None,None,834556000,834556000,61000,513476000,62096000,None,None,599820000,None,2013-11-30,4771981000,605254000,605254000,102247000,None,1499297000,None,207239000,272357000,648434000,None,201817000,659774000,USD,6928964000,1531918000,29352000,2339196000,10380298000,4045929000,1525648000,3655664000,6334369000,2130016000,6724634000,-3643190000
None,None,1425052000,1425052000,61000,502721000,49759000,None,None,617233000,None,2012-11-30,4133259000,545036000,545036000,59537000,None,1496938000,None,207239000,241480000,599427000,None,217443000,664302000,USD,7003003000,1508155000,11217000,2113301000,10040229000,4397066000,1271752000,3375047000,5643163000,2103295000,6665182000,-3407259000
None,None,989500000,989500000,61000,503921000,86660000,None,None,634373000,None,2011-11-30,3849217000,545526000,545526000,0,None,1505096000,None,207239000,225386000,635871000,None,215290000,527828000,USD,6528735000,1514308000,9212000,1922192000,8991183000,3771451000,1250779000,3208070000,5219732000,1957291000,5783113000,-3529529000
None,None,749891000,749891000,61000,525824000,52432000,None,None,554328000,None,2010-11-30,3641844000,528784000,528784000,0,None,1513662000,None,207239000,193707000,572394000,None,214984000,448881000,USD,5980914000,1542154000,8799000,1718124000,8141148000,3216050000,1068088000,2948761000,4925098000,1880673000,5192387000,-3264294000
None,None,999487000,999487000,61000,530610000,58904000,None,None,410879000,None,2009-11-30,3494589000,527388000,527388000,0,None,1000000000,None,207239000,158272000,457439000,None,257913000,388132000,USD,5299914000,1000000000,46634000,904986000,7282237000,2473624000,844553000,2391669000,4808613000,1547116000,4890568000,-2823914000
None,None,886450000,886450000,61000,548553000,55840000,None,None,467234000,None,2008-11-30,2134730000,214960000,214960000,None,None,350000000,None,None,248667000,435659000,None,None,313037000,USD,4913406000,350000000,435659000,1132752000,5821598000,2735103000,762599000,1411244000,3086495000,648645000,4410354000,-2957154000
None,None,946422000,946422000,61000,598775000,66867000,None,None,362811000,None,2007-11-30,2148102000,402619000,402619000,None,None,None,None,None,216312000,387167000,None,None,289758000,USD,4041592000,None,387167000,1047432000,5713679000,2572977000,852410000,1063697000,3140702000,211287000,4649982000,-1760588000
None,None,772500000,772500000,61000,612222000,55031000,None,None,408666000,None,2006-11-30,2149494000,506405000,506405000,None,None,None,None,None,194924000,313638000,None,None,227197000,USD,3317785000,None,313638000,1508379000,5962548000,2884469000,677347000,810672000,3078079000,133325000,5151876000,-623924000
None,None,420818000,420818000,60000,508070000,41042000,None,None,204749000,None,2005-11-30,118683000,135160000,135160000,None,None,None,None,None,102995000,226985000,None,None,103549000,USD,2838560000,None,226985000,1280016000,2440315000,2008578000,480395000,575989000,431737000,95594000,1864326000,-2324072000
