capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
232000000,-7724000000,149000000,None,None,None,None,None,None,894000000,None,None,None,2024-11-30,5560000000,8056000000,None,None,None,None,None,None,None,None,None,-9500000000,None,None,USD
360000000,-5182000000,776000000,None,None,208000000,None,None,None,872000000,None,None,None,2023-11-30,5428000000,7302000000,None,None,None,None,None,None,None,None,None,-4400000000,None,None,USD
442000000,-6825000000,-570000000,443000000,None,None,None,None,-198000000,856000000,None,None,None,2022-11-30,4756000000,7838000000,None,None,None,None,None,None,None,None,None,-6550000000,None,None,USD
330000000,-4301000000,-3537000000,-634000000,-26000000,450000000,None,None,-430000000,788000000,None,None,None,2021-11-30,4822000000,7230000000,None,None,None,None,None,None,None,None,None,-3950000000,None,None,USD
419000000,-3488000000,-414000000,1828000000,3000000,-202000000,None,None,106000000,757000000,None,None,None,2020-11-30,5260000000,5727000000,None,None,None,None,None,None,None,None,None,-3050000000,None,None,USD
333981000,-2946044000,-455085000,1007446000,-12739000,164697000,None,None,-187826000,624748000,None,None,None,2019-11-30,2951458000,4421314000,None,None,None,None,None,None,None,None,None,-2750000000,None,None,USD
266579000,-5568000,-4685000000,-663297000,-1738000,445796000,None,None,-1983000,346492000,None,None,None,2018-11-30,2590774000,4029304000,None,None,None,None,None,None,None,None,None,-2050000000,None,None,USD
178122000,-1183735000,-442877000,1294757000,8516000,232359000,None,None,-187173000,325997000,None,None,None,2017-11-30,1693954000,2912853000,None,None,None,None,None,None,None,None,None,-1100000000,None,None,USD
203805000,-1090706000,-960033000,134755000,-14234000,166697000,None,None,-160416000,331535000,None,None,None,2016-11-30,1168782000,2199728000,None,None,None,None,None,None,None,None,None,-1075000000,None,None,USD
184936000,-200687000,-1488358000,-240840000,-21297000,56632000,None,None,-79502000,339473000,None,None,None,2015-11-30,629551000,1469502000,None,None,None,None,None,None,None,None,None,-625000000,None,None,USD
148332000,-507462000,-490707000,282844000,-6648000,-14139000,None,None,7928000,313590000,None,None,None,2014-11-30,253551000,1287661000,None,None,None,None,None,None,None,None,None,-600000000,None,None,USD
188358000,-559138000,-1177803000,-590496000,-5241000,-40781000,None,None,33649000,321227000,None,None,None,2013-11-30,289985000,1151686000,None,None,None,None,None,None,None,None,None,-1100000000,None,None,USD
271076000,-234723000,-834662000,435552000,5357000,-59224000,None,None,45166000,299766000,None,None,None,2012-11-30,832775000,1499580000,None,None,None,None,None,None,None,None,None,-405000000,None,None,USD
210294000,-550358000,-757402000,239609000,4055000,25463000,None,None,-81065000,270205000,None,None,None,2011-11-30,832847000,1543314000,None,None,None,None,None,None,None,None,None,-695015000,None,None,USD
169642000,-215262000,-1159294000,-249596000,11965000,12384000,None,None,-134276000,292738000,None,None,None,2010-11-30,774680000,1112995000,None,None,None,None,None,None,None,None,None,-850020000,None,None,USD
119592000,477658000,-1497096000,113037000,14703000,69668000,None,None,172287000,282423000,None,None,None,2009-11-30,386508000,1117772000,None,None,None,None,None,None,None,None,None,-350013000,None,None,USD
111792000,-1021567000,-304681000,None,None,None,None,None,None,270269000,None,None,None,2008-11-30,871814000,1280682000,None,None,None,None,None,None,None,None,None,-1722715000,None,None,USD
132075000,-1350390000,83294000,None,None,None,None,None,None,315464000,None,None,None,2007-11-30,723807000,1439303000,None,None,None,None,None,None,None,None,None,-1951527000,None,None,USD
83250000,-774676000,195186000,None,None,None,None,None,None,307822000,None,None,None,2006-11-30,505809000,927239000,None,None,None,None,None,None,None,None,None,-1364412000,None,None,USD
48875000,-246596000,-320363000,None,None,None,None,None,None,64335000,3044000,3044000,None,2005-11-30,602839000,730353000,None,None,None,None,None,None,None,None,None,-600099000,None,None,USD
