comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,2358000000,2358000000,None,857000000,7100000000,7957000000,2024-11-30,19147000000,6931000000,1371000000,None,164000000,341000000,None,5560000000,5560000000,172000000,None,12406000000,6741000000,None,USD,3944000000,1529000000,21505000000
None,2354000000,2354000000,None,872000000,6912000000,7784000000,2023-11-30,17055000000,6799000000,1371000000,None,113000000,269000000,None,5428000000,5428000000,-113000000,None,10405000000,6650000000,None,USD,3473000000,1413000000,19409000000
None,2165000000,2165000000,None,939000000,6116000000,7055000000,2022-11-30,15441000000,6008000000,1252000000,None,112000000,61000000,None,4756000000,4756000000,-112000000,None,9343000000,6098000000,22000000,USD,2987000000,1219000000,17606000000
None,1865000000,1865000000,None,861000000,5814000000,6675000000,2021-11-30,13920000000,5705000000,883000000,None,113000000,17000000,None,4822000000,4822000000,-113000000,None,8118000000,5802000000,16000000,USD,2540000000,1085000000,15785000000
None,1722000000,1722000000,None,757000000,4292000000,5049000000,2020-11-30,11146000000,4176000000,-1084000000,None,116000000,43000000,None,5260000000,5260000000,-116000000,None,6909000000,4237000000,55000000,USD,2188000000,968000000,12868000000
None,1672720000,1672720000,None,736669000,3360727000,4097396000,2019-11-30,9498577000,3204741000,253283000,None,157000000,68321000,None,2951458000,2951458000,-88893000,None,6230456000,3268121000,93834000,USD,1930228000,880637000,11171297000
None,1194999000,1194999000,None,346492000,2883118000,3229610000,2018-11-30,7835009000,2793876000,203102000,None,89000000,92540000,None,2590774000,2590774000,3298000,None,4994640000,2840369000,42749000,USD,1537812000,744898000,9030008000
None,1010491000,1010491000,None,325997000,2212043000,2538040000,2017-11-30,6291014000,2137641000,443687000,None,74402000,66069000,None,1693954000,1693954000,-8333000,None,4122919000,2168095000,43948000,USD,1224059000,624706000,7301505000
None,819908000,819908000,None,331535000,1505580000,1837115000,2016-11-30,5034522000,1435138000,266356000,None,70442000,47340000,None,1168782000,1168782000,-23102000,None,3540920000,1493602000,11978000,USD,975987000,577710000,5854430000
None,744317000,744317000,None,339473000,937965000,1277438000,2015-11-30,4051194000,873781000,244230000,None,64184000,None,None,629551000,629551000,None,None,3146540000,903095000,34870000,USD,862730000,531919000,4795511000
None,622080000,622080000,None,313590000,421108000,734698000,2014-11-30,3524985000,361376000,92981000,None,59732000,None,None,268395000,268395000,None,None,3112300000,412685000,8423000,USD,844353000,543332000,4147065000
None,586557000,586557000,None,321227000,423649000,744876000,2013-11-30,3468683000,356141000,66156000,None,67508000,None,None,289985000,289985000,None,None,3045960000,422723000,926000,USD,826631000,520124000,4055240000
None,483782000,483782000,None,299766000,1186281000,1486047000,2012-11-30,3919895000,1118794000,286019000,None,67487000,None,None,832775000,832775000,None,None,2742621000,1180191000,6090000,USD,742823000,434982000,4403677000
None,437873000,437873000,None,270205000,1102182000,1372387000,2011-11-30,3778385000,1035230000,202383000,None,66952000,None,None,832847000,832847000,None,None,2538480000,1099299000,2883000,USD,738053000,414605000,4216258000
None,403502000,403502000,None,292738000,1000103000,1292841000,2010-11-30,3396498000,943151000,168471000,None,56952000,None,None,774680000,774680000,None,None,2308028000,993074000,7029000,USD,680332000,383499000,3800000000
None,296732000,296732000,None,282423000,704927000,987350000,2009-11-30,2649121000,701520000,315012000,None,3407000,None,None,386508000,386508000,None,None,1845793000,690513000,14414000,USD,565141000,298749000,2945853000
None,362630000,362630000,None,270269000,1088527000,1358796000,2008-11-30,3217259000,1078508000,206694000,None,10019000,None,None,871814000,None,None,None,2088689000,1028271000,None,USD,662057000,337291000,3579889000
None,354694000,354694000,None,315464000,858140000,1173604000,2007-11-30,2803187000,947190000,223383000,None,0,None,None,723807000,None,None,None,1945602000,857585000,None,USD,613242000,274982000,3157881000
None,292457000,292457000,None,307822000,571026000,878848000,2006-11-30,2282843000,679727000,173918000,None,128000000,None,None,505809000,None,None,None,1641944000,551293000,None,USD,539684000,235115000,2575300000
None,112578000,112578000,None,64335000,746874000,811209000,2005-11-30,1853743000,765776000,162937000,None,37000000,None,None,602839000,None,None,None,1125309000,728434000,None,USD,365328000,166658000,1966321000
