comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,19065000000,19065000000,None,10010000000,13869000000,23879000000,2024-10-31,32509000000,9916000000,3748000000,None,3953000000,461000000,None,5895000000,6168000000,-3492000000,None,19046000000,13463000000,None,USD,9310000000,4959000000,51574000000
None,11129000000,11129000000,None,3835000000,16719000000,20554000000,2023-10-31,24690000000,15097000000,1015000000,None,1622000000,535000000,None,14082000000,14082000000,-1622000000,None,8483000000,16207000000,None,USD,5253000000,1592000000,35819000000
None,11108000000,11108000000,None,4984000000,14171000000,19155000000,2022-10-31,22095000000,12434000000,939000000,None,1737000000,100000000,None,11495000000,11495000000,-1737000000,None,7813000000,14225000000,-54000000,USD,4919000000,1382000000,33203000000
None,10606000000,10606000000,None,6041000000,8650000000,14691000000,2021-10-31,16844000000,6765000000,29000000,None,1885000000,16000000,None,6736000000,6736000000,-1885000000,None,8325000000,8519000000,131000000,USD,4854000000,1347000000,27450000000
None,10372000000,10372000000,None,6905000000,4220000000,11125000000,2020-10-31,13516000000,2443000000,-518000000,None,1777000000,53000000,None,2960000000,2961000000,-1777000000,None,9502000000,4014000000,None,USD,4968000000,1935000000,23888000000
None,10114000000,10114000000,None,5781000000,3670000000,9451000000,2019-10-31,12483000000,2226000000,-510000000,None,1444000000,98000000,None,2724000000,2736000000,-1346000000,None,9039000000,3444000000,226000000,USD,4696000000,1709000000,22597000000
None,10115000000,10115000000,None,4060000000,5173000000,9233000000,2018-10-31,10733000000,4545000000,-8084000000,None,628000000,114000000,None,12259000000,12629000000,-514000000,None,5598000000,5135000000,None,USD,3768000000,1056000000,20848000000
None,9127000000,9127000000,None,4726000000,2279000000,7005000000,2017-10-31,8509000000,1825000000,35000000,None,454000000,44000000,None,1692000000,1790000000,-410000000,None,6138000000,2371000000,None,USD,3292000000,787000000,17636000000
None,7300000000,7300000000,None,3038000000,-522000000,2516000000,2016-10-31,5940000000,-1107000000,642000000,None,585000000,10000000,None,-1739000000,-1749000000,-575000000,None,6349000000,-409000000,None,USD,2674000000,806000000,13240000000
None,3271000000,3271000000,None,962000000,1658000000,2620000000,2015-10-31,3553000000,1467000000,76000000,None,191000000,183000000,None,1364000000,1391000000,None,None,1921000000,1632000000,None,USD,1049000000,486000000,6824000000
None,2392000000,2392000000,None,625000000,452000000,1077000000,2014-10-31,1877000000,342000000,33000000,None,110000000,None,None,263000000,309000000,None,None,1439000000,438000000,None,USD,695000000,407000000,4269000000
None,1322000000,1322000000,None,187000000,570000000,757000000,2013-10-31,1198000000,568000000,16000000,None,2000000,None,None,552000000,None,None,None,646000000,552000000,None,USD,398000000,222000000,2520000000
None,1222000000,1222000000,None,155000000,587000000,742000000,2012-10-31,1142000000,585000000,22000000,None,1000000,None,None,563000000,None,None,None,555000000,582000000,None,USD,335000000,199000000,2364000000
None,1189000000,1189000000,None,157000000,565000000,722000000,2011-10-31,1147000000,561000000,9000000,None,4000000,None,None,552000000,None,None,None,559000000,584000000,None,USD,317000000,220000000,2336000000
None,1127000000,1127000000,None,159000000,440000000,599000000,2010-10-31,966000000,406000000,-9000000,None,34000000,None,None,415000000,None,None,None,497000000,470000000,None,USD,280000000,196000000,2093000000
None,924000000,924000000,None,160000000,41000000,201000000,2009-10-31,560000000,-36000000,8000000,None,77000000,None,None,-44000000,None,None,None,512000000,48000000,None,USD,245000000,169000000,1484000000
None,1044000000,1044000000,None,159000000,146000000,305000000,2008-10-31,655000000,60000000,3000000,None,86000000,None,None,83000000,None,None,None,495000000,160000000,None,USD,265000000,196000000,1699000000
None,1165000000,1165000000,None,176000000,-103000000,73000000,2007-10-31,362000000,-212000000,8000000,None,109000000,None,None,-159000000,None,None,None,467000000,-105000000,None,USD,205000000,193000000,1527000000
None,1124000000,1124000000,None,210000000,-105000000,105000000,2006-10-31,389000000,-248000000,5000000,None,143000000,None,None,-251000000,None,None,None,479000000,-90000000,None,None,209000000,None,1513000000
