accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,40552000000,40552000000,141000000,713000000,13884000000,None,1374000000,59243000000,None,2024-12-31,4187000000,123000000,123000000,None,None,49715000000,None,1240000000,-59243000000,140148000000,None,None,6175000000,USD,22148000000,51089000000,1374000000,953000000,271461000000,41505000000,156792000000,241197000000,229956000000,84405000000,30264000000,None
None,None,46530000000,46530000000,145000000,736000000,13109000000,None,1293000000,60237000000,None,2023-12-31,3851000000,98000000,98000000,144599000000,None,47866000000,None,2186000000,-110506000000,129930000000,None,None,5138000000,USD,19612000000,49159000000,1293000000,2120000000,261108000000,48650000000,145607000000,233051000000,212458000000,87444000000,28057000000,None
None,3000000,33537000000,33537000000,149000000,752000000,12133000000,None,1000000000,60462000000,None,2022-12-31,3786000000,146000000,146000000,32358000000,None,43000000000,None,5000000000,-94058000000,110714000000,None,37350000000,5215000000,USD,16279000000,43921000000,1348000000,4855000000,228354000000,38392000000,125846000000,203643000000,189962000000,77797000000,24711000000,None
None,14000000,21522000000,21522000000,153000000,790000000,10574000000,None,2000000000,2700000000,None,2021-12-31,3804000000,201000000,201000000,75052000000,None,39000000000,None,3000000000,-75609000000,84615000000,None,30497000000,4988000000,USD,13474000000,40918000000,2243000000,2975000000,188548000000,27197000000,99008000000,166371000000,161351000000,67363000000,22177000000,-271000000
None,17000000,32826000000,32826000000,161000000,806000000,9444000000,None,2000000000,3000000000,None,2020-12-31,3852000000,265000000,265000000,114726000000,None,42952000000,None,22000000000,-76399000000,87299000000,None,27234000000,5015000000,USD,13837000000,44830000000,1878000000,21642000000,191367000000,57468000000,99564000000,168383000000,133899000000,68819000000,22984000000,-279000000
None,25000000,24274000000,24274000000,163000000,830000000,12738000000,None,6442000000,56794000000,None,2019-12-31,3315000000,267000000,267000000,80726000000,None,57835000000,None,84998000000,-80726000000,73955000000,None,24948000000,4834000000,USD,13871000000,64277000000,6442000000,8415000000,198321000000,89483000000,94257000000,175250000000,108838000000,80993000000,23071000000,-292000000
None,19000000,27000000000,27000000000,170000000,859000000,12255000000,None,4128000000,55000000000,None,2018-12-31,3072000000,275000000,275000000,33960000000,None,58404000000,None,5690000000,-85672000000,-69860000000,None,22574000000,4416000000,USD,12499000000,61423000000,3000000000,2262000000,189000000000,32550000000,15355000000,167000000000,13453000000,60182000000,22000000000,-207000000
None,23000000,32879000000,32879000000,172000000,886000000,14657000000,None,6115000000,3209000000,None,2017-12-31,3009000000,899000000,899000000,6867000000,None,55781000000,None,4182000000,684000000,68571000000,None,24741000000,4329000000,USD,8307000000,59082000000,3278000000,3159000000,181196000000,39931000000,86506000000,162935000000,141265000000,76429000000,18261000000,-217000000
None,24000000,25093000000,25093000000,181000000,935000000,11190000000,None,7836000000,3232000000,None,2016-12-31,2927000000,868000000,868000000,9024000000,None,46966000000,None,3981000000,696000000,57236000000,None,21589000000,4433000000,USD,10371000000,52571000000,5581000000,3223000000,158893000000,32244000000,74007000000,138392000000,126649000000,64385000000,20501000000,0
None,None,23000000000,23000000000,194000000,1003000000,11822000000,None,53282000000,47000000000,None,2015-12-31,2749000000,796000000,796000000,14992000000,None,48061000000,None,58799000000,123348000000,-188000000,None,20819000000,4108000000,USD,9665000000,53061000000,5000000000,258000000,161000000000,61856000000,71631000000,140000000000,4108000000,68880000000,21000000000,0
