capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
1911000000,4436000000,-24402000000,None,None,None,None,None,None,1676000000,1999000000,1999000000,None,2024-12-31,10129000000,14050000000,None,None,None,None,None,None,None,None,None,-6020000000,None,None,USD
1563000000,18379000000,-24433000000,None,None,None,None,None,None,1651000000,1780000000,1780000000,None,2023-12-31,8374000000,18559000000,None,None,None,None,None,None,None,None,None,-3650000000,None,None,USD
1855000000,24509000000,-33689000000,11899000000,None,None,None,None,None,1626000000,1565000000,1565000000,None,2022-12-31,7514000000,21079000000,None,None,None,None,None,None,None,None,None,-3502000000,None,None,USD
1550000000,-14933000000,-10529000000,-10817000000,None,None,None,None,None,1695000000,1448000000,1448000000,None,2021-12-31,8060000000,14645000000,None,None,None,None,None,None,None,None,None,-9252000000,None,None,USD
1478000000,-9068000000,11632000000,8155000000,None,None,None,None,None,1543000000,1474000000,1474000000,None,2020-12-31,3135000000,5591000000,None,None,None,None,None,None,None,None,None,-1029000000,None,None,USD
1645000000,-519000000,-16707000000,-3594000000,None,None,None,None,None,1188000000,1422000000,1422000000,None,2019-12-31,6759000000,13632000000,None,None,None,None,None,None,None,None,None,-4685000000,None,None,USD
1310000000,5101000000,-19615000000,-5455000000,129000000,None,None,None,248000000,1293000000,1324000000,1324000000,None,2018-12-31,6921000000,8930000000,None,None,None,None,None,None,None,None,None,-1685000000,None,None,USD
1062000000,12245000000,-18273000000,7719000000,207000000,0,None,None,473000000,1321000000,1251000000,1251000000,None,2017-12-31,2736000000,13540000000,None,None,None,None,None,None,None,None,None,-4400000000,None,None,USD
1375000000,-7532000000,1868000000,2446000000,-114000000,0,None,None,-281000000,1095000000,1207000000,1207000000,None,2016-12-31,5408000000,8224000000,None,None,None,None,None,None,None,None,None,-4498000000,None,None,USD
1341000000,-2029000000,-8193000000,474000000,-276000000,0,None,None,-673000000,1043000000,1172000000,1172000000,None,2015-12-31,5163000000,10972000000,None,None,None,None,None,None,None,None,None,-4575000000,None,None,USD
1195000000,11000000,-7967000000,2802000000,-232000000,0,None,None,-56000000,1012000000,1041000000,1041000000,None,2014-12-31,5885000000,10990000000,None,None,None,None,None,None,None,None,None,-4389000000,None,None,USD
1006000000,-3891000000,-7269000000,-2764000000,-151000000,0,None,None,-73000000,1020000000,939000000,939000000,None,2013-12-31,5359000000,8547000000,None,None,None,None,None,None,None,None,None,-3943000000,None,None,USD
1053000000,-3268000000,-6545000000,-2643000000,88000000,0,None,None,153000000,991000000,902000000,902000000,None,2012-12-31,4482000000,7082000000,None,None,None,None,None,None,None,None,None,-3952000000,None,None,USD
1189000000,-1384000000,-491000000,8537000000,-63000000,0,None,None,663000000,918000000,861000000,861000000,None,2011-12-31,4899000000,10475000000,None,None,None,None,None,None,None,None,None,-2300000000,None,None,USD
887000000,-8084000000,-1229000000,110000000,135000000,0,None,None,-498000000,917000000,867000000,867000000,None,2010-12-31,4057000000,9288000000,None,None,None,None,None,None,None,None,None,-590000000,None,None,USD
772000000,-4647000000,-6752000000,-5008000000,7000000,0,None,None,-730000000,1070000000,924000000,924000000,None,2009-12-31,2137000000,6384000000,None,None,None,None,None,None,None,None,None,-3389000000,None,None,USD
977000000,-10440000000,7036000000,None,None,None,None,None,None,712000000,836000000,836000000,None,2008-12-31,2871000000,8666000000,None,None,None,None,None,None,None,None,None,-218000000,None,None,USD
938000000,15466000000,-17094000000,None,None,-139000000,None,None,None,648000000,712000000,712000000,None,2007-12-31,4048000000,8484000000,None,None,None,None,None,None,None,None,None,-3572000000,None,None,USD
861000000,6778000000,-15217000000,None,None,-483000000,None,None,None,645000000,661000000,661000000,None,2006-12-31,3729000000,9005000000,None,None,None,None,None,None,None,None,None,-4093000000,None,None,USD
608000000,6443000000,-17259000000,None,None,None,None,None,None,602000000,597000000,597000000,None,2005-12-31,3734000000,8045000000,None,None,None,None,None,None,None,None,None,-1853000000,None,None,USD
