comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,13437000000,13437000000,None,1676000000,12895000000,14571000000,2024-12-31,60764000000,12895000000,2766000000,None,8252000000,23795000000,None,10129000000,10129000000,15543000000,None,47869000000,12895000000,None,USD,None,8198000000,74201000000
None,11772000000,11772000000,None,1651000000,10513000000,12164000000,2023-12-31,55592000000,10513000000,2139000000,None,6849000000,19983000000,None,8374000000,8374000000,13134000000,None,45079000000,10513000000,None,USD,0.16,8067000000,67364000000
None,4945000000,4945000000,None,1626000000,9585000000,11211000000,2022-12-31,50680000000,9585000000,2071000000,None,2763000000,12658000000,None,7514000000,7514000000,9895000000,None,41095000000,9585000000,None,USD,0.17,7252000000,55625000000
None,-136000000,-136000000,None,1695000000,10689000000,12384000000,2021-12-31,44566000000,10689000000,2629000000,None,1283000000,9033000000,None,8060000000,8060000000,7750000000,None,33877000000,10689000000,None,USD,0.24,6240000000,44430000000
None,6828000000,6828000000,None,1543000000,4296000000,5839000000,2020-12-31,31509000000,4296000000,1161000000,None,2098000000,10083000000,None,3135000000,3135000000,7985000000,None,27213000000,4296000000,None,USD,0.11,5718000000,38337000000
None,7037000000,7037000000,None,1188000000,8429000000,9617000000,2019-12-31,40060000000,8429000000,1670000000,None,3464000000,12084000000,None,6759000000,10099000000,8620000000,None,31631000000,8429000000,None,USD,0.18,5911000000,47097000000
None,6295000000,6295000000,None,1293000000,8122000000,9415000000,2018-12-31,36963000000,8122000000,1201000000,None,2943000000,10606000000,None,6921000000,6921000000,7663000000,None,28841000000,8122000000,None,USD,0.19,5392000000,43258000000
None,4872000000,4872000000,None,1321000000,7425000000,8746000000,2017-12-31,34118000000,7425000000,4677000000,None,2112000000,8553000000,None,2748000000,2736000000,6441000000,None,26693000000,7425000000,None,USD,0.19,5367000000,38990000000
None,3732000000,3732000000,None,1095000000,8042000000,9137000000,2016-12-31,33227000000,8042000000,2667000000,None,1705000000,7475000000,None,5375000000,5408000000,5771000000,None,26587000000,8042000000,None,USD,0.23,5259000000,38361000000
None,3611000000,3611000000,None,1043000000,7938000000,8981000000,2015-12-31,30769000000,7938000000,2775000000,None,1623000000,None,None,5163000000,5163000000,None,None,22831000000,7938000000,None,USD,0,5196000000,34380000000
None,3751000000,3751000000,None,1012000000,8991000000,10003000000,2014-12-31,31400000000,8991000000,3106000000,None,1707000000,None,None,5885000000,5885000000,None,None,22409000000,8991000000,None,USD,0,6095000000,35151000000
None,3790000000,3790000000,None,1020000000,7888000000,8908000000,2013-12-31,31034000000,7888000000,2529000000,None,1958000000,None,None,5359000000,5359000000,None,None,23146000000,7888000000,None,USD,0,6191000000,34824000000
None,3938000000,3938000000,None,991000000,6451000000,7442000000,2012-12-31,29843000000,6451000000,1969000000,None,2226000000,None,None,4482000000,4482000000,None,None,23392000000,6451000000,None,USD,0,6597000000,33781000000
None,3432000000,3432000000,None,918000000,6956000000,7874000000,2011-12-31,28850000000,6956000000,2057000000,None,2320000000,None,None,4935000000,4899000000,None,None,21894000000,6956000000,None,USD,0,6252000000,32282000000
None,4630000000,4630000000,None,917000000,5964000000,6881000000,2010-12-31,25375000000,5964000000,1907000000,None,2423000000,None,None,4057000000,4057000000,None,None,19411000000,5964000000,None,USD,0,5566000000,30005000000
None,7520000000,7520000000,None,1070000000,2841000000,3911000000,2009-12-31,18812000000,2841000000,704000000,None,2207000000,None,None,2130000000,2137000000,None,None,15971000000,2841000000,None,USD,0,5080000000,26332000000
None,9353000000,9353000000,None,712000000,3581000000,4293000000,2008-12-31,22567000000,3581000000,710000000,None,3555000000,None,None,2699000000,None,None,None,18986000000,3581000000,None,USD,None,6090000000,31920000000
None,7882000000,7882000000,None,648000000,5694000000,6342000000,2007-12-31,23658000000,5694000000,1568000000,None,3981000000,None,None,4012000000,None,None,None,17964000000,5694000000,None,USD,None,5438000000,31540000000
None,5424000000,5424000000,None,608000000,5152000000,5760000000,2006-12-31,22268000000,5152000000,1527000000,None,2866000000,None,None,3707000000,None,None,None,17116000000,5073000000,None,USD,None,5040000000,27692000000
None,4366000000,4366000000,None,567000000,4053000000,4620000000,2005-12-31,20038000000,4248000000,991000000,None,1979000000,None,None,3671000000,None,None,None,15985000000,4393000000,None,USD,None,4550000000,24404000000
