accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,563000000,13801000000,13801000000,5061000000,646900000,11364000000,None,1192000000,11201000000,None,2024-12-31,8084000000,1957000000,1957000000,87550000000,None,52433000000,None,999000000,2965000000,23779000000,None,2318000000,13636000000,USD,15362000000,54188000000,1602000000,12481000000,156363000000,127998000000,97078000000,160277000000,28365000000,63199000000,-3908000000,None
None,549000000,12691000000,12691000000,5061000000,606100000,11964000000,None,5127000000,11065000000,None,2023-12-31,8093000000,2094000000,2094000000,79741000000,None,46927000000,None,1035000000,2504000000,22035000000,None,2332000000,12351000000,USD,27251000000,52603000000,5500000000,3274000000,137012000000,109275000000,95827000000,154240000000,27737000000,58413000000,-17233000000,None
None,482000000,14614000000,14614000000,5061000000,595200000,10200000000,None,5190000000,11305000000,None,2022-12-31,8057000000,2311000000,2311000000,78151000000,None,51811000000,None,2433000000,2847000000,21305000000,None,10855000000,10550000000,USD,29473000000,57277000000,5466000000,2606000000,137100000000,109523000000,90052000000,152948000000,27577000000,62896000000,-15883000000,-50814000000
None,448000000,8052000000,8052000000,5061000000,588000000,9261000000,None,1296000000,11378000000,None,2021-12-31,8068000000,2562000000,2562000000,78823000000,None,56806000000,None,975000000,2221000000,18182000000,None,1750000000,10918000000,USD,34408000000,58370000000,1564000000,8192000000,138552000000,108666000000,81992000000,153398000000,29886000000,71406000000,-14999000000,-51861000000
None,471000000,7752000000,7752000000,5061000000,569000000,12928000000,None,1693000000,10051000000,None,2020-12-31,8081000000,2843000000,2843000000,81715000000,None,61890000000,None,2952000000,4286000000,21860000000,None,20031000000,11820000000,USD,38610000000,63851000000,1961000000,17838000000,152136000000,121642000000,87280000000,170211000000,30494000000,82931000000,-18316000000,-52641000000
None,229000000,9485000000,9485000000,5061000000,567857143,15553000000,None,7269000000,12471000000,None,2019-12-31,8060000000,3338000000,3338000000,76622000000,None,19804000000,None,3228000000,3106000000,21946000000,None,24238000000,12502000000,USD,50644000000,27554000000,7592000000,545000000,133625000000,102229000000,97312000000,141925000000,31396000000,44613000000,-8617000000,-54914000000
None,156000000,7637000000,7637000000,5061000000,586200000,12916000000,None,3133000000,14364000000,None,2018-12-31,7840000000,3429000000,3429000000,62567000000,None,10558000000,None,3505000000,2335000000,14808000000,None,22966000000,12645000000,USD,55941000000,13847000000,3190000000,927000000,117359000000,87830000000,81590000000,116949000000,29529000000,35359000000,339000000,-52348000000
None,138000000,8813000000,8813000000,5061000000,610700000,12202000000,None,1283000000,10825000000,None,2017-12-31,5559000000,2573000000,2573000000,44344000000,None,9696000000,None,4000000000,309000000,15292000000,None,24031000000,12672000000,USD,45320000000,11117000000,1335000000,1179000000,92333000000,65161000000,56269000000,91921000000,27172000000,35652000000,355000000,-43454000000
None,138000000,8801000000,8801000000,5061000000,643800000,11190000000,None,327000000,9260000000,None,2016-12-31,5324000000,2540000000,2540000000,43199000000,None,9487000000,None,5090000000,428000000,14691000000,None,28080000000,12807000000,USD,40714000000,9952000000,384000000,1228000000,89997000000,62488000000,50134000000,89120000000,27509000000,38986000000,817000000,-36097000000
None,None,11302000000,11302000000,5061000000,696100000,10800000000,None,734000000,8925000000,None,2015-12-31,5126000000,2657000000,2657000000,47257000000,None,8633000000,None,4642000000,212000000,14014000000,None,26477000000,12076000000,USD,38756000000,9964000000,1234000000,750000000,94408000000,68234000000,50412000000,88011000000,26174000000,37599000000,6335000000,-29568000000
