capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2318000000,25209000000,-11973000000,None,None,-12353000000,None,None,None,1836000000,None,None,None,2024-12-31,-11829000000,-12080000000,None,None,None,None,None,None,None,None,None,23857000000,None,None,USD
1527000000,-5487000000,-2437000000,None,None,1684000000,None,None,None,1861000000,None,None,None,2023-12-31,-2242000000,5960000000,None,None,None,None,None,None,None,None,None,-408000000,None,None,USD
1222000000,-1266000000,4370000000,6616000000,None,420000000,None,None,142000000,1979000000,10000000,10000000,None,2022-12-31,-4935000000,3512000000,None,None,None,None,None,None,None,None,None,-40000000,None,None,USD
980000000,-5600000000,9324000000,None,None,-1127000000,None,None,None,2144000000,24000000,24000000,None,2021-12-31,-4164000000,-3416000000,None,None,None,None,None,None,None,None,None,-66000000,None,None,USD
1303000000,34955000000,-18366000000,-1821000000,None,-11002000000,None,None,909000000,2246000000,1158000000,1158000000,None,2020-12-31,-11941000000,-18410000000,None,None,None,None,None,None,None,None,None,36000000,None,None,USD
1961000000,5739000000,-1530000000,1758000000,None,-12391000000,None,None,1585000000,2271000000,4630000000,4630000000,None,2019-12-31,-636000000,-2446000000,None,None,None,None,None,None,None,None,None,-2651000000,None,None,USD
1791000000,-11722000000,-4621000000,-1074000000,None,568000000,None,None,-2621000000,2114000000,3946000000,3946000000,None,2018-12-31,10460000000,15322000000,None,None,None,None,None,None,None,None,None,-9000000000,None,None,USD
1870000000,-11350000000,-2062000000,12000000,80000000,-1085000000,None,None,-1821000000,2069000000,3417000000,3417000000,None,2017-12-31,8197000000,13344000000,None,None,None,None,None,None,None,None,None,-9236000000,None,None,USD
2613000000,-9587000000,-3380000000,-2501000000,-33000000,3755000000,None,None,112000000,1910000000,2756000000,2756000000,None,2016-12-31,4895000000,10499000000,None,None,None,None,None,None,None,None,None,-7001000000,None,None,USD
2450000000,-7920000000,-1846000000,-431000000,-28000000,-1110000000,None,None,-1069000000,1833000000,2490000000,2490000000,None,2015-12-31,5176000000,9363000000,None,None,None,None,None,None,None,None,None,-6751000000,None,None,USD
2236000000,-8593000000,2467000000,2645000000,-87000000,-4330000000,None,None,-1328000000,1906000000,2115000000,2115000000,None,2014-12-31,5446000000,8858000000,None,None,None,None,None,None,None,None,None,-6001000000,None,None,USD
2238000000,-4249000000,-5154000000,-1253000000,-29000000,-5562000000,None,None,-879000000,1844000000,1467000000,1467000000,None,2013-12-31,4586000000,8179000000,None,None,None,None,None,None,None,None,None,-2801000000,None,None,USD
1710000000,-3477000000,-3757000000,292000000,18000000,-5681000000,None,None,-27000000,1811000000,1322000000,1322000000,None,2012-12-31,3905000000,7508000000,None,None,None,None,None,None,None,None,None,-76000000,None,None,USD
1713000000,-1700000000,2369000000,4690000000,-2000000,-10012000000,None,None,-292000000,1660000000,1244000000,1244000000,None,2011-12-31,4018000000,4023000000,None,None,None,None,None,None,None,None,None,114000000,None,None,USD
1127000000,-1962000000,-4831000000,-3856000000,-15000000,-7387000000,None,None,8000000,1727000000,1253000000,1253000000,None,2010-12-31,3307000000,2952000000,None,None,None,None,None,None,None,None,None,87000000,None,None,USD
1186000000,4094000000,-3794000000,5947000000,44000000,-1525000000,None,None,-391000000,1666000000,1220000000,1220000000,None,2009-12-31,1348000000,5603000000,None,None,None,None,None,None,None,None,None,-50000000,None,None,USD
1852000000,-5202000000,1888000000,None,None,-6168000000,None,None,None,1491000000,1192000000,1192000000,None,2008-12-31,2672000000,-401000000,None,None,None,None,None,None,None,None,None,-2937000000,None,None,USD
1731000000,-4884000000,-3822000000,None,None,-1558000000,None,None,None,1486000000,1096000000,1096000000,None,2007-12-31,4074000000,9584000000,None,None,None,None,None,None,None,None,None,-2775000000,None,None,USD
1681000000,-3645000000,-3186000000,None,None,444000000,None,None,None,1545000000,956000000,956000000,None,2006-12-31,2215000000,7499000000,None,None,None,None,None,None,None,None,None,-1698000000,None,None,USD
1547000000,-4657000000,-98000000,None,None,-1965000000,None,None,None,1503000000,820000000,820000000,None,2005-12-31,2572000000,7000000000,None,None,None,None,None,None,None,None,None,-2877000000,None,None,USD
