comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,68476000000,68476000000,None,1836000000,-9485000000,-7649000000,2024-12-31,-1958000000,-12210000000,-381000000,None,2725000000,2725000000,None,-11817000000,-11829000000,-2725000000,None,8831000000,-10789000000,None,USD,3812000000,5021000000,66518000000
None,70070000000,70070000000,None,1861000000,-773000000,-773000000,2023-12-31,7724000000,-2005000000,-237000000,None,2459000000,2459000000,None,-2222000000,-2242000000,-2459000000,None,8545000000,-773000000,None,USD,3377000000,5168000000,77794000000
None,63144000000,63144000000,None,1979000000,-2489000000,-510000000,2022-12-31,3463000000,-5022000000,31000000,None,2533000000,2533000000,None,-4935000000,-5053000000,-2533000000,None,7017000000,-3554000000,1058000000,USD,2852000000,4187000000,66607000000
None,55804000000,55804000000,None,2144000000,-2351000000,-207000000,2021-12-31,6482000000,-5033000000,-743000000,None,2682000000,2682000000,None,-4202000000,-4290000000,-2682000000,None,6419000000,63000000,None,USD,2249000000,4157000000,62286000000
None,57148000000,57148000000,None,2246000000,-12320000000,-10074000000,2020-12-31,1013000000,-14476000000,-2535000000,None,2156000000,2156000000,None,-11873000000,-11941000000,-2156000000,None,7286000000,-6273000000,447000000,USD,2476000000,4817000000,58161000000
None,72068000000,72068000000,None,2271000000,-1537000000,734000000,2019-12-31,4491000000,-2259000000,-1623000000,None,722000000,722000000,None,-636000000,-636000000,-722000000,None,6427000000,-1936000000,438000000,USD,3219000000,3909000000,76559000000
None,81490000000,81490000000,None,2114000000,12079000000,14193000000,2018-12-31,19637000000,11604000000,1144000000,None,475000000,474000000,None,10453000000,10460000000,-475000000,None,7836000000,11801000000,92000000,USD,3269000000,4567000000,101127000000
None,76612000000,76612000000,None,2069000000,10445000000,12514000000,2017-12-31,17393000000,10047000000,1850000000,None,360000000,344000000,None,8452000000,11897000000,-360000000,None,7274000000,10119000000,129000000,USD,3179000000,4094000000,94005000000
None,80790000000,80790000000,None,1910000000,5874000000,7784000000,2016-12-31,13781000000,5568000000,673000000,None,306000000,306000000,None,4892000000,6241000000,-306000000,None,8243000000,5538000000,40000000,USD,4627000000,3616000000,94571000000
None,82088000000,82088000000,None,1833000000,7430000000,9263000000,2015-12-31,14026000000,7155000000,1979000000,None,275000000,275000000,None,5172000000,5176000000,None,None,6856000000,7170000000,-13000000,USD,3331000000,3525000000,96114000000
None,76752000000,76752000000,None,1906000000,7470000000,9376000000,2014-12-31,14010000000,7137000000,1691000000,None,333000000,None,None,5440000000,5446000000,None,None,6814000000,7196000000,-3000000,USD,3047000000,3767000000,90762000000
None,73268000000,73268000000,None,1844000000,6618000000,8462000000,2013-12-31,13355000000,6232000000,1646000000,None,386000000,None,None,4579000000,4586000000,None,None,7027000000,6328000000,56000000,USD,3071000000,3956000000,86623000000
None,68644000000,68644000000,None,1811000000,6373000000,8184000000,2012-12-31,13054000000,5910000000,2007000000,None,463000000,None,None,3895000000,3903000000,None,None,7015000000,6039000000,62000000,USD,3298000000,3717000000,81698000000
None,55867000000,55867000000,None,1660000000,5891000000,7551000000,2011-12-31,12868000000,5393000000,1382000000,None,498000000,None,None,4011000000,4011000000,None,None,7326000000,5542000000,47000000,USD,3918000000,3408000000,68735000000
None,51843000000,51843000000,None,1727000000,5023000000,6750000000,2010-12-31,12463000000,4507000000,1196000000,None,516000000,None,None,3311000000,3311000000,None,None,7765000000,4698000000,52000000,USD,4121000000,3644000000,64306000000
None,56540000000,56540000000,None,1666000000,2070000000,3736000000,2009-12-31,11741000000,1731000000,396000000,None,339000000,None,None,1335000000,1335000000,None,None,9870000000,1871000000,-26000000,USD,6506000000,3364000000,68281000000
None,50386000000,50386000000,None,1491000000,4197000000,5688000000,2008-12-31,10523000000,3995000000,1341000000,None,202000000,None,None,2654000000,None,None,None,6852000000,3671000000,None,USD,3768000000,3084000000,60909000000
None,53426000000,53426000000,None,1486000000,6314000000,7800000000,2007-12-31,12961000000,6118000000,2060000000,None,196000000,None,None,4058000000,None,None,None,7381000000,5580000000,None,USD,3850000000,3531000000,66387000000
None,50461000000,50461000000,None,1545000000,3434000000,4979000000,2006-12-31,11069000000,3194000000,988000000,None,240000000,None,None,2206000000,None,None,None,7428000000,3641000000,None,USD,3257000000,4171000000,61530000000
None,44625000000,44625000000,None,1503000000,3415000000,4918000000,2005-12-31,8996000000,2819000000,257000000,None,653000000,None,None,2562000000,None,None,None,6433000000,2563000000,None,USD,2205000000,4228000000,53621000000
