accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,2953000000,11894000000,11894000000,5015000000,2541500000,6637000000,None,1337000000,4661000000,None,2025-06-30,1341000000,583000000,583000000,5538000000,None,20166000000,None,4623000000,464000000,6937000000,None,308000000,None,USD,44107000000,24496000000,2018000000,273000000,108790000000,22830000000,15639000000,56572000000,85960000000,40933000000,47665000000,None
None,3116000000,12389000000,12389000000,4899000000,2538500000,6719000000,None,858000000,5483000000,None,2024-06-30,1341000000,377000000,377000000,5828000000,None,16204000000,None,2675000000,380000000,5149000000,None,368000000,71629000000,USD,39963000000,20178000000,1544000000,258000000,102362000000,24338000000,14296000000,53242000000,78024000000,38946000000,44811000000,None
None,3019000000,12428000000,12428000000,4737000000,5071000000,6296000000,None,1342000000,5102000000,None,2023-06-30,1389000000,221000000,221000000,5220000000,None,12674000000,None,2358000000,131000000,5527000000,None,467000000,71818000000,USD,39787000000,22345000000,7173000000,29000000,101296000000,23351000000,19043000000,52766000000,77945000000,33723000000,43055000000,None
None,2576000000,17236000000,17236000000,4638000000,5069058296,5360000000,None,2622000000,5689000000,None,2022-06-30,1197000000,172000000,172000000,4935000000,None,13806000000,None,2222000000,175000000,8903000000,None,1997000000,61295000000,USD,40338000000,16428000000,2622000000,303000000,95166000000,28664000000,16919000000,46400000000,64870000000,13215000000,44976000000,None
None,3896000000,15246000000,15246000000,2168000000,5069000000,7027000000,None,2628000000,6338000000,None,2021-06-30,1197000000,240000000,240000000,4426000000,None,18355000000,None,3352000000,129000000,6643000000,None,1146000000,73813000000,USD,46779000000,20983000000,2628000000,230000000,108927000000,26693000000,16403000000,53322000000,82234000000,36919000000,51264000000,-33000000
None,3443000000,13426000000,13426000000,2168000000,5193000000,5767000000,None,5012000000,3730000000,None,2020-06-30,247000000,377000000,377000000,4101000000,None,19446000000,None,5107000000,130000000,3948000000,None,1414000000,72362000000,USD,43467000000,27048000000,5012000000,84000000,104783000000,21471000000,14824000000,52537000000,83312000000,37713000000,47936000000,-5000000
None,715000000,15613000000,15613000000,2168000000,5193000000,6717000000,None,1088000000,3586000000,None,2019-06-30,247000000,428000000,428000000,3840000000,None,22517000000,None,2953000000,247000000,3848000000,None,896000000,68041000000,USD,42819000000,24828000000,1661000000,87000000,100861000000,23373000000,12339000000,49037000000,77488000000,36698000000,47240000000,-32000000
None,802000000,15871000000,15871000000,2243000000,5337000000,5977000000,None,2351000000,3202000000,None,2018-06-30,247000000,531000000,531000000,3764000000,None,23344000000,None,2881000000,12275000000,5158000000,None,1093000000,67182000000,USD,51064000000,26805000000,2736000000,18000000,111993000000,35130000000,13989000000,51323000000,71237000000,24436000000,53307000000,-5000000
None,897000000,14153000000,14153000000,2243000000,2668000000,5551000000,None,967000000,3031000000,None,2017-06-30,3269000000,699000000,699000000,3673000000,None,28418000000,None,2792000000,168000000,2205000000,None,1106000000,80497000000,USD,52618000000,30474000000,1491000000,72000000,117006000000,21056000000,11366000000,54280000000,95950000000,42914000000,57258000000,-3000000
None,346000000,10319000000,10319000000,2243000000,2661000000,5389000000,None,3373000000,3722000000,None,2016-06-30,3273000000,846000000,846000000,3411000000,None,31462000000,None,2816000000,183000000,1847000000,None,1778000000,83975000000,USD,49542000000,36421000000,4653000000,121000000,118953000000,17714000000,12340000000,58882000000,101239000000,46542000000,54290000000,-33000000
None,None,6753000000,6753000000,2243000000,5333000000,7389000000,None,3210000000,4979000000,None,2015-06-30,3274000000,1018000000,1018000000,4292000000,None,27625000000,None,4673000000,262000000,2134000000,None,None,94072000000,USD,60044000000,31170000000,3201000000,83000000,124580000000,16369000000,12853000000,54035000000,103037000000,28649000000,62287000000,-76000000
None,None,8803000000,8803000000,2255000000,2669000000,6973000000,None,34862000000,7059000000,None,2014-06-30,4034000000,1405000000,1405000000,6013000000,None,30327000000,None,5792000000,421000000,5910000000,None,None,108787000000,USD,74548000000,34589000000,4262000000,87000000,151413000000,22296000000,18064000000,66031000000,120018000000,29309000000,76803000000,-587000000
None,None,5677000000,5677000000,2255000000,2670000000,7601000000,None,33913000000,6577000000,None,2013-06-30,4105000000,1391000000,1391000000,5821000000,None,29862000000,None,5209000000,841000000,6145000000,None,None,102927000000,USD,66982000000,35165000000,5014000000,37000000,138109000000,18953000000,20139000000,63887000000,111270000000,28544000000,69237000000,-540000000
None,None,4781000000,4781000000,2255000000,2673289564,8727000000,None,None,7841000000,None,2012-06-30,4105000000,1007000000,1007000000,6233000000,None,24799000000,None,None,1596000000,7373000000,None,None,95247000000,USD,62236000000,28330000000,2872000000,282000000,129273000000,20451000000,22034000000,62188000000,101915000000,24900000000,64491000000,-533000000
None,None,10084000000,10084000000,2253000000,5540000000,9718000000,None,None,8470000000,None,2011-06-30,370000000,534000000,534000000,6154000000,None,12388000000,None,None,308000000,6237000000,None,None,68468000000,USD,53131000000,15907000000,3519000000,264000000,102891000000,25280000000,19733000000,45136000000,77611000000,25403000000,56762000000,-623000000
None,None,12456000000,12456000000,2343000000,5595000000,6467000000,None,None,6732000000,None,2010-06-30,370000000,687000000,687000000,5334000000,None,13573000000,None,None,320000000,4095000000,None,None,55576000000,USD,44801000000,16233000000,2191000000,292000000,88852000000,25134000000,13042000000,39523000000,63718000000,26481000000,48525000000,-525000000
None,None,10833000000,10833000000,2343000000,5598000000,5619000000,None,None,5577000000,None,2009-06-30,398000000,263000000,263000000,4821000000,None,15325000000,None,None,279000000,4886000000,None,None,49032000000,USD,36831000000,16419000000,1094000000,763000000,78770000000,22486000000,11850000000,38059000000,56284000000,26209000000,39954000000,-525000000
