capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
9382023000,-5960849000,-13327305000,None,None,63891000,None,None,None,5530582000,6392115000,6392115000,None,2025-06-30,9003667000,18660223000,None,None,None,None,None,None,None,None,None,None,None,None,USD
8816000000,-11669000000,-8762000000,None,None,-530000000,None,None,None,5295000000,7675000000,7675000000,None,2024-06-30,7897000000,20665000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
6733000000,-10315000000,-13065000000,None,None,-44000000,None,None,None,5061000000,13268000000,13268000000,None,2023-06-30,21401000000,18701000000,None,None,None,None,None,None,None,None,None,-88000000,None,None,USD
6111000000,-22767000000,-6959000000,None,None,-865000000,None,None,None,5683000000,17851000000,17851000000,None,2022-06-30,30900000000,32174000000,None,None,None,None,None,None,None,None,None,-149000000,None,None,USD
5612000000,-17922000000,-7845000000,None,None,-405000000,None,None,None,5084000000,7901000000,7901000000,None,2021-06-30,24292000000,27234000000,None,None,None,None,None,None,None,None,None,-234000000,None,None,USD
6900000000,-9752000000,-7616000000,None,None,-715000000,None,None,None,6112000000,6876000000,6876000000,None,2020-06-30,13510000000,15706000000,None,None,None,None,None,None,None,None,None,-143000000,None,None,USD
7123000000,-20528000000,2607000000,None,None,298000000,None,None,None,6092000000,11395000000,11395000000,None,2019-06-30,8648000000,17871000000,None,None,None,None,None,None,None,None,None,-5220000000,None,None,USD
4979000000,-10891000000,-5921000000,None,None,-182000000,None,None,None,6288000000,5220000000,5220000000,None,2018-06-30,14751000000,18461000000,None,None,None,None,None,None,None,None,None,-171000000,None,None,USD
4252000000,-9133000000,-4161000000,None,None,-679000000,None,None,None,7719000000,2921000000,2921000000,None,2017-06-30,10322000000,16804000000,None,None,None,None,None,None,None,None,None,-108000000,None,None,USD
6946000000,284000000,-7245000000,None,None,527000000,None,None,None,8661000000,4130000000,4130000000,None,2016-06-30,-7259000000,10625000000,None,None,None,None,None,None,None,None,None,-106000000,None,None,USD
12045000000,-8276000000,-12568000000,None,None,151000000,None,None,None,9158000000,6498000000,6498000000,None,2015-06-30,8056000000,19296000000,None,None,None,None,None,None,None,None,None,-355000000,None,None,USD
16210000000,-6468000000,-15834000000,None,None,-158000000,None,None,None,7716000000,6387000000,6387000000,None,2014-06-30,13832000000,25364000000,None,None,None,None,None,None,None,None,None,-368000000,None,None,USD
22425000000,-198000000,-18726000000,None,None,-276000000,None,None,None,6369000000,6167000000,6167000000,None,2013-06-30,11223000000,20154000000,None,None,None,None,None,None,None,None,None,-445000000,None,None,USD
21130000000,2039000000,-32485000000,None,None,16000000,None,None,None,6575000000,5877000000,5877000000,None,2012-06-30,15473000000,25259000000,None,None,None,None,None,None,None,None,None,-83000000,None,None,USD
11617000000,-16018000000,-16464000000,None,None,-792000000,None,None,None,5039000000,5054000000,5054000000,None,2011-06-30,31105000000,30080000000,None,None,None,None,None,None,None,None,None,-9860000000,None,None,USD
10741000000,-5307000000,-11015000000,None,None,-571000000,None,None,None,4759000000,4618000000,4618000000,None,2010-06-30,14386000000,17920000000,None,None,None,None,None,None,None,None,None,-274000000,None,None,USD
10876000000,-1180000000,-11051000000,None,None,-116000000,None,None,None,3871000000,4563000000,4563000000,None,2009-06-30,17077000000,18863000000,None,None,None,None,None,None,None,None,None,-169000000,None,None,USD
8924000000,-7341000000,-9064000000,None,None,-1313000000,None,None,None,3612000000,3135000000,3135000000,None,2008-06-30,23483000000,18159000000,None,None,None,None,None,None,None,None,None,-3365000000,None,None,USD
7176000000,-6843000000,-7624000000,None,None,-583000000,None,None,None,2421000000,2271000000,2271000000,None,2007-06-30,13496000000,15595000000,None,None,None,None,None,None,None,None,None,-5906000000,None,None,USD
6005000000,-5412000000,-5512000000,None,None,-407000000,None,None,None,2264000000,1936000000,1936000000,None,2006-06-30,10534000000,10476000000,None,None,None,None,None,None,None,None,None,-2215000000,None,None,USD
