comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,9118000000,9118000000,None,4823000000,18619000000,23442000000,2025-06-30,42144000000,18353000000,7210000000,None,915441000,603000000,None,9019000000,11143000000,-1232000000,None,22680000000,19464000000,None,USD,None,11432000000,51262000000
None,9930000000,9930000000,None,4578000000,22263000000,26841000000,2024-06-30,45728000000,16048000000,6447000000,None,1137153000,709000000,None,7897000000,9601000000,-1488000000,None,28191000000,17537000000,None,USD,None,11157000000,55658000000
None,10949000000,10949000000,None,4528000000,21055000000,25583000000,2023-06-30,42868000000,21401000000,7077000000,None,866148000,224000000,None,12921000000,14324000000,-1634000000,None,19936000000,22932000000,None,USD,None,9909000000,53817000000
None,9340000000,9340000000,None,4719000000,32561000000,37280000000,2022-06-30,55758000000,33137000000,10737000000,None,511231000,81000000,None,30900000000,22400000000,-969000000,None,21652000000,34106000000,None,USD,None,9233000000,65098000000
None,22882000000,22882000000,None,5084000000,25150000000,30234000000,2021-06-30,34039000000,24217000000,10616000000,None,518000000,73000000,None,11304000000,13451000000,-886000000,None,1735000000,32304000000,None,USD,None,4357000000,56921000000
None,22503000000,22503000000,None,4667000000,13379000000,18046000000,2020-06-30,20428000000,13514000000,4774000000,None,1203000000,445000000,None,7956000000,8736000000,-1717000000,None,4708000000,15720000000,None,USD,None,3641000000,42931000000
None,23919000000,23919000000,None,5829000000,16614000000,22443000000,2019-06-30,20369000000,14650000000,5529000000,None,1114000000,575000000,None,8306000000,9520000000,-1138000000,None,4192000000,16177000000,None,USD,None,4032000000,44288000000
None,19372000000,19372000000,None,6288000000,16253000000,22541000000,2018-06-30,24266000000,14751000000,7007000000,None,1108000000,811000000,None,3705000000,7744000000,-1200000000,None,28036000000,15996000000,None,USD,None,4411000000,43638000000
None,6238000000,6238000000,None,7719000000,10681000000,18400000000,2017-06-30,29709000000,11137000000,4443000000,None,1480000000,943000000,None,5890000000,6222000000,-1395000000,None,17665000000,12428000000,None,USD,None,4085000000,35947000000
None,14073000000,14073000000,None,8661000000,2332000000,10993000000,2016-06-30,16839000000,-7259000000,-1052000000,None,852000000,681000000,None,-6385000000,-6207000000,-1052000000,None,35487000000,-6235000000,None,USD,None,4230000000,30912000000
None,15659000000,15659000000,None,9158000000,11336000000,20494000000,2015-06-30,28977000000,8056000000,3666000000,None,751000000,266000000,None,1910000000,4390000000,None,None,37010000000,8670000000,None,USD,13000000,5607000000,44636000000
None,15668000000,15668000000,None,7716000000,22559000000,30275000000,2014-06-30,41094000000,21735000000,6780000000,None,533000000,None,None,13832000000,14955000000,None,None,18445000000,22649000000,None,USD,43000000,6078000000,56762000000
None,34718000000,34718000000,None,-7090000000,35010000000,27920000000,2013-06-30,31250000000,20828000000,6696000000,None,1025000000,None,None,10876000000,None,None,None,27223000000,33491000000,None,USD,46000000,8186000000,65968000000
None,36102000000,36102000000,None,-8116000000,39415000000,31299000000,2012-06-30,36124000000,23932000000,7315000000,None,936000000,None,None,15417000000,None,None,None,28259000000,39343000000,None,USD,75000000,7298000000,72226000000
None,23217000000,23217000000,None,6626000000,30325000000,36951000000,2011-06-30,48522000000,31255000000,7309000000,None,246000000,None,None,23648000000,None,None,None,14804000000,31816000000,None,USD,74000000,8637000000,71739000000
None,20362000000,20362000000,None,4446000000,20031000000,24477000000,2010-06-30,32436000000,19572000000,6563000000,None,674000000,None,None,12722000000,None,None,None,33295000000,20031000000,None,USD,65000000,6704000000,52798000000
None,21726000000,21726000000,None,7251000000,9089000000,16340000000,2009-06-30,28485000000,11617000000,5279000000,None,852000000,None,None,5877000000,None,None,None,13254000000,12160000000,None,USD,156000000,6461000000,50211000000
None,23546000000,23546000000,None,4397000000,23653000000,28050000000,2008-06-30,35927000000,23483000000,7521000000,None,518000000,None,None,15390000000,None,None,None,10853000000,24145000000,None,USD,244000000,6091000000,59473000000
None,17808000000,17808000000,None,2899000000,19389000000,22288000000,2007-06-30,21690000000,18011000000,4515000000,None,650000000,None,None,13416000000,None,None,None,7738000000,18401000000,None,USD,169000000,4538000000,39498000000
None,15149000000,15149000000,None,1751000000,14671000000,16422000000,2006-06-30,17004000000,14166000000,3632000000,None,731000000,None,None,10450000000,None,None,None,6766000000,14671000000,None,USD,76000000,3865000000,32153000000
