accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,483000000,16164000000,16164000000,None,34064000,3824000000,None,1745000000,3199000000,None,2024-12-31,2799000000,1382000000,1382000000,None,None,14853000000,None,536000000,1128000000,6047000000,None,199000000,None,USD,36525000000,17081000000,1745000000,0,27708000000,20491000000,15647000000,31728000000,7217000000,16081000000,-4020000000,None
None,599000000,12107000000,12107000000,None,36530000,3374000000,None,1961000000,3253000000,None,2023-12-31,2826000000,1613000000,1613000000,-644000000,None,12223000000,None,440000000,1098000000,3741000000,None,161000000,None,USD,31830000000,14783000000,1961000000,576000000,24342000000,17034000000,13330000000,27086000000,7308000000,13756000000,-2744000000,None
None,552000000,12221000000,12221000000,None,40052000,2507000000,None,500000000,2229000000,None,2022-12-31,2807000000,1829000000,1829000000,477000000,None,11985000000,None,2789000000,1143000000,2364000000,None,172000000,669000000,USD,27541000000,13037000000,500000000,175000000,25361000000,15798000000,8474000000,22579000000,9563000000,14105000000,2782000000,-30983000000
None,351000000,11127000000,11127000000,None,41362000,1586000000,None,1989000000,1358000000,None,2021-12-31,2887000000,2057000000,2057000000,404000000,None,8937000000,None,3175000000,635000000,1765000000,None,1375000000,822000000,USD,24453000000,11277000000,1989000000,25000000,23641000000,13145000000,6246000000,17463000000,10496000000,11217000000,6178000000,-24290000000
None,366000000,10562000000,10562000000,None,41160000,735000000,None,985000000,529000000,None,2020-12-31,1895000000,1812000000,1812000000,337000000,None,11029000000,None,3759000000,614000000,1382000000,None,1400000000,756000000,USD,23288000000,12380000000,985000000,501000000,21874000000,12206000000,3425000000,16981000000,9668000000,13556000000,4893000000,-24128000000
None,462000000,6312000000,6312000000,None,43509000,1239000000,None,988000000,1680000000,None,2019-12-31,2913000000,1954000000,1954000000,None,None,7640000000,None,4477000000,843000000,1578000000,None,1587000000,738000000,USD,23232000000,9090000000,988000000,998000000,21402000000,9833000000,5366000000,15469000000,11569000000,10103000000,5933000000,-22864000000
None,None,2624000000,2624000000,None,48017000,1134000000,None,None,1523000000,None,2018-12-31,2910000000,2125000000,2125000000,None,None,8649000000,None,8408000000,600000000,1399000000,None,1328000000,656000000,USD,18367000000,8674000000,25000000,3660000000,22687000000,8407000000,3555000000,13902000000,14280000000,10347000000,8785000000,-14711000000
None,None,2541604000,2541604000,487000,49954000,667523000,None,710910000,1217801000,None,2017-12-31,2737671000,2176823000,2176823000,0,None,8812751000,None,10421600000,415527000,1138980000,None,1398907000,480081000,USD,13938869000,9523661000,710910000,4859873000,25451263000,9034805000,3497868000,14187702000,16416458000,10689834000,11263561000,-8698829000
None,None,2081075000,2081075000,485000,50063000,419108000,None,967734000,860115000,None,2016-12-31,2396906000,1993885000,1993885000,0,None,6199060000,None,9591067000,241449000,857467000,None,138767000,347017000,USD,11326852000,7166794000,967734000,2218880000,19838973000,5401519000,2858670000,9990293000,14437454000,7131623000,9848680000,-6855164000
None,None,1477265000,1477265000,482000,51593000,322842000,None,6158443000,645169000,None,2015-12-31,3375000000,2167533000,2167533000,1,None,6158443000,None,7931363000,259557000,681587000,None,134777000,274786000,USD,9191865000,6158443000,6158443000,1171246000,17420575000,3553237000,1439310000,8625106000,13867338000,7185796000,8795469000,-5826640000
None,None,3148651000,3148651000,480000,53023000,281480000,None,37150000,643894000,None,2014-12-31,3326474000,2334761000,2334761000,1,None,3850085000,None,3755653000,332647000,600758000,None,103533000,198953000,USD,6640505000,3887280000,37195000,1142182000,14940563000,5267374000,1379991000,6373540000,9673189000,4993549000,8567023000,-2737585000
None,None,1289994000,1289994000,476000,52413000,247345000,None,None,535962000,None,2013-12-31,1767912000,1019985000,1019985000,1,None,1750580000,None,None,192265000,545342000,None,75981000,135053000,USD,4218752000,1902511000,151931000,5462720000,10444460000,7480941000,1381745000,3526198000,2963519000,2144453000,6918262000,-1987207000
None,None,1536349000,1536349000,450000,51326000,184648000,None,None,367512000,None,2012-12-31,522672000,208113000,208113000,0,None,936651000,None,None,131669000,387911000,None,68944000,89269000,USD,2368611000,1456995000,520344000,3646845000,6569742000,5682375000,1461726000,2618112000,887367000,1156386000,3951630000,-1060607000
None,None,632836000,632836000,446000,51211000,146867000,None,None,264453000,None,2011-12-31,504784000,200151000,200151000,0,None,77360000,None,None,144728000,461291000,None,39183000,64322000,USD,1033738000,575000000,497640000,2024827000,3970671000,3066844000,1105798000,1269331000,903827000,163533000,2574295000,-803586000
None,None,358967000,358967000,438000,50988000,90311000,None,None,162426000,None,2010-12-31,510894000,232030000,232030000,0,None,476268000,None,None,132820000,380682000,None,42990000,39739000,USD,69110000,476443000,175000,1303251000,2905953000,1957464000,471168000,1046866000,948489000,575698000,1813336000,-640415000
None,None,202141000,202141000,405000,49522000,60568000,None,None,118659000,None,2009-12-31,350630000,172080000,172080000,None,None,None,None,None,104127000,127561000,None,None,30489000,USD,-454673000,195863000,159878000,598014000,1834224000,1022941000,408765000,512595000,811283000,103830000,1321629000,-510970000
None,None,364550000,364550000,367000,48671000,46290000,None,None,92328000,None,2008-12-31,326863000,193231000,193231000,None,None,None,None,None,38133000,152788000,None,None,29404000,USD,-913033000,392985000,317910000,98888000,1343977000,623839000,546652000,613595000,720138000,66943000,730382000,-493555000
None,None,385359000,385359000,346000,45504000,47708000,None,None,70712000,None,2007-12-31,287159000,182748000,182748000,None,None,None,None,None,34430000,59589000,None,None,27088000,USD,-1106506000,569796000,569796000,122499000,1350856000,613000000,694843000,754713000,737856000,59870000,579107000,-489106000
None,None,423577000,423577000,331000,44722000,49032000,None,None,48536000,None,2006-12-31,226707000,152925000,152925000,None,None,568865000,None,None,22993000,51640000,None,None,21691000,USD,-1262033000,568865000,None,7983000,1105648000,503089000,100672000,734606000,602559000,633934000,348556000,-486468000
None,None,80341000,80341000,323000,46436000,37851000,None,None,30043000,None,2005-12-31,198417000,149675000,149675000,None,None,223549000,None,None,40553000,33164000,None,None,18271000,USD,-1334572000,223549000,None,72745000,754028000,223682000,71015000,361298000,530346000,290283000,369071000,-350628000
