capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
429000000,-4204000000,129000000,None,None,None,None,None,None,751000000,1174000000,1174000000,None,2024-12-31,5882000000,8323000000,None,None,None,None,None,None,None,None,None,-6509000000,None,None,USD
345000000,-8909000000,1486000000,None,None,None,None,None,None,665000000,2786000000,2786000000,None,2023-12-31,4289000000,7344000000,None,None,None,None,None,None,None,None,None,-10377000000,None,None,USD
368000000,-4897000000,-518000000,1139000000,None,None,None,None,-1228000000,607000000,0,0,None,2022-12-31,3058000000,6554000000,None,None,None,None,None,None,None,None,None,-6621000000,None,None,USD
304000000,-1239000000,-998000000,583000000,None,None,None,None,-1002000000,599000000,None,None,None,2021-12-31,1165000000,2820000000,None,None,None,None,None,None,None,None,None,-163000000,None,None,USD
286000000,1528000000,2637000000,4250000000,None,None,None,None,891000000,642000000,None,None,None,2020-12-31,59000000,85000000,None,None,None,None,None,None,None,None,None,-1303000000,None,None,USD
368000000,-8220000000,7050000000,3695000000,None,-480000000,None,None,-323000000,641000000,None,None,None,2019-12-31,4865000000,4865000000,None,None,None,None,None,None,None,None,None,-8187000000,None,None,USD
442000000,-7431000000,2215000000,122000000,None,-201000000,None,None,-319000000,426000000,None,None,None,2018-12-31,3998000000,5338000000,None,None,None,None,None,None,None,None,None,-5971000000,None,None,USD
287805000,-78663000,-4202035000,381338000,None,-124269000,None,None,-269732000,362774000,0,0,None,2017-12-31,2340765000,4662036000,None,None,None,None,None,None,None,None,None,-1828000000,None,None,USD
268383000,57737000,-3333295000,649139000,None,5495000,None,None,-284221000,309135000,0,0,None,2016-12-31,2134987000,3924697000,None,None,None,None,None,None,None,None,None,-1013526000,None,None,USD
173915000,-729996000,-3894518000,-1671386000,-149103000,-81611000,None,None,-68694000,272494000,0,0,None,2015-12-31,2551360000,3102231000,None,None,None,None,None,None,None,None,None,-3089055000,None,None,USD
131504000,1428994000,-2348544000,1858657000,-136190000,-48932000,None,None,-182209000,207820000,0,0,None,2014-12-31,2421753000,2914397000,None,None,None,None,None,None,None,None,None,-750378000,None,None,USD
84445000,-403511000,-2162267000,-246355000,17987000,-6909000,None,None,-111572000,117975000,1072798000,1072798000,None,2013-12-31,1892798000,2301436000,None,None,None,None,None,None,None,None,None,-883515000,None,None,USD
55158000,668855000,-1562713000,903513000,11621000,-40793000,None,None,-105277000,65141000,0,0,None,2012-12-31,1424037000,1785750000,None,None,None,None,None,None,None,None,None,-257021000,None,None,USD
46833000,-151027000,-904768000,273869000,-12148000,12213000,None,None,-125793000,53824000,0,0,None,2011-12-31,1059131000,1341812000,None,None,None,None,None,None,None,None,None,-163171000,None,None,USD
22593000,212957000,-841098000,156826000,7670000,-22373000,None,None,-29275000,50464000,0,0,None,2010-12-31,528142000,777297000,None,None,None,None,None,None,None,None,None,-129445000,None,None,USD
15106000,-168960000,-501460000,None,None,-979000,None,None,None,39193000,None,None,None,2009-12-31,489472000,509665000,None,None,None,None,None,None,None,None,None,-17415000,None,None,USD
18322000,-168848000,-151905000,None,None,-5153000,None,None,None,43068000,None,None,None,2008-12-31,193473000,315553000,None,None,None,None,None,None,None,None,None,-4449000,None,None,USD
15949000,19445000,-221499000,None,None,-9166000,None,None,None,40701000,None,None,None,2007-12-31,157082000,156015000,None,None,None,None,None,None,None,None,None,-2638000,None,None,USD
12851000,157293000,68821000,None,None,-2562000,None,None,None,36831000,None,None,None,2006-12-31,74466000,112081000,None,None,None,None,None,None,None,None,None,-155670000,None,None,USD
11030000,13216000,-94485000,None,None,808000,None,None,None,28778000,None,None,None,2005-12-31,192729000,62642000,None,None,None,None,None,None,None,None,None,-12150000,None,None,USD
