comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,751000000,751000000,None,751000000,8587000000,9338000000,2024-12-31,23739000000,7292000000,1410000000,None,1295000000,1114000000,None,5882000000,5882000000,-181000000,None,16184000000,7555000000,None,USD,None,4390000000,23739000000
None,665000000,665000000,None,665000000,6378000000,7043000000,2023-12-31,21365000000,5481000000,1192000000,None,897000000,914000000,None,4289000000,5302000000,80000000,None,15530000000,5835000000,None,USD,None,4849000000,21365000000
None,607000000,607000000,None,607000000,4314000000,4921000000,2022-12-31,17090000000,3923000000,865000000,None,391000000,219000000,None,3058000000,3058000000,-172000000,None,11988000000,5102000000,-788000000,USD,None,3231000000,17090000000
None,599000000,599000000,None,599000000,1799000000,2398000000,2021-12-31,10958000000,1465000000,300000000,None,334000000,16000000,None,1165000000,1165000000,-318000000,None,8462000000,2496000000,-697000000,USD,None,2836000000,10958000000
None,642000000,642000000,None,642000000,923000000,1565000000,2020-12-31,6796000000,567000000,508000000,None,356000000,54000000,None,59000000,59000000,-356000000,None,7427000000,-631000000,1554000000,USD,None,2525000000,6796000000
None,641000000,641000000,None,641000000,6224000000,6865000000,2019-12-31,15066000000,5958000000,1093000000,None,266000000,152000000,None,4865000000,4865000000,-114000000,None,9721000000,5345000000,879000000,USD,285000000,3045000000,15066000000
None,426000000,426000000,None,426000000,5104000000,5530000000,2018-12-31,14527000000,4835000000,837000000,None,269000000,187000000,None,3998000000,3998000000,-82000000,None,9186000000,5341000000,-237000000,USD,233000000,2741000000,14527000000
None,242000000,242000000,None,363000000,4653000000,5016000000,2017-12-31,12439000000,4399000000,2058000000,None,254000000,157194000,None,2341000000,2340765000,-96782000,None,7901000000,4538000000,114306000,USD,189000000,2236000000,12681000000
None,415000000,415000000,None,309000000,2921000000,3230000000,2016-12-31,10328000000,2713000000,578000000,None,208000000,94946000,None,2135000000,2134987000,-112954000,None,7422000000,2906000000,14825000,USD,142000000,1802000000,10743000000
None,632180000,632180000,None,272494000,3288549000,3561043000,2015-12-31,8591807000,3128320000,576960000,None,160229000,130587000,None,2551360000,2551360000,None,None,5332900000,3258907000,29642000,USD,113617000,1581646000,9223987000
None,857841000,857841000,None,207820000,3077801000,3285621000,2014-12-31,7584130000,2989448000,567695000,None,88353000,None,None,2421753000,2421753000,None,None,4510818000,3073312000,4489000,USD,97498000,1303060000,8441971000
None,1077420000,1077420000,None,117975000,2379826000,2497801000,2013-12-31,5715886000,2296537000,403739000,None,83289000,None,None,1892663000,1892798000,None,None,3303472000,2412414000,-32588000,USD,71890000,951686000,6793306000
None,1177275000,1177275000,None,65141000,1823933000,1889074000,2012-12-31,4083681000,1761869000,337832000,None,62064000,None,None,1419566000,1424037000,None,None,2253888000,1829793000,-5860000,USD,43685000,639999000,5260956000
None,1275730000,1275730000,None,53824000,1399515000,1453339000,2011-12-31,3079880000,1367794000,308663000,None,31721000,None,None,1056371000,1059131000,None,None,1680958000,1398922000,593000,USD,33813000,475947000,4355610000
None,1175934000,1175934000,None,50464000,776227000,826691000,2010-12-31,1908971000,746283000,218141000,None,29944000,None,None,527541000,528142000,None,None,1122174000,786797000,-10570000,USD,20998000,351256000,3084905000
None,1077449000,1077449000,None,39193000,466386000,505579000,2009-12-31,1260763000,442302000,-47168000,None,24084000,None,None,489472000,None,None,None,789928000,470835000,None,USD,19139000,248707000,2338212000
None,928835000,928835000,None,43068000,310958000,354026000,2008-12-31,955971000,276105000,90171000,None,34853000,None,None,182246000,None,None,None,666497000,289474000,None,USD,17956000,219052000,1884806000
None,769997000,769997000,None,37500000,160435000,197935000,2007-12-31,639412000,150023000,-12059000,None,10412000,None,None,155527000,None,None,None,501477000,137935000,None,USD,13779000,194829000,1409409000
None,722004000,722004000,None,36831000,62121000,98952000,2006-12-31,401099000,65632000,-12388000,None,7060000,None,None,74466000,None,None,None,339113000,61986000,None,USD,None,159876000,1123103000
None,694797000,694797000,None,28778000,37548000,66326000,2005-12-31,267863000,35703000,-156277000,None,5075000,None,None,192729000,None,None,None,231979000,35884000,None,USD,None,115457000,962660000
