accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,15051000000,15051000000,10806000000,2376900000,30125000000,None,51271000000,20283000000,None,2024-12-31,35730000000,36072000000,36072000000,5418000000,None,183521000000,None,89065000000,10291000000,4721000000,None,139000000,256684000000,USD,17066000000,234792000000,51271000000,5132000000,490424000000,56175000000,86117000000,325041000000,434249000000,238924000000,45977000000,None
None,None,11222000000,11222000000,10879000000,2382300000,33414000000,None,57602000000,20263000000,None,2023-12-31,34911000000,38994000000,38994000000,7060000000,None,176108000000,None,81778000000,2489000000,118000000,None,263000000,271769000000,USD,18006000000,233710000000,57602000000,5670000000,490095000000,46704000000,91134000000,321853000000,443391000000,230719000000,45777000000,None
None,None,14396000000,14396000000,10901000000,1608200000,33574000000,None,43297000000,19489000000,None,2022-12-31,28662000000,38411000000,38411000000,9108000000,None,214395000000,None,73993000000,2830000000,876000000,None,4188000000,239368000000,USD,18006000000,257692000000,43297000000,7565000000,441284000000,53388000000,77747000000,299393000000,387896000000,221646000000,43753000000,None
None,None,12694000000,12694000000,10538000000,1586900000,29136000000,None,32791000000,16098000000,None,2021-12-31,20227000000,30609000000,30609000000,8557000000,None,143141000000,None,55683000000,11958000000,3148000000,None,1538000000,216354000000,USD,17705000000,188655000000,32791000000,6963000000,391003000000,56270000000,65075000000,256262000000,334733000000,191187000000,46355000000,None
None,8223000000,9933000000,9933000000,31693000000,1511400000,50682000000,None,21287000000,18928000000,None,2020-12-31,14714000000,24658000000,24658000000,10360000000,None,127114000000,None,53574000000,5917000000,2359000000,None,1456000000,196876000000,USD,15178000000,158867000000,21287000000,5483000000,343696000000,45138000000,53041000000,221054000000,298558000000,168013000000,35838000000,None
None,5494000000,6778000000,6778000000,30868000000,1488449940,43077000000,None,15713000000,18469000000,None,2019-12-31,14550000000,27710000000,27710000000,10272000000,None,127662000000,None,49561000000,3502000000,1690000000,None,1896000000,186059000000,USD,16026000000,158988000000,15713000000,3605000000,323969000000,39021000000,44767000000,207123000000,284948000000,162356000000,35013000000,None
None,None,8390000000,8390000000,4457000000,2199150000,14337000000,None,11159000000,11911000000,None,2018-12-31,8815000000,18762000000,18762000000,4578000000,None,107059000000,None,36492000000,2185000000,812000000,None,1724000000,151936000000,USD,14244000000,118218000000,11159000000,3382000000,256281000000,30446000000,26308000000,159131000000,225835000000,132823000000,29815000000,None
None,None,5139000000,5139000000,24052000000,1470000000,5158000000,None,None,7209000000,None,2017-12-31,5317000000,14242000000,14242000000,6311000000,None,69735000000,None,None,1605000000,1424000000,None,None,109875000000,USD,11864000000,80716000000,10859000000,2568000000,192720000000,24638000000,6582000000,112848000000,168082000000,106266000000,28244000000,None
None,None,4299000000,4299000000,22499000000,1464900000,6028000000,None,None,4294000000,None,2016-12-31,3783000000,6073000000,6073000000,5349000000,None,58071000000,None,None,432000000,127000000,None,None,99518000000,USD,11490000000,66601000000,8521000000,3229000000,159826000000,22055000000,14676000000,90138000000,137771000000,75462000000,26453000000,None
None,None,2774000000,2774000000,4378000000,2330641500,7560000000,None,None,4746000000,None,2015-12-31,2543000000,5170000000,5170000000,3198000000,None,None,None,None,1397000000,522000000,None,None,None,USD,11045000000,58283000000,11421000000,1194000000,139514000000,13309000000,19503000000,82287000000,126205000000,62784000000,25307000000,None
None,None,3160000000,3160000000,3031000000,2138400000,6054000000,None,None,6312000000,None,2014-12-31,1406000000,4327000000,4327000000,2815000000,None,None,None,None,2807000000,1419000000,None,None,None,USD,9702000000,52768000000,5356000000,1234000000,129480000000,16328000000,12829000000,76233000000,113152000000,63404000000,23702000000,None
