capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
10635591000,16965348000,-20086911000,None,None,None,None,None,None,9269491000,663000000,663000000,None,2024-12-31,610223000,7205584000,None,None,None,None,None,None,None,None,None,-952938000,None,None,USD
8216976000,-7432855000,-2593709000,None,None,152000000,None,None,None,9241425000,602000000,602000000,None,2023-12-31,1150723000,6585597000,None,None,None,None,None,None,None,None,None,-657847000,None,None,USD
7236000000,32460000000,-39650000000,None,None,-119000000,None,None,None,7683000000,1029000000,1029000000,None,2022-12-31,5195000000,8751000000,None,None,None,None,None,None,None,None,None,-686000000,None,None,USD
6881000000,16261000000,-21045000000,None,None,-34000000,None,None,None,6437000000,1486000000,1486000000,None,2021-12-31,12388000000,7874000000,None,None,None,None,None,None,None,None,None,-368000000,None,None,USD
4012000000,8698000000,-13873000000,None,None,51000000,None,None,None,5791000000,867000000,867000000,None,2020-12-31,707000000,8341000000,None,None,None,None,None,None,None,None,None,-419000000,None,None,USD
3053000000,28746000000,-36674000000,None,None,-319000000,None,None,None,4876000000,772000000,772000000,None,2019-12-31,5354000000,6328000000,None,None,None,None,None,None,None,None,None,-283000000,None,None,USD
1861944000,10887909000,-12499316000,None,None,258000000,None,None,None,2943807000,726000000,726000000,None,2018-12-31,3401226000,4895906000,None,None,None,None,None,None,None,None,None,-385295000,None,None,USD
1750778000,1027676000,-4372801000,None,None,19000000,None,None,None,2429334000,685000000,685000000,None,2017-12-31,1514578000,4149033000,None,None,None,None,None,None,None,None,None,-135711000,None,None,USD
1454297032,6908898878,-8454089475,None,None,-243000000,None,None,None,1995706525,633000000,633000000,None,2016-12-31,1631144294,3045922385,None,None,None,None,None,None,None,None,None,-152147923,None,None,USD
1026006000,7572549000,-10190062000,None,None,-128000000,None,None,None,1561113000,584000000,584000000,None,2015-12-31,2156086000,2567778000,None,None,None,None,None,None,None,None,None,-390509000,None,None,USD
1072750000,6324931000,-9150315000,None,None,57000000,None,None,None,1401726000,542000000,542000000,None,2014-12-31,2965556000,2454451000,None,None,None,None,None,None,None,None,None,-60074000,None,None,USD
1570070027,2628097448,-3918871508,None,None,-378000000,None,None,None,1411026489,541000000,541000000,None,2013-12-31,2055928631,2209153500,None,None,None,None,None,None,None,None,None,-376273730,None,None,USD
3579145335,3938565824,-4580101271,None,None,-861000000,None,None,None,1268011377,469000000,469000000,None,2012-12-31,1385475614,1502939851,None,None,None,None,None,None,None,None,None,-106420590,None,None,USD
2002577212,2574880932,-2892611523,None,None,None,None,None,None,878374476,425000000,425000000,None,2011-12-31,1901525277,656837551,None,None,None,None,None,None,None,None,None,None,None,None,USD
1209720564,885262519,-1973700043,None,None,None,None,None,None,824102696,817000000,817000000,None,2010-12-31,1507226819,1471982175,None,None,None,None,None,None,None,None,None,None,None,None,USD
1882027720,1462107085,-2595675227,None,None,None,None,None,None,1387043551,341000000,341000000,None,2009-12-31,493896292,1278255822,None,None,None,None,None,None,None,None,None,-4351509,None,None,USD
1061526733,-969032136,-661293117,None,None,None,None,None,None,1149699145,342000000,342000000,None,2008-12-31,561018605,1354570346,None,None,None,None,None,None,None,None,None,-229939829,None,None,USD
8818112075,4862577586,-8045929095,None,None,None,None,None,None,1124559432,316000000,316000000,None,2007-12-31,855926763,3571618160,None,None,None,None,None,None,None,None,None,-485061418,None,None,USD
8797844018,8480119726,-8989843047,None,None,None,None,None,None,584768628,258000000,258000000,None,2006-12-31,1140298825,756300759,None,None,None,None,None,None,None,None,None,None,None,None,USD
2427261232,1050775909,-1534153574,None,None,None,None,None,None,387946880,None,None,None,2005-12-31,323634831,1050775909,None,None,None,None,None,None,None,None,None,-440848728,None,None,USD
