comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,67936000000,67936000000,None,9737000000,19450000000,29187000000,2024-12-31,18070000000,2835000000,982000000,None,16615000000,None,None,641000000,1853000000,-16615000000,None,76000000,17994000000,None,USD,None,76000000,86006000000
None,81409000000,81409000000,None,9075000000,21619000000,30694000000,2023-12-31,14515000000,6116000000,1011000000,None,15503000000,None,None,1130000000,2015000000,-14743000000,None,69000000,14446000000,None,USD,0.04,69000000,95924000000
None,78511000000,78511000000,None,7683000000,17366000000,25049000000,2022-12-31,14258000000,6664000000,1469000000,None,10702000000,None,None,2056000000,5195000000,-10702000000,None,122000000,14136000000,None,USD,0.04,122000000,92769000000
None,64000000000,64000000000,None,6437000000,22316000000,28753000000,2021-12-31,11731000000,14712000000,2324000000,None,7604000000,None,None,3966000000,12388000000,-7604000000,None,116000000,11615000000,None,USD,0.16,116000000,75731000000
None,47386000000,47386000000,None,5791000000,8757000000,14548000000,2020-12-31,15366000000,1544000000,837000000,None,7213000000,None,None,-134000000,707000000,-7213000000,None,5892000000,9474000000,None,USD,0.03,101000000,62752000000
None,52728000000,52728000000,None,4876000000,13076000000,17952000000,2019-12-31,15098000000,5849000000,495000000,None,7227000000,None,None,2807000000,5354000000,-7227000000,None,4974000000,10124000000,None,USD,0.05,98000000,67826000000
None,45519000000,45519000000,None,3102000000,12094000000,15196000000,2018-12-31,11252000000,7240000000,-248000000,None,4854000000,None,None,3584000000,7488000000,-4854000000,None,3206000000,8046000000,None,USD,0.11,104000000,56771000000
None,32388000000,32388000000,None,2345000000,8772000000,11117000000,2017-12-31,8398000000,5164000000,613000000,None,3608000000,None,None,1462000000,None,None,None,2440000000,5958000000,None,USD,0.10,95000000,40786000000
None,17718000000,17718000000,None,2020000000,6226000000,8246000000,2016-12-31,6693000000,2993000000,-345000000,None,3233000000,None,None,1651000000,None,None,None,2112000000,4581000000,None,USD,0.07,92000000,24411000000
None,14433000000,14433000000,None,1695000000,7685000000,9380000000,2015-12-31,5480000000,4865000000,196000000,None,2820000000,None,None,2341000000,None,None,None,1801000000,3679000000,None,USD,None,106000000,19913000000
None,13118000000,13118000000,None,1470000000,9111000000,10581000000,2014-12-31,5246000000,6532000000,1323000000,None,2579000000,None,None,3110000000,None,None,None,1593000000,3653000000,None,USD,None,123000000,18364000000
None,13928000000,13928000000,None,1455000000,7242000000,8697000000,2013-12-31,6165000000,4689000000,845000000,None,2553000000,None,None,2120000000,None,None,None,1607000000,4558000000,None,USD,None,152000000,20093000000
None,13961000000,13961000000,None,1263000000,5774000000,7037000000,2012-12-31,4805000000,3274000000,519000000,None,2500000000,None,None,1380000000,None,None,None,1421000000,3384000000,None,USD,None,158000000,18766000000
None,11906000000,11906000000,None,904000000,6534000000,7438000000,2011-12-31,4015000000,4182000000,508000000,None,2352000000,None,None,1957000000,None,None,None,1072000000,2943000000,None,USD,None,168000000,15921000000
None,10166000000,10166000000,None,795000000,5067000000,5862000000,2010-12-31,3457000000,3238000000,43000000,None,1829000000,None,None,1454000000,None,None,None,1309000000,2148000000,None,USD,None,None,13623000000
None,7567000000,7567000000,None,1275000000,3779000000,5054000000,2009-12-31,4515000000,1995000000,-24000000,None,1784000000,None,None,454000000,None,None,None,1664000000,2851000000,None,USD,None,None,12082000000
None,8293000000,8293000000,None,1330000000,4341000000,5671000000,2008-12-31,4616000000,2357000000,461000000,None,1984000000,None,None,649000000,None,None,None,1729000000,2887000000,None,USD,None,None,12909000000
None,4834000000,4834000000,None,1034000000,3659000000,4693000000,2007-12-31,4509000000,1873000000,-88000000,None,1786000000,None,None,787000000,None,None,None,1566000000,2943000000,None,USD,None,None,9343000000
None,None,None,None,600000000,6297000000,6897000000,2006-12-31,6897000000,1515000000,345000000,None,3811000000,None,None,1170000000,None,None,None,600000000,6297000000,None,USD,None,None,6897000000
None,2950000000,2950000000,None,374000000,4846000000,5220000000,2005-12-31,2306000000,2089000000,427000000,None,2184000000,None,None,1662000000,None,None,None,-2576000000,4846000000,None,USD,None,None,5220000000
