accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,12000000000,34360000000,34360000000,4165000000,2802777000,38636000000,None,4474000000,26185000000,None,2024-12-31,14888000000,5208000000,5208000000,23232000000,None,55073000000,None,None,18892000000,32777000000,None,None,100238000000,USD,22531000000,71547000000,7134000000,165000000,282228000000,102834000000,82241000000,203910000000,179394000000,121669000000,59246000000,None
None,11121000000,27748000000,27748000000,4475000000,2958346000,42406000000,None,3284000000,30335000000,None,2023-12-31,12472000000,5663000000,5663000000,22819000000,None,48670000000,None,None,22401000000,32742000000,None,None,104719000000,USD,35339000000,63075000000,5934000000,843000000,280294000000,104146000000,86078000000,194801000000,176148000000,108723000000,70283000000,None
None,8549000000,23329000000,23329000000,4774000000,3164656000,47210000000,None,3198000000,33288000000,None,2022-12-31,11960000000,5987000000,5987000000,28081000000,None,43746000000,None,None,22412000000,40082000000,None,None,106044000000,USD,34732000000,55493000000,5300000000,578000000,288120000000,107688000000,99018000000,205130000000,180432000000,106112000000,67553000000,None
None,8611000000,25941000000,25941000000,5194000000,3376731000,37327000000,None,5557000000,26363000000,None,2021-12-31,12373000000,2162000000,2162000000,23711000000,None,55619000000,None,None,16295000000,31394000000,None,None,112902000000,USD,51815000000,69787000000,7304000000,280000000,287272000000,92590000000,80287000000,196833000000,194682000000,116546000000,75463000000,-12624000000
None,9262000000,29194000000,29194000000,5362000000,3370252000,23157000000,None,9359000000,17849000000,None,2020-12-31,12480000000,1980000000,1980000000,16873000000,None,63305000000,None,None,8733000000,22209000000,None,None,114836000000,USD,47300000000,81926000000,11292000000,333000000,267654000000,72982000000,59799000000,182086000000,194672000000,122287000000,71250000000,-13224000000
None,9722000000,20796000000,20796000000,5383000000,3399945000,30538000000,None,10487000000,23940000000,None,2019-12-31,11868000000,1448000000,1448000000,20880000000,None,57237000000,None,31601000000,16274000000,26083000000,None,None,132642000000,USD,73706000000,77446000000,12554000000,169000000,295194000000,82059000000,73595000000,194486000000,213135000000,120891000000,98412000000,-14412000000
None,667000000,22468000000,22468000000,5381000000,3350416000,26252000000,None,9329000000,20056000000,None,2018-12-31,12204000000,17284000000,17284000000,17988000000,None,55803000000,None,27661000000,10576000000,26138000000,None,None,135261000000,USD,78748000000,65799000000,9373000000,222000000,282176000000,71310000000,68237000000,180628000000,210866000000,112391000000,99444000000,-15767000000
None,656000000,25586000000,25586000000,5322000000,3302740000,26983000000,None,7701000000,19478000000,None,2017-12-31,11551000000,18355000000,18355000000,19011000000,None,54873000000,None,26230000000,10768000000,26632000000,None,None,129471000000,USD,75226000000,63230000000,7739000000,125000000,276515000000,74968000000,64726000000,176111000000,201547000000,111385000000,98491000000,-16958000000
None,634000000,23484000000,23484000000,5263000000,3142553000,21575000000,None,6592000000,14449000000,None,2016-12-31,11194000000,18183000000,18183000000,17655000000,None,51074000000,None,23734000000,12181000000,26813000000,None,None,129757000000,USD,75638000000,58300000000,6634000000,44000000,263316000000,67813000000,58354000000,166473000000,195503000000,108119000000,95286000000,-18443000000
None,None,26389000000,26389000000,5028000000,3053941000,16838000000,None,5942000000,21909000000,None,2015-12-31,11627000000,18660000000,18660000000,14142000000,None,45567000000,None,18836000000,16170000000,28782000000,None,None,129758000000,USD,81368000000,53168000000,6944000000,219000000,261832000000,70602000000,54724000000,163445000000,191230000000,108721000000,97216000000,-19964000000
None,None,29763000000,29763000000,5002000000,3082882000,23074000000,None,6344000000,30217000000,None,2014-12-31,11868000000,20907000000,20907000000,18373000000,None,45977000000,None,20384000000,19126000000,31653000000,None,None,130692000000,USD,92564000000,52854000000,6877000000,329000000,284305000000,87262000000,63615000000,171663000000,197043000000,108048000000,111441000000,-20719000000
None,None,22520000000,22520000000,5108000000,3174362000,28926000000,None,48396000000,29993000000,None,2013-12-31,12181000000,22039000000,22039000000,29231000000,None,40811000000,None,27400000000,14629000000,34560000000,None,None,133690000000,USD,103787000000,48192000000,7381000000,467000000,305690000000,96840000000,72812000000,175283000000,208850000000,102471000000,129302000000,-20370000000
None,None,19548000000,19548000000,5240000000,3192981000,29920000000,None,None,27265000000,None,2012-12-31,11861000000,24041000000,24041000000,27867000000,None,38767000000,None,None,64771000000,34721000000,None,None,120448000000,USD,87576000000,48797000000,10033000000,319000000,300987000000,111257000000,77862000000,181367000000,189730000000,103505000000,118414000000,-20774000000
None,None,14067000000,14067000000,43454000000,3189367000,29830000000,None,None,-1900000000,None,2011-12-31,12100000000,21102000000,21102000000,25661000000,None,35169000000,None,None,57568000000,21172000000,None,None,119214000000,USD,83063000000,44213000000,9044000000,288000000,290927000000,95684000000,82418000000,178445000000,195243000000,96027000000,111465000000,-20935000000
None,None,18556000000,18556000000,5183000000,3166301000,46329000000,None,None,39063000000,None,2010-12-31,8598000000,14298000000,14298000000,26218000000,None,30710000000,None,None,47906000000,819000000,None,None,110163000000,USD,65758000000,45336000000,14743000000,5888000000,272262000000,96853000000,83879000000,176371000000,175409000000,92492000000,94987000000,-21085000000
None,None,8339000000,8339000000,5158000000,3156271000,22886000000,None,None,29780000000,None,2009-12-31,8620000000,11548000000,11548000000,22605000000,None,25518000000,None,None,6929000000,14535000000,None,None,108275000000,USD,72655000000,34627000000,9109000000,4967000000,235968000000,67653000000,59320000000,133855000000,168315000000,74535000000,101613000000,-21303000000
None,None,8197000000,8197000000,5155000000,3160420000,33644000000,None,None,40821000000,None,2008-12-31,9878000000,10260000000,10260000000,16821000000,None,17464000000,None,None,32856000000,10522000000,None,None,103200000000,USD,67080000000,33204000000,15740000000,168000000,228238000000,66384000000,69793000000,136129000000,161854000000,66336000000,91303000000,-21513000000
None,None,3562000000,3562000000,5216000000,3222789000,31451000000,None,None,49381000000,None,2007-12-31,11006000000,6652000000,6652000000,26554000000,None,15651000000,None,None,48800000000,20464000000,None,None,97989000000,USD,64510000000,31045000000,15394000000,None,236076000000,80202000000,77231000000,141424000000,155874000000,64193000000,93690000000,-22112000000
None,None,2590000000,2590000000,5364000000,3363914000,28319000000,None,None,43461000000,None,2006-12-31,10780000000,5246000000,5246000000,18915000000,None,11086000000,None,None,52756000000,25327000000,None,None,90999000000,USD,58487000000,24010000000,12924000000,None,217601000000,75339000000,75352000000,132136000000,142262000000,56784000000,84624000000,-22182000000
None,None,2960000000,2960000000,5164000000,3563158000,28614000000,None,None,42712000000,None,2005-12-31,10371000000,4772000000,4772000000,19760000000,None,10230000000,None,None,52570000000,23707000000,None,None,85947000000,USD,46151000000,10230000000,8932000000,None,206914000000,75290000000,71497000000,126149000000,131624000000,54652000000,79976000000,-10598000000
