capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
15297000000,-7297000000,-13250000000,None,None,808000000,None,None,None,16622000000,5003000000,5003000000,None,2024-12-31,6782000000,27297000000,None,None,None,None,None,None,None,None,None,-7127000000,None,None,USD
14285000000,-13359000000,-14872000000,None,None,5634000000,None,None,None,15928000000,4809000000,4809000000,None,2023-12-31,23749000000,32039000000,None,None,None,None,None,None,None,None,None,-7918000000,None,None,USD
12069000000,-28021000000,-13713000000,None,None,-5492000000,None,None,None,14703000000,4358000000,4358000000,None,2022-12-31,15405000000,40932000000,None,None,None,None,None,None,None,None,None,-9996000000,None,None,USD
10887000000,-18079000000,-5694000000,None,None,-626000000,None,None,None,14972000000,4304000000,4304000000,None,2021-12-31,15227000000,23612000000,None,None,None,None,None,None,None,None,None,-3151000000,None,None,USD
12306000000,3956000000,-7858000000,None,None,3963000000,None,None,None,14889000000,6340000000,6340000000,None,2020-12-31,-24888000000,12162000000,None,None,None,None,None,None,None,None,None,-776000000,None,None,USD
15418000000,-8817000000,-16974000000,None,None,-2918000000,None,None,None,18411000000,6946000000,6946000000,None,2019-12-31,8154000000,25770000000,None,None,None,None,None,None,None,None,None,-1511000000,None,None,USD
16707000000,-4079000000,-21571000000,None,None,-4763000000,None,None,None,16542000000,6699000000,6699000000,None,2018-12-31,16723000000,22873000000,None,None,None,None,None,None,None,None,None,-355000000,None,None,USD
16562000000,-3296000000,-14077000000,None,None,-3352000000,None,None,None,17187000000,6153000000,6153000000,None,2017-12-31,7180000000,18931000000,None,None,None,None,None,None,None,None,None,-343000000,None,None,USD
16701000000,1977000000,-14753000000,None,None,-3198000000,None,None,None,15779000000,4611000000,4611000000,None,2016-12-31,-2295000000,10691000000,None,None,None,None,None,None,None,None,None,887000000,None,None,USD
18648000000,-4535000000,-17300000000,None,None,843000000,None,None,None,17048000000,6659000000,6659000000,None,2015-12-31,-9571000000,19133000000,None,None,None,None,None,None,None,None,None,-5000000,None,None,USD
22546000000,-5266000000,-19574000000,None,None,7112000000,None,None,None,18192000000,5850000000,5850000000,None,2014-12-31,4950000000,32754000000,None,None,None,None,None,None,None,None,None,-4589000000,None,None,USD
24520000000,-10400000000,-7855000000,None,None,-6788000000,None,None,None,16220000000,5441000000,5441000000,None,2013-12-31,30221000000,21100000000,None,None,None,None,None,None,None,None,None,-5358000000,None,None,USD
23078000000,-2018000000,-12962000000,None,None,-7645000000,None,None,None,13226000000,5294000000,5294000000,None,2012-12-31,18809000000,20397000000,None,None,None,None,None,None,None,None,None,6421000000,None,None,USD
17845000000,482000000,-26633000000,None,None,-17527000000,None,None,None,12159000000,4072000000,4072000000,None,2011-12-31,38834000000,22154000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
18421000000,840000000,-3960000000,None,None,-3895000000,None,None,None,11539000000,2942000000,2942000000,None,2010-12-31,-3719000000,13616000000,None,None,None,None,None,None,None,None,None,315000000,None,None,USD
20650000000,-9551000000,-18133000000,None,None,-5363000000,None,None,None,12699000000,10899000000,10899000000,None,2009-12-31,25124000000,27716000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
22658000000,-10509000000,-22767000000,None,None,5348000000,None,None,None,10985000000,10342000000,10342000000,None,2008-12-31,35239000000,37911000000,None,None,None,None,None,None,None,None,None,-2567000000,None,None,USD
17830000000,-10529000000,-12843000000,None,None,-7255000000,None,None,None,10579000000,8106000000,8106000000,None,2007-12-31,32352000000,24344000000,None,None,None,None,None,None,None,None,None,-7113000000,None,None,USD
15125000000,-22944000000,-5645000000,None,None,995000000,None,None,None,9128000000,7686000000,7686000000,None,2006-12-31,35158000000,28219000000,None,None,None,None,None,None,None,None,None,-15151000000,None,None,USD
12281000000,-23303000000,-1328000000,None,None,-6638000000,None,None,None,8771000000,7359000000,7359000000,None,2005-12-31,33652000000,26232000000,None,None,None,None,None,None,None,None,None,-11315000000,None,None,USD
