comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,158946000000,158946000000,None,16622000000,11361000000,27983000000,2024-12-31,30239000000,6782000000,5553000000,None,4579000000,2773000000,None,381000000,1229000000,-1742000000,None,16624000000,13615000000,None,USD,301000000,16417000000,189185000000
None,144294000000,144294000000,None,15928000000,27575000000,43503000000,2023-12-31,64057000000,23749000000,7869000000,None,2929000000,971000000,None,15239000000,26605000000,-1796000000,None,17080000000,46977000000,None,USD,298000000,16772000000,208351000000
None,186296000000,186296000000,None,14318000000,18028000000,32346000000,2022-12-31,55096000000,15405000000,16762000000,None,2623000000,1103000000,None,-2487000000,-1357000000,-1531000000,None,13649000000,41447000000,None,USD,274000000,13449000000,241392000000
None,134879000000,134879000000,None,14805000000,17744000000,32549000000,2021-12-31,22860000000,15227000000,6740000000,None,2517000000,581000000,None,7565000000,8487000000,-2274000000,None,12188000000,10672000000,None,USD,266000000,11931000000,157739000000
None,95760000000,95760000000,None,14889000000,-21931000000,-7042000000,2020-12-31,10184000000,-24888000000,-4159000000,None,2158000000,2855000000,None,-20305000000,-20729000000,-2485000000,None,10757000000,-573000000,None,USD,332000000,10397000000,105944000000
None,131724000000,131724000000,None,17780000000,11643000000,29423000000,2019-12-31,27583000000,8154000000,3964000000,None,2415000000,1262000000,None,4026000000,4190000000,-2783000000,None,11390000000,16193000000,None,USD,364000000,11057000000,159307000000
None,269876000000,269876000000,None,16542000000,18166000000,34708000000,2018-12-31,28880000000,16723000000,7145000000,None,2528000000,2434000000,None,9383000000,9578000000,-1882000000,None,13624000000,16341000000,None,USD,429000000,12179000000,298756000000
None,221304000000,221304000000,None,17187000000,8633000000,25820000000,2017-12-31,18904000000,7180000000,3712000000,None,2074000000,1374000000,None,3389000000,3468000000,-1637000000,None,12588000000,7919000000,None,USD,391000000,10508000000,240208000000
None,176484000000,176484000000,None,15779000000,-1894000000,13885000000,2016-12-31,6524000000,-2295000000,-2467000000,None,1675000000,1521000000,None,115000000,172000000,-1359000000,None,12216000000,-4418000000,None,USD,400000000,10495000000,183008000000
None,218085000000,218085000000,None,17048000000,-6981000000,10067000000,2015-12-31,4809000000,-9571000000,-3171000000,None,1347000000,1656000000,None,-6482000000,-6400000000,None,None,13906000000,-10358000000,None,USD,418000000,11553000000,222894000000
None,327403000000,327403000000,None,18192000000,3069000000,21261000000,2014-12-31,26165000000,4950000000,947000000,None,836642056,None,None,3780000000,4003000000,None,None,16328000000,12866000000,None,USD,663000000,12696000000,353568000000
None,346435000000,346435000000,None,16220000000,19676000000,35896000000,2013-12-31,32701000000,30221000000,6463000000,None,1068000000,None,None,23451000000,23758000000,None,None,16511000000,18900000000,None,USD,707000000,13070000000,379136000000
None,343078000000,343078000000,None,13226000000,18664000000,31890000000,2012-12-31,27788000000,18809000000,6993000000,None,1125000000,None,None,11582000000,None,None,None,14832000000,13701000000,None,USD,674000000,13357000000,370866000000
None,329178000000,329178000000,None,12159000000,38613000000,50772000000,2011-12-31,46339000000,38834000000,12737000000,None,1246000000,None,None,25700000000,None,None,None,15478000000,34991000000,None,USD,636000000,13958000000,375517000000
None,286070000000,286070000000,None,11539000000,-4030000000,7509000000,2010-12-31,15794000000,-4825000000,-1501000000,None,1217000000,None,None,-3719000000,None,None,None,24871000000,-13525000000,None,USD,780000000,12555000000,301864000000
None,190726000000,190726000000,None,12699000000,25641000000,38340000000,2009-12-31,53239000000,25124000000,8365000000,None,1302000000,None,None,16578000000,None,None,None,26653000000,26586000000,None,USD,587000000,14038000000,243965000000
None,302691000000,302691000000,None,10985000000,35830000000,46815000000,2008-12-31,58452000000,34281000000,12617000000,None,1547000000,None,None,21155000000,None,None,None,28144000000,35730000000,None,USD,882000000,14654000000,361143000000
None,230694000000,230694000000,None,10579000000,31551000000,42130000000,2007-12-31,53671000000,31611000000,10442000000,None,1110000000,None,None,20845000000,None,None,None,28191000000,31551000000,None,USD,756000000,15371000000,284365000000
None,214597000000,214597000000,None,9128000000,31885000000,41013000000,2006-12-31,51309000000,34642000000,12331000000,None,718000000,None,None,22000000000,None,None,None,26614000000,31885000000,None,USD,1045000000,14447000000,265906000000
None,163026000000,163026000000,None,8771000000,33159000000,41930000000,2005-12-31,76766000000,31921000000,9473000000,None,616000000,None,None,22341000000,None,None,None,44395000000,33159000000,None,USD,684000000,13706000000,239792000000
