accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,2304000000,11174000000,11174000000,1736000000,2044000000,16010000000,None,893000000,5505000000,None,2024-12-31,110479000000,40034000000,40034000000,5020000000,None,68973000000,None,4780000000,1079000000,11242000000,None,-1000000,23503000000,USD,46577000000,72170000000,1449000000,221000000,206637000000,22999000000,33066000000,117937000000,183638000000,84871000000,78237000000,None
None,2829000000,10332000000,10332000000,1736000000,2054000000,17729000000,None,4004000000,4417000000,None,2023-12-31,117043000000,41286000000,41286000000,5583000000,None,74163000000,None,5050000000,2968000000,13840000000,None,-1000000,26818000000,USD,42215000000,78168000000,4004000000,67000000,219340000000,23367000000,37156000000,126664000000,195973000000,89508000000,81848000000,None
None,2492000000,9900000000,9900000000,1736000000,2050000000,18589000000,None,582000000,3707000000,None,2022-12-31,113010000000,40210000000,40210000000,6612000000,None,76917000000,None,4831000000,2884000000,10284000000,None,1000000,26671000000,USD,38823000000,79991000000,1304000000,97000000,212943000000,23186000000,34383000000,128665000000,189757000000,94282000000,73398000000,None
None,2277000000,12019000000,12019000000,1736000000,2045000000,17810000000,None,1014000000,3564000000,None,2021-12-31,115796000000,40430000000,40430000000,5399000000,None,85539000000,None,6035000000,2630000000,18289000000,None,None,26678000000,USD,33882000000,88830000000,1461000000,374000000,217627000000,23949000000,34184000000,138287000000,193678000000,104103000000,68669000000,-3994000000
None,2234000000,15168000000,15168000000,1736000000,1998000000,15898000000,None,2689000000,3401000000,None,2020-12-31,120971000000,41527000000,41527000000,4391000000,None,93642000000,None,6280000000,2988000000,9439000000,None,-2000000,26419000000,USD,30870000000,98565000000,3350000000,396000000,226410000000,26519000000,32352000000,148059000000,199891000000,115707000000,68024000000,-4911000000
None,2025000000,7238000000,7238000000,1736000000,2026000000,15876000000,None,5144000000,4166000000,None,2019-12-31,128114000000,42452000000,42452000000,4322000000,None,95872000000,None,5971000000,12996000000,9394000000,None,1000000,27544000000,USD,31484000000,103041000000,5517000000,92000000,236648000000,28814000000,34841000000,152095000000,207834000000,117254000000,75722000000,-6270000000
None,204000000,7074000000,7074000000,1736000000,2011000000,15512000000,None,4288000000,6503000000,None,2018-12-31,133311000000,44831000000,44831000000,4111000000,None,105422000000,None,6244000000,-1000000,14585000000,None,-1000000,27615000000,USD,26074000000,111327000000,4330000000,87000000,232103000000,18281000000,34459000000,160199000000,213822000000,125740000000,64486000000,-6549000000
None,213000000,10472000000,10472000000,1736000000,2010000000,15240000000,None,7523000000,4918000000,None,2017-12-31,140940000000,45874000000,45874000000,4018000000,None,108763000000,None,5363000000,3147000000,7985000000,None,None,27184000000,USD,28394000000,116499000000,8566000000,1304000000,246126000000,23960000000,36211000000,165906000000,222166000000,129695000000,72585000000,-8980000000
None,234000000,8579000000,8579000000,1736000000,1755000000,14071000000,None,8776000000,7187000000,None,2016-12-31,136532000000,44569000000,44569000000,3824000000,None,113733000000,None,4406000000,17812000000,10519000000,None,-1000000,26219000000,USD,28214000000,122743000000,8802000000,5659000000,258381000000,43061000000,40116000000,176956000000,215320000000,136840000000,71339000000,-8980000000
None,None,6923000000,6923000000,1736000000,1641000000,11616000000,None,4060000000,3298000000,None,2015-12-31,65061000000,29677000000,29677000000,2759000000,None,43419000000,None,260000000,5259000000,8397000000,None,None,18952000000,USD,35949000000,49466000000,6164000000,55000000,134635000000,18294000000,28456000000,88916000000,116341000000,60460000000,42137000000,-1626000000
None,None,8357000000,8357000000,1736000000,1665000000,10913000000,None,5237000000,3415000000,None,2014-12-31,70758000000,29923000000,29923000000,2888000000,None,43630000000,None,228000000,3580000000,6325000000,None,None,20263000000,USD,35174000000,51122000000,7492000000,301000000,142550000000,18541000000,27208000000,88293000000,124009000000,61085000000,49972000000,-63000000
None,None,9839000000,9839000000,1735000000,1650000000,9834000000,None,49126000000,2985000000,None,2013-12-31,69926000000,29338000000,29338000000,2872000000,None,41274000000,None,380000000,2871000000,5147000000,None,None,20889000000,USD,31004000000,49126000000,7852000000,123000000,141666000000,18690000000,25627000000,86358000000,122976000000,60731000000,50365000000,-97000000
None,None,7051000000,7051000000,1734000000,1628000000,8476000000,None,None,3367000000,None,2012-12-31,51766000000,24371000000,24371000000,2461000000,None,38951000000,None,None,924000000,4474000000,None,None,16461000000,USD,21677000000,44341000000,5390000000,6827000000,122621000000,20630000000,20408000000,77180000000,101991000000,56772000000,41142000000,-241000000
None,None,5320000000,5320000000,1734000000,1614000000,13337000000,None,None,4433000000,None,2011-12-31,51302000000,23818000000,23818000000,2466000000,None,34598000000,None,None,1000000,241000000,None,None,16022000000,USD,17820000000,40165000000,5567000000,103000000,112427000000,12323000000,19644000000,71383000000,100104000000,51739000000,37492000000,-394000000
