capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3863000000,-9854000000,-3259000000,None,None,-149000000,None,None,None,5544000000,2672000000,2672000000,None,2024-12-31,5855000000,15055000000,None,None,None,None,None,None,None,None,None,-937000000,None,None,USD
4638000000,-8596000000,-4354000000,None,None,717000000,None,None,None,5411000000,3013000000,3013000000,None,2023-12-31,6891000000,13265000000,None,None,None,None,None,None,None,None,None,-362000000,None,None,USD
5160000000,-10620000000,-4620000000,None,None,-1547000000,None,None,None,5078000000,2442000000,2442000000,None,2022-12-31,7597000000,13298000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
5640000000,-11598000000,-5878000000,None,None,-1232000000,None,None,None,5052000000,2364000000,2364000000,None,2021-12-31,6114000000,14799000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
4854000000,-8755000000,6336000000,None,None,-427000000,None,None,None,4829000000,5015000000,5015000000,None,2020-12-31,9990000000,14036000000,None,None,None,None,None,None,None,None,None,-8032000000,None,None,USD
5174000000,-8512000000,-4931000000,None,None,-426000000,None,None,None,4657000000,5015000000,5015000000,None,2019-12-31,9990000000,13396000000,None,None,None,None,None,None,None,None,None,22584000000,None,None,USD
5086000000,-13945000000,-3965000000,None,None,-603000000,None,None,None,4260000000,7761000000,7761000000,None,2018-12-31,5691000000,14663000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
4741000000,-21004000000,7854000000,None,None,-213000000,None,None,None,4276000000,9275000000,9275000000,None,2017-12-31,9183000000,15430000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
4979000000,50731000000,-60077000000,None,None,-364000000,None,None,None,3477000000,8450000000,8450000000,None,2016-12-31,2769000000,10110000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
4749000000,-9281000000,-4930000000,None,None,-424000000,None,None,None,3153000000,7966000000,7966000000,None,2015-12-31,9867000000,14121000000,None,None,None,None,None,None,None,None,None,-1000000000,None,None,USD
4395000000,-3855000000,-11152000000,None,None,-354000000,None,None,None,3353000000,7400000000,7400000000,None,2014-12-31,11302000000,14144000000,None,None,None,None,None,None,None,None,None,18382000000,None,None,USD
3869000000,341000000,-10281000000,None,None,-129000000,None,None,None,2985000000,6253000000,6253000000,None,2013-12-31,16518000000,13864000000,None,None,None,None,None,None,None,None,None,22464000000,None,None,USD
3264000000,162000000,-11341000000,None,None,-130000000,None,None,None,2747000000,3632000000,3632000000,None,2012-12-31,9434000000,13268000000,None,None,None,None,None,None,None,None,None,18463000000,None,None,USD
3376000000,-8996000000,-2731000000,None,None,-157000000,None,None,None,2783000000,3088000000,3088000000,None,2011-12-31,7959000000,12486000000,None,None,None,None,None,None,None,None,None,17291000000,None,None,USD
2344000000,-6757000000,-2546000000,None,None,-134000000,None,None,None,None,1924000000,1924000000,None,2010-12-31,5762000000,9905000000,None,None,None,None,None,None,None,None,None,27313000000,None,None,USD
1713000000,-13096000000,5269000000,None,None,301000000,None,None,None,None,1313000000,1313000000,None,2009-12-31,5877000000,9124000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
2652000000,49879000000,-55503000000,None,None,-388000000,None,None,None,None,2922000000,2922000000,None,2008-12-31,3126000000,6158000000,None,None,None,None,None,None,None,None,None,-797000000,None,None,USD
2305101549.86,-1414262177.96,-3437969294.47,None,None,-100602154.93,None,None,None,1501742312,1121203726.65,1121203726.65,None,2007-12-31,4443990843,5925321124,None,None,None,None,None,None,None,None,None,-821000000,None,None,USD
1821325344.14,274518602,-4594227190.54,None,None,1319800,None,None,None,1335638585,814317200.97,814317200.97,None,2006-12-31,2805896870,4338185801,None,None,None,None,None,None,None,None,None,-77868257.47,None,None,USD
1398775331.34,-76985941.18,-3060487261.79,None,None,21319183,None,None,None,1051746396,672738686.03,672738686.03,None,2005-12-31,1660527531,2707536331,None,None,None,None,None,None,None,None,None,-129099501.37,None,None,USD
