comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,26744000000,26744000000,None,5535000000,14761000000,20296000000,2024-12-31,33024000000,10568000000,3152000000,None,4184000000,733000000,None,5855000000,7416000000,-3822000000,None,17537000000,15487000000,None,USD,222000000,4983000000,59768000000
None,27396000000,27396000000,None,5411000000,13656000000,19067000000,2023-12-31,31984000000,9124000000,2234000000,None,4532000000,423000000,None,5341000000,7920000000,-3355000000,None,18018000000,13966000000,None,USD,256000000,4738000000,59380000000
None,26305000000,26305000000,None,5078000000,13903000000,18981000000,2022-12-31,31481000000,9524000000,1928000000,None,4379000000,4605000000,None,5969000000,7596000000,-4480000000,None,16964000000,14517000000,None,USD,268000000,4414000000,57786000000
None,23097000000,23097000000,None,5052000000,12736000000,17788000000,2021-12-31,31207000000,8463000000,2350000000,None,4273000000,3221000000,None,4670000000,6113000000,-5609000000,None,17383000000,13824000000,None,USD,298000000,4394000000,54304000000
None,19634000000,19634000000,None,4829000000,6729000000,11558000000,2020-12-31,27247000000,2079000000,1932000000,None,4734171000,642000000,None,1405000000,147000000,-7697000000,None,17627000000,9620000000,None,USD,296000000,3404000000,46881000000
None,20362000000,20362000000,None,4657000000,17670000000,22327000000,2019-12-31,31967000000,12776000000,2786000000,None,5023064000,2384000000,None,9171000000,9990000000,-3720000000,None,15869000000,16098000000,None,USD,291000000,3548000000,52329000000
None,19933000000,19933000000,None,4624000000,17002000000,21626000000,2018-12-31,33108000000,7741000000,2585000000,None,9261000000,7558000000,None,4370000000,5691000000,-6396000000,None,16694000000,16414000000,None,USD,276000000,3421000000,53041000000
None,20975000000,20975000000,None,4625000000,15394000000,20019000000,2017-12-31,33884000000,10264000000,1658000000,None,5097132000,4841000000,None,7990000000,9156000000,-5461000000,None,17424000000,16460000000,None,USD,276000000,3779000000,54859000000
None,17803000000,17803000000,None,3477000000,9175000000,12652000000,2016-12-31,27715000000,4334000000,1613000000,None,4841000000,4321000000,None,1241000000,2721000000,-7676000000,None,14832000000,12882000000,None,USD,244000000,2883000000,45517000000
None,17137000000,17137000000,None,3153000000,13777000000,14884000000,2015-12-31,26467000000,12460000000,2594000000,None,2074000000,893000000,None,8272000000,9867000000,None,None,13081000000,13386000000,None,USD,207000000,2560000000,43604000000
None,18756000000,18756000000,None,3353000000,16258000000,19611000000,2014-12-31,28307000000,13801000000,2499000000,None,2626871000,None,None,9216000000,11302000000,None,None,13196000000,15111000000,None,USD,217000000,2791000000,47063000000
None,17594000000,17594000000,None,2985000000,21055000000,24040000000,2013-12-31,25601000000,18534000000,2016000000,None,2369564000,None,None,14394000000,16518000000,None,None,5158000000,20443000000,None,USD,185000000,2539000000,43195000000
None,16422000000,16422000000,None,2747000000,13443000000,16190000000,2012-12-31,23336000000,11005000000,1680000000,None,2290894000,None,None,7160000000,None,None,None,10589000000,12747000000,None,USD,182000000,2200000000,39758000000
None,16610000000,16610000000,None,2783000000,12698000000,15481000000,2011-12-31,22436000000,9685000000,1826000000,None,2885112000,None,None,5779000000,None,None,None,10090000000,12346000000,None,USD,175000000,2057000000,39046000000
None,16151000000,16151000000,None,2788000000,10871000000,13659000000,2010-12-31,20146000000,7682000000,1920000000,None,1954801000,None,None,4026000000,None,None,None,9249000000,10897000000,None,USD,184000000,1960000000,36297000000
None,17198000000,17198000000,None,2818000000,10248000000,13066000000,2009-12-31,19560000000,7663000000,1786000000,None,4920000000,None,None,4613000000,None,None,None,9312000000,10248000000,None,USD,159000000,4981000000,36758000000
None,10336000000,10336000000,None,1912000000,5688000000,7600000000,2008-12-31,13171000000,3800000000,674000000,None,1888000000,None,None,1927000000,None,None,None,7831000000,5340000000,None,USD,75000000,4203000000,23507000000
None,8118000000,8118000000,None,1408000000,6030000000,7438000000,2007-12-31,11617000000,5055000000,888000000,None,975000000,None,None,3005000000,None,None,None,5745000000,5872000000,None,USD,27000000,3697000000,19735000000
None,7228549934,7228549934,None,1442542464,4350064010,5792606474,2006-12-31,10335361427,3506711187,700814317,None,843352822,None,None,2805896870,None,None,None,6205704179,4129657247,None,USD,None,1418786047,17563911362
None,6019116201,6019116201,None,1051746396,2929018962,3980765358,2005-12-31,7786239651,2123627577,463100046,None,805391384,None,None,1660527531,None,None,None,5182930440,2603309211,None,USD,None,1114519548,13805355852
