accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,59000000,4074000000,4074000000,27661000000,1751000000,655000000,None,71000000,1363000000,None,2024-12-31,3097000000,66000000,66000000,1942000000,None,5126000000,None,4154000000,253000000,1358000000,None,591000000,28559000000,USD,-5269000000,5256000000,84000000,954000000,47626000000,7632000000,2642000000,14370000000,39994000000,11728000000,24290000000,None
None,56000000,4148000000,4148000000,28117000000,1755000000,678000000,None,32000000,1178000000,None,2023-12-31,3581000000,67000000,67000000,1782000000,None,5135000000,None,4264000000,330000000,1585862000,None,577000000,26416000000,USD,-6713000000,5223000000,43000000,1196000000,45811000000,7438000000,2356000000,13809000000,38373000000,11453000000,23341000000,None
None,70000000,4440000000,4440000000,28114000000,51058780,741000000,None,32000000,906000000,None,2022-12-31,3581000000,67000000,67000000,1781000000,None,5148000000,None,4095000000,1338000000,2250799000,None,661000000,25821000000,USD,-7282000000,5250000000,45000000,1443000000,45965000000,8465000000,3120000000,14676000000,37500000000,11556000000,22771000000,None
None,68000000,5280000000,5280000000,28497000000,51113792,539000000,None,9000000,942000000,None,2021-12-31,4769000000,68000000,68000000,1734000000,None,5396000000,None,5008000000,293000000,1442092000,None,668000000,None,USD,-6566000000,5473000000,24000000,None,46890000000,8249000000,2086000000,14583000000,38641000000,12497000000,23857000000,None
None,None,79145000,79145000,642000,51097586,112428000,None,None,325192000,None,2020-12-31,1011580000,564132000,564132000,238008000,None,None,None,None,40723000,95105000,None,None,None,None,1519811000,715966000,16098000,None,2676226000,642345000,295379000,1293549000,2033881000,998170000,1382677000,None
None,None,93805000,93805000,639000,51633169,118509000,None,None,416506000,None,2019-12-31,933022000,581116000,581116000,232706000,None,None,None,None,21373000,107075000,None,None,None,None,1489176000,845526000,20509000,None,2738335000,764390000,342875000,1467807000,1973945000,1124932000,1270528000,None
None,None,100719000,100719000,634000,52831606,143419000,None,None,439437000,None,2018-12-31,955524000,636538000,636538000,265990000,None,None,None,None,45340000,118869000,None,None,None,None,1363772000,944016000,7659000,None,2808970000,806146000,357860000,1605914000,2002824000,1248054000,1203056000,None
None,None,145290000,145290000,630000,54605298,127521000,None,None,381469000,None,2017-12-31,690223000,507042000,507042000,241962000,None,None,None,None,32526000,110301000,None,None,None,None,1206723000,532596000,6999000,None,2365716000,768721000,315761000,1105395000,1596995000,789634000,1260321000,None
None,None,66447000,66447000,627000,54631313,112024000,None,None,314286000,None,2016-12-31,633436000,522258000,522258000,227759000,None,None,None,None,27163000,95678000,None,None,None,None,1177151000,500954000,32892000,None,2137539000,608492000,301883000,969181000,1529047000,667298000,1168358000,None
None,None,83926000,83926000,621000,55513219,97035000,None,None,294226000,None,2015-12-31,587992000,528322000,528322000,208611000,None,None,None,None,24825000,89185000,None,None,None,None,1069247000,509906000,24195000,None,2061866000,611588000,252550000,934113000,1450278000,681563000,1127753000,None
