capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3174000000,-1795000000,-2764000000,None,None,-172000000,None,None,None,1411000000,696000000,696000000,None,2024-12-31,2144000000,4491000000,None,None,None,None,None,None,None,None,None,-498000000,None,None,USD
3086000000,-1205000000,-2816000000,None,None,-97000000,None,None,None,2399000000,700000000,700000000,None,2023-12-31,1272000000,3732000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
3049000000,-2604000000,-1711000000,None,None,-219000000,None,None,None,2518000000,1143000000,1143000000,None,2022-12-31,432000000,3481000000,None,None,None,None,None,None,None,None,None,-424000000,None,None,USD
2435000000,-2388000000,-1897000000,None,None,-163000000,None,None,None,2163000000,634000000,634000000,None,2021-12-31,2022000000,4378000000,None,None,None,None,None,None,None,None,None,-750000000,None,None,USD
2054000000,-2254000000,-1286000000,None,None,121000000,None,None,None,1834000000,547000000,547000000,None,2020-12-31,2324000000,5417000000,None,None,None,None,None,None,None,None,None,-15550000,None,None,None
1701000000,-1139000000,50000000,None,None,9000000,None,None,None,1676000000,548000000,548000000,None,2019-12-31,3969000000,2833000000,None,None,None,None,None,None,None,None,None,-50347000,None,None,None
1400000000,-925000000,-1494000000,None,None,-111000000,None,None,None,1827000000,125000000,125000000,None,2018-12-31,-1545000000,1765000000,None,None,None,None,None,None,None,None,None,-138275000,None,None,None
1396000000,-1886000000,-337000000,None,None,-372000000,None,None,None,1375000000,125000000,125000000,None,2017-12-31,1438000000,2065000000,None,None,None,None,None,None,None,None,None,-40791000,None,None,None
1126000000,-2297000000,-412000000,None,None,-190000000,None,None,None,1561000000,86000000,86000000,None,2016-12-31,655000000,2640000000,None,None,None,None,None,None,None,None,None,-20520000,None,None,None
1713000000,-3275000000,250000000,None,None,24000000,None,None,None,1856000000,160000000,160000000,None,2015-12-31,-2838000000,2794000000,None,None,None,None,None,None,None,None,None,-52103000,None,None,None
2432000000,-60000000,-1950000000,None,None,-78000000,None,None,None,1743000000,232000000,232000000,None,2014-12-31,-2907000000,2296000000,None,None,None,None,None,None,None,None,None,-8389000,None,None,None
57304000,-182807000,157444000,None,None,2079000,None,None,None,67443000,22422000,22422000,None,2013-12-31,270527000,10090000,None,None,None,None,None,None,None,None,None,-68608000,None,None,None
37787000,219276000,-332807000,None,None,5404000,None,None,None,57360000,21662000,21662000,None,2012-12-31,95249000,136377000,None,None,None,None,None,None,None,None,None,-19037000,None,None,None
37082000,-40195000,-30612000,None,None,-12384000,None,None,None,58904000,18629000,18629000,None,2011-12-31,64715000,121024000,None,None,None,None,None,None,None,None,None,-34066000,None,None,None
28759000,-39300000,-30299000,None,None,-24006000,None,None,None,52770000,17461000,17461000,None,2010-12-31,53278000,65760000,None,None,None,None,None,None,None,None,None,-28100000,None,None,None
30502000,-121869000,-26080000,None,None,53523000,None,None,None,51487000,25600000,25600000,None,2009-12-31,39001000,143483000,None,None,None,None,None,None,None,None,None,-314000,None,None,None
51869000,-1761000,-106673000,None,None,-2725000,None,None,None,52403000,33345000,33345000,None,2008-12-31,86979000,111808000,None,None,None,None,None,None,None,None,None,-34209000,None,None,None
50197000,-5587000,-128061000,None,None,-41775000,None,None,None,50607000,29111000,29111000,None,2007-12-31,101337000,120318000,None,None,None,None,None,None,None,None,None,-54000,None,None,None
41712000,140912000,-247345000,None,None,-24658000,None,None,None,42226000,24803000,24803000,None,2006-12-31,73845000,114321000,None,None,None,None,None,None,None,None,None,-712000,None,None,None
26097000,7948000,-85457000,None,None,-22978000,None,None,None,34858000,19879000,19879000,None,2005-12-31,54151000,69652000,None,None,None,None,None,None,None,None,None,-149000,None,None,None
