comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,7961000000,7961000000,None,1915000000,5031000000,6946000000,2024-12-31,4961000000,4608000000,1520000000,None,407450138,144000000,None,2144000000,3088000000,-129000000,None,777000000,4184000000,None,USD,None,115000000,12922000000
None,7932000000,7932000000,None,2043000000,3164000000,5207000000,2023-12-31,3465000000,2814000000,861000000,None,360491940,21000000,None,1272000000,1953000000,-64000000,None,655000000,2810000000,None,USD,10000000,126000000,11397000000
None,7497000000,7497000000,None,1997000000,2022000000,4019000000,2022-12-31,3516000000,1681000000,664000000,None,332290552,17000000,None,432000000,1017000000,-236000000,None,492000000,3024000000,None,USD,15000000,159000000,11013000000
None,7089000000,7089000000,None,2102000000,4978000000,7080000000,2021-12-31,4896000000,4632000000,1344000000,None,350885158,16000000,None,2022000000,3288000000,-296000000,None,555000000,4341000000,None,USD,16000000,151000000,11985000000
None,721238000,721238000,None,87656000,117439000,205095000,2020-12-31,403153000,101495000,38120000,None,15944000,None,None,63375000,None,None,None,279783000,123370000,None,None,1000000,None,1124391000
None,944154000,944154000,None,99059000,227473000,326532000,2019-12-31,546964000,206844000,48494000,None,20629000,None,None,158350000,None,None,None,310516000,236448000,None,None,1000000,None,1491118000
None,963524000,963524000,None,94238000,224336000,318574000,2018-12-31,532365000,207495000,41309000,None,16841000,None,None,166186000,None,None,None,300601000,231764000,None,None,1000000,295181000,1495889000
None,943779000,943779000,None,90150000,210270000,300420000,2017-12-31,492720000,195699000,136284000,None,14571000,None,None,59415000,None,None,None,286269000,206451000,None,None,14765000,286723000,1436499000
None,788727000,788727000,None,80154000,194504000,274658000,2016-12-31,442027000,182621000,47020000,None,11883000,None,None,135601000,None,None,None,247731000,194296000,None,None,12913000,246084000,1230754000
None,782817000,782817000,None,78242000,168644000,246886000,2015-12-31,411158000,157946000,36566000,None,10698000,None,None,121380000,None,None,None,242762000,168396000,None,None,12688000,239993000,1193975000
None,829648000,829648000,None,81395000,177892000,259287000,2014-12-31,432358000,166500000,45959000,None,11392000,None,None,118370000,None,None,None,252384000,179974000,None,None,15782000,252384000,1262006000
None,738170000,738170000,None,65052000,120664000,185716000,2013-12-31,353396000,107574000,35253000,None,13090000,None,None,270527000,None,None,None,230195000,123201000,None,None,14707000,226553000,1091566000
None,655653000,655653000,None,57360000,104500000,161860000,2012-12-31,273127000,92262000,12432000,None,12238000,None,None,95249000,None,None,None,165996000,107131000,None,None,8696000,278834000,928780000
None,615331000,615331000,None,58904000,101246000,160150000,2011-12-31,249747000,90975000,16020000,None,10271000,None,None,64715000,None,None,None,148168000,101579000,None,None,None,269402000,865078000
None,678186000,678186000,None,52770000,83789000,136559000,2010-12-31,350431000,63805000,9827000,None,19984000,None,None,53278000,None,None,None,264033000,86398000,None,None,None,322625000,1028617000
None,671110000,671110000,None,51487000,62542000,114029000,2009-12-31,363049000,39946000,945000,None,22596000,None,None,39001000,None,None,None,302534000,60515000,None,None,92469570,302534000,1034159000
None,847641000,847641000,None,52403000,145613000,198016000,2008-12-31,514450000,126096000,29014000,None,19517000,None,None,86979000,None,None,None,366510000,147940000,None,None,209193378,366510000,1362091000
None,880983000,880983000,None,50607000,155122000,205729000,2007-12-31,537168000,130027000,26385000,None,25095000,None,None,101337000,None,None,None,382005000,155163000,None,None,204465351,394443000,1418151000
None,797472000,797472000,None,42226000,117036000,159262000,2006-12-31,462184000,93242000,19397000,None,122801411,None,None,73845000,None,None,None,345148000,117036000,None,None,None,345148000,1259656000
None,705488000,705488000,None,34858000,76385000,111243000,2005-12-31,396686000,68151000,13609000,None,7261037,None,None,54151000,None,None,None,320301000,76385000,None,None,None,309991000,1102174000
