accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,7322000000,7322000000,47000000,3908000000,11321000000,None,None,13661000000,None,2024-12-31,58209000000,25599000000,25599000000,None,None,None,None,None,5818000000,31167000000,None,None,None,None,56972000000,4907000000,4907000000,None,266211000000,26801000000,39581000000,180173000000,239410000000,140592000000,85560000000,None
None,None,6215000000,6215000000,48000000,4148000000,12437000000,None,None,13813000000,None,2023-12-31,59268000000,87232000000,87232000000,None,None,None,None,None,3959000000,22450000000,None,None,None,None,52892000000,97090000000,2069000000,863000000,264811000000,23987000000,40198000000,181344000000,240824000000,141146000000,82703000000,None
None,None,4749000000,4749000000,51000000,4430000000,12544000000,None,None,12672000000,None,2022-12-31,58494000000,101233000000,101233000000,None,None,None,None,7250000000,4405000000,10545000000,None,20395000000,55485000000,USD,51609000000,106765000000,2418000000,None,257275000000,21826000000,27887000000,175237000000,235449000000,147350000000,80943000000,-7517000000
None,None,8711000000,8711000000,54000000,4654000000,12455000000,None,None,12008000000,None,2021-12-31,70189000000,105751000000,105751000000,-12008000000,None,None,None,8082000000,4088000000,10955000000,None,20620000000,54047000000,USD,61902000000,107259000000,2898000000,None,275905000000,24807000000,29348000000,177896000000,251098000000,148548000000,96092000000,-7517000000
None,None,11740000000,11740000000,54000000,4624000000,11364000000,None,None,11466000000,None,2020-12-31,70669000000,108094000000,108094000000,None,None,None,None,7820000000,3535000000,11323000000,None,18222000000,51995000000,USD,56438000000,103760000000,3146000000,7820000000,273869000000,26741000000,28796000000,180851000000,247128000000,152055000000,90323000000,-7517000000
None,None,5500000000,5500000000,54000000,4610000000,10826000000,None,None,11292000000,None,2019-12-31,68725000000,104426000000,104426000000,3877000000,None,None,None,6989000000,4723000000,12246000000,None,16765000000,48322000000,USD,50695000000,102217000000,4452000000,1600000000,263414000000,25392000000,30292000000,178168000000,238022000000,147876000000,82726000000,-7517000000
None,None,3814000000,3814000000,54000000,4640000000,8494000000,None,None,11104000000,None,2018-12-31,66154000000,105560000000,105560000000,3746000000,None,None,None,7883000000,6930000000,12529000000,None,15329000000,44437000000,USD,41983000000,111743000000,4398000000,7883000000,251684000000,21848000000,27603000000,177866000000,229836000000,150263000000,71613000000,-7517000000
None,None,3428000000,3428000000,55000000,4786000000,6908000000,None,None,8834000000,None,2017-12-31,36780000000,85219000000,85219000000,9000000,None,0,None,6931000000,4081000000,8264000000,None,10904000000,38470000000,USD,38192000000,64556000000,5134000000,9000000,186949000000,16060000000,21561000000,116143000000,170889000000,94582000000,68606000000,-7517000000
None,None,3301000000,3301000000,28000000,5088771063,6915000000,None,None,7955000000,None,2016-12-31,35980000000,83890000000,83890000000,1772000000,None,0,None,5247000000,5105000000,8008000000,None,10925000000,36253000000,USD,23076000000,61046000000,5480000000,1772000000,180500000000,16361000000,21535000000,122880000000,164139000000,101345000000,53943000000,-7517000000
None,None,2295000000,2295000000,29000000,5036000000,6215000000,None,None,6896000000,None,2015-12-31,32945000000,82165000000,82165000000,None,None,None,None,3224000000,3133000000,7034000000,None,10637000000,33665000000,USD,21413000000,52621000000,3627000000,106000000,166574000000,12303000000,18178000000,111375000000,154271000000,93197000000,52269000000,-7517000000
