capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
12181000000,-10883000000,-15670000000,None,None,None,None,None,None,14802000000,4814000000,4814000000,None,2024-12-31,15877000000,27673000000,None,None,None,None,None,None,None,None,None,-9103000000,None,None,None
15540000000,-19850000000,-7161000000,None,None,1516000000,None,None,None,14336000000,4766000000,4766000000,None,2023-12-31,15107000000,28501000000,None,None,None,None,None,None,None,None,None,-11291000000,None,None,None
13767000000,-16184000000,-14140000000,-3911000000,None,830000000,None,None,None,13821000000,4741000000,4741000000,None,2022-12-31,4925000000,26413000000,None,None,None,None,None,None,None,None,None,-13328000000,None,None,USD
12057000000,-18618000000,-13446000000,-2918000000,None,570000000,None,None,None,13804000000,4532000000,4532000000,None,2021-12-31,13833000000,29146000000,None,None,None,None,None,None,None,None,None,-4672000000,None,None,USD
11634000000,-6513000000,-12047000000,6177000000,None,286000000,None,None,None,13100000000,4140000000,4140000000,None,2020-12-31,10701000000,24737000000,None,None,None,None,None,None,None,None,None,-534000000,None,None,USD
12428000000,-9181000000,-14841000000,1675000000,None,404000000,None,None,None,12953000000,3735000000,3735000000,None,2019-12-31,13323000000,25697000000,None,None,None,None,None,None,None,None,None,-504000000,None,None,USD
11709000000,27140000000,-50854000000,583000000,None,6697000000,None,None,None,10676000000,3352000000,3352000000,None,2018-12-31,11862000000,24297000000,None,None,None,None,None,None,None,None,None,-5320000000,None,None,USD
11297000000,-7572000000,-13704000000,127000000,None,5881000000,None,None,None,9825000000,2883000000,2883000000,None,2017-12-31,22900000000,21403000000,None,None,None,None,None,None,None,None,None,-5435000000,None,None,USD
10821000000,151000000,-18385000000,1006000000,None,6283000000,None,None,None,9558000000,2601000000,2601000000,None,2016-12-31,9045000000,19240000000,None,None,None,None,None,None,None,None,None,-5000000000,None,None,USD
9869000000,-8429000000,-11964000000,-1615000000,None,4203000000,None,None,None,8680000000,2437000000,2437000000,None,2015-12-31,8413000000,18778000000,None,None,None,None,None,None,None,None,None,-6750000000,None,None,USD
8542000000,-6020000000,-8733000000,2192000000,None,4717000000,None,None,None,8019000000,2254000000,2254000000,None,2014-12-31,8592000000,16945000000,None,None,None,None,None,None,None,None,None,-4251000000,None,None,USD
7605000000,-13879000000,-9514000000,None,None,-1889000000,None,None,None,16120000000,1964000000,1964000000,None,2013-12-31,7135000000,14160000000,None,None,None,None,None,None,None,None,None,-2000000000,None,None,USD
6637000000,-4037000000,-1486000000,9331000000,None,5125000000,None,None,-823000000,17252000000,1608000000,1608000000,None,2012-12-31,7865000000,14854000000,None,None,None,None,None,None,None,None,None,-3000000000,None,None,USD
6261000000,-6201000000,-12508000000,None,None,-589000000,None,None,None,7636000000,1187000000,1187000000,None,2011-12-31,5157000000,14345000000,None,None,None,None,None,None,None,None,None,-2141000000,None,None,USD
5497000000,-155000000,-5711000000,None,None,2048000000,None,None,None,6616000000,1064000000,1064000000,None,2010-12-31,3668000000,11179000000,None,None,None,None,None,None,None,None,None,-1200000000,None,None,USD
5639000000,-4908000000,-5897000000,None,None,0,None,None,None,6500000000,761000000,761000000,None,2009-12-31,3628000000,10281000000,None,None,None,None,None,None,None,None,None,-765000000,None,None,USD
6277000000,-2522000000,-7477000000,None,None,603000000,None,None,None,6400000000,547000000,547000000,None,2008-12-31,2547000000,10231000000,None,None,None,None,None,None,None,None,None,-2800000000,None,None,USD
6564000000,-316000000,-8752000000,None,None,460000000,None,None,None,6208000000,None,None,None,2007-12-31,2587000000,8792000000,None,None,None,None,None,None,None,None,None,-3102000000,None,None,USD
4701000000,3546000000,-9872000000,None,None,228000000,None,None,None,4962000000,None,None,None,2006-12-31,2533000000,6618000000,None,None,None,None,None,None,None,None,None,-2347000000,None,None,USD
3621000000,-933000000,-3748000000,None,None,None,None,None,None,4803000000,None,None,None,2005-12-31,928000000,4922000000,None,None,None,None,None,None,None,None,None,-2313000000,None,None,USD
