comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,51827000000,51827000000,None,8758000000,14539000000,23297000000,2024-12-31,123731000000,18673000000,-2796000000,None,4134000000,None,None,16192000000,None,None,None,48606000000,23297000000,None,None,None,40533000000,123731000000
None,36762000000,36762000000,None,14336000000,24565000000,38901000000,2023-12-31,84810000000,20478000000,5371000000,None,4087000000,None,None,15388000000,None,None,None,61496000000,23314000000,None,None,None,39190000000,121572000000
None,38213000000,38213000000,None,13821000000,22624000000,36445000000,2022-12-31,83214000000,9284000000,4359000000,None,3896000000,None,None,5370000000,4925000000,None,None,69173000000,14041000000,-861000000,USD,None,38263000000,121427000000
None,38450000000,38450000000,None,13804000000,20817000000,34621000000,2021-12-31,77935000000,19093000000,5259000000,None,4281000000,None,None,14159000000,13834000000,None,None,57118000000,20817000000,2557000000,USD,None,35619000000,116385000000
None,33121000000,33121000000,None,13100000000,17493000000,30593000000,2020-12-31,70443000000,14065000000,3364000000,None,4588000000,None,None,10534000000,10701000000,None,None,52950000000,17493000000,1160000000,USD,None,33109000000,103564000000
None,34440000000,34440000000,None,12953000000,21125000000,34078000000,2019-12-31,74502000000,16996000000,3673000000,None,4567000000,None,None,13057000000,13323000000,None,None,53377000000,21125000000,438000000,USD,None,32807000000,108942000000
None,29692000000,29692000000,None,11017000000,19148000000,30165000000,2018-12-31,64815000000,15242000000,3380000000,None,3542000000,None,None,11731000000,11862000000,None,None,45806000000,19009000000,-225000000,USD,0,27755000000,94507000000
None,25384000000,25384000000,None,10130000000,17576000000,27706000000,2017-12-31,59142000000,15322000000,-7578000000,None,3086000000,None,None,22714000000,22900000000,None,None,41155000000,17987000000,421000000,USD,0,25449000000,84526000000
None,24463000000,24463000000,None,9558000000,17295000000,26853000000,2016-12-31,55940000000,14353000000,5308000000,None,2942000000,None,None,8695000000,9045000000,None,None,39081000000,16859000000,436000000,USD,0,23779000000,80403000000
None,22550000000,22550000000,None,8680000000,15998000000,24678000000,2015-12-31,51960000000,13372000000,4959000000,None,2702000000,None,None,8163000000,8413000000,None,None,35962000000,15998000000,76000000,USD,None,21325000000,74510000000
None,20912000000,20912000000,None,8019000000,15141000000,23160000000,2014-12-31,47863000000,12465000000,3873000000,None,2617000000,None,None,8380000000,8592000000,None,None,32959000000,14904000000,178000000,USD,None,19602000000,68775000000
None,19670000000,19670000000,None,16120000000,13689000000,29809000000,2013-12-31,44987000000,11115000000,3980000000,None,2574000000,None,None,6816000000,None,None,None,31424000000,13563000000,None,USD,None,18575000000,64657000000
None,19929000000,19929000000,None,17252000000,4676000000,21928000000,2012-12-31,42641000000,11609000000,3744000000,None,2521000000,None,None,6203000000,7865000000,None,None,30462000000,12179000000,1951000000,USD,0,17857000000,62570000000
None,37485000000,37485000000,None,7636000000,17499000000,25135000000,2011-12-31,18357000000,8207000000,3050000000,None,2505000000,None,None,4160000000,None,None,None,7636000000,10721000000,None,USD,None,12487000000,55842000000
None,15250000000,15250000000,None,6616000000,8260000000,14876000000,2010-12-31,22687000000,6104000000,2436000000,None,2156000000,None,None,3635000000,None,None,None,14707000000,7980000000,None,USD,None,8091000000,37937000000
None,22042000000,22042000000,None,6500000000,7454000000,13954000000,2009-12-31,13714000000,5106000000,1478000000,None,2348000000,None,None,3638000000,None,None,None,6500000000,7214000000,None,USD,0,7646000000,35756000000
None,13472000000,13472000000,None,6400000000,6497000000,12897000000,2008-12-31,20784000000,4058000000,1533000000,None,2439000000,None,None,2547000000,None,None,None,27524000000,6732000000,None,USD,None,7652000000,34256000000
None,11175000000,11175000000,None,6208000000,5578000000,11786000000,2007-12-31,19720000000,4349000000,1800000000,None,2289000000,None,None,2587000000,None,None,None,14142000000,5578000000,None,USD,None,7934000000,30895000000
None,9010000000,9010000000,None,4962000000,5519000000,10481000000,2006-12-31,15956000000,3594000000,1347000000,None,2064000000,None,None,2533000000,None,None,None,11337000000,4619000000,None,USD,None,6514000000,24966000000
None,7969000000,7969000000,None,4803000000,3522000000,8325000000,2005-12-31,14286000000,1880000000,933000000,None,1796000000,None,None,928000000,None,None,None,10596000000,3690000000,None,USD,None,5793000000,22255000000
