accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,477000000,389000000,389000000,3474000000,634500000,1031000000,None,1166000000,1307000000,None,2024-12-31,71000000,128000000,128000000,720000000,None,19728000000,None,428000000,203000000,1313000000,None,None,48445000000,CAD,18354000000,21371000000,1300000000,None,57067000000,2619000000,3976000000,36016000000,54448000000,32040000000,21051000000,None
None,415000000,475000000,475000000,3512000000,659100000,968000000,None,2340000000,1300000000,None,2023-12-31,70000000,131000000,131000000,699000000,None,16133000000,None,402000000,615000000,1287000000,None,None,45041000000,CAD,18655000000,18888000000,2457000000,None,52666000000,3089000000,5035000000,32549000000,49577000000,27514000000,20117000000,None
None,341000000,328000000,328000000,3613000000,688300000,954000000,None,1057000000,1417000000,None,2022-12-31,70000000,137000000,137000000,692000000,None,14372000000,None,94000000,780000000,1306000000,None,441000000,44007000000,CAD,19529000000,15895000000,1182000000,None,50662000000,3217000000,3842000000,29278000000,47445000000,25436000000,21384000000,None
None,430000000,838000000,838000000,3704000000,710300000,903000000,None,508000000,1074000000,None,2021-12-31,70000000,139000000,139000000,589000000,None,11977000000,None,119000000,925000000,1218000000,None,427000000,41623000000,CAD,20987000000,12915000000,616000000,None,48538000000,3426000000,3120000000,25794000000,45112000000,22674000000,22744000000,-103000000
None,311000000,569000000,569000000,3698000000,713000000,780000000,None,910000000,1139000000,None,2020-12-31,70000000,145000000,145000000,583000000,None,11996000000,None,83000000,811000000,1139000000,None,534000000,39119000000,CAD,19161000000,13324000000,1017000000,None,44804000000,3102000000,3274000000,25153000000,41702000000,21879000000,19651000000,-115000000
0,501000000,64000000,64000000,3650000000,719150000,866000000,None,1930000000,1432000000,None,2019-12-31,77000000,152000000,152000000,611000000,None,11791000000,None,84000000,723000000,1117000000,None,634000000,38905000000,CAD,17634000000,14297000000,2052000000,0,43784000000,2830000000,4287000000,25743000000,40954000000,21456000000,18041000000,-163000000
0,0,266000000,266000000,3634000000,737700000,982000000,None,1184000000,1169000000,None,2018-12-31,0,73000000,73000000,557000000,None,11365000000,None,70000000,736000000,1116000000,None,0,36664000000,CAD,16623000000,12569000000,1194000000,0,41214000000,2728000000,3500000000,23573000000,38486000000,20073000000,17641000000,-175000000
0,0,70000000,70000000,3613000000,757300000,738000000,None,2080000000,984000000,None,2017-12-31,0.02,62000000,62000000,424000000,None,8634000000,None,73000000,712000000,964000000,None,0,33425000000,CAD,15561000000,10828000000,2080000000,0.02,37629000000,2190000000,3983000000,20973000000,35439000000,16990000000,16656000000,-168000000
0,0,176000000,176000000,3730000000,779200000,484000000,None,1489000000,875000000,None,2016-12-31,0.01,67000000,67000000,363000000,None,9448000000,None,68000000,693000000,913000000,None,0,33185000000,CAD,13242000000,10937000000,1489000000,0.01,37057000000,2107000000,3008000000,22216000000,34950000000,19208000000,14841000000,-137000000
0,0,153000000,153000000,3705000000,805100000,391000000,None,205097538.66,878000000,None,2015-12-31,0.01,71000000,71000000,355000000,None,8985000000,None,9813959.89,767000000,911000000,None,0,32624000000,CAD,12637000000,10427000000,1442000000,0.01,36402000000,2153000000,2998000000,21452000000,34249000000,18454000000,14950000000,-100000000
None,None,52000000,52000000,3718000000,823500000,464000000,None,468118062.13,928000000,None,2014-12-31,0,62000000,62000000,335000000,None,6767920144.57,None,49909646.33,678000000,985000000,None,None,24536614749.16,CAD,11740000000,8372000000,544000000,398416659.50,31687000000,1993000000,2201000000,18217000000,29694000000,16121000000,13470000000,0
None,None,214000000,214000000,3795000000,846100000,408000000,None,7380212745.93,815000000,None,2013-12-31,0,59000000,59000000,274000000,None,6419090652.36,None,53657158.99,674000000,973000000,None,None,24688882613.20,CAD,10788000000,7840000000,1021000000,421726442.62,30163000000,1977000000,2498000000,17210000000,28186000000,14712000000,12953000000,0
None,None,155000000,155000000,4108000000,432100000,386000000,None,0,831000000,None,2012-12-31,0,57000000,57000000,230000000,None,6372707115.50,None,0,653000000,946000000,None,None,24733924611.97,CAD,10167000000,6900000000,577000000,525095746.83,26659000000,1869000000,2203000000,15641000000,24790000000,13438000000,11018000000,0
None,None,101000000,101000000,4141000000,447450000,445000000,None,0,942000000,None,2011-12-31,0,54000000,54000000,201000000,None,6316563695.20,None,0,604000000,1005000000,None,None,23454937726.78,CAD,9378000000,6576000000,135000000,489359615.57,26026000000,1848000000,1715000000,15346000000,24178000000,13631000000,10680000000,0
None,None,490000000,490000000,4264794383.15,465100000,383000000,None,0,775000000,None,2010-12-31,0,699000000,699000000,210000000,None,5547642928.79,None,0,115000000,813000000,None,None,22985957873.62,CAD,8741000000,6089000000,540000000,0,25206000000,1590000000,1906000000,13922000000,23616000000,12016000000,11284000000,0
