capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3549000000,-3620000000,-3607000000,None,None,-6000000,None,None,None,1892000000,2138000000,2138000000,None,2024-12-31,4448000000,6699000000,None,None,None,None,None,None,None,None,None,-2650000000,None,None,CAD
3187000000,-3406000000,-3468000000,None,None,-18000000,None,None,None,1817000000,2071000000,2071000000,None,2023-12-31,5625000000,6965000000,None,None,None,None,None,None,None,None,None,-4583000000,None,None,CAD
2750000000,-4667000000,-2510000000,None,None,-82000000,None,None,None,1729000000,2004000000,2004000000,None,2022-12-31,5118000000,6667000000,None,None,None,None,None,None,None,None,None,-4814000000,None,None,CAD
2891000000,-3857000000,-2873000000,None,None,-7000000,None,None,None,1598000000,1740000000,1740000000,None,2021-12-31,4899000000,6971000000,None,None,None,None,None,None,None,None,None,-1608000000,None,None,CAD
2863000000,-2707000000,-2946000000,None,None,20000000,None,None,None,1589000000,1634000000,1634000000,None,2020-12-31,3562000000,6165000000,None,None,None,None,None,None,None,None,None,-393000000,None,None,CAD
3865000000,-1903000000,-4190000000,0,0,-60000000,None,None,0,1562000000,1544000000,1544000000,None,2019-12-31,4216000000,5923000000,None,None,None,None,None,None,None,None,None,-1733000000,None,None,CAD
3531000000,-2308000000,-3404000000,0,0,-120000000,None,None,0,1329000000,1333000000,1333000000,None,2018-12-31,4328000000,5918000000,None,None,None,None,None,None,None,None,None,-2054000000,None,None,CAD
2673000000,-2895000000,-2738000000,0,0,-70000000,None,None,0,1281000000,1239000000,1239000000,None,2017-12-31,5484000000,5516000000,None,None,None,None,None,None,None,None,None,-2096000000,None,None,CAD
2695000000,-2539000000,-2655000000,0,0,-2000000,None,None,0,1225000000,1159000000,1159000000,None,2016-12-31,3640000000,5202000000,None,None,None,None,None,None,None,None,None,-2067000000,None,None,CAD
2706000000,-2223000000,-2767000000,0,0,4000000,None,None,0,1158000000,996000000,996000000,None,2015-12-31,3538000000,5140000000,None,None,None,None,None,None,None,None,None,-1844000000,None,None,CAD
2297000000,-2370000000,-2176000000,None,None,-51000000,None,None,None,1050000000,818000000,818000000,None,2014-12-31,3167000000,4381000000,None,None,None,None,None,None,None,None,None,-1505000000,None,None,CAD
1973000000,-1656000000,-1852000000,None,None,-38000000,None,None,None,980000000,724000000,724000000,None,2013-12-31,2612000000,3548000000,None,None,None,None,None,None,None,None,None,-1400000000,None,None,CAD
1731000000,-1582000000,-1421000000,None,None,-30000000,None,None,None,924000000,652000000,652000000,None,2012-12-31,2680000000,3060000000,None,None,None,None,None,None,None,None,None,-1400000000,None,None,CAD
1625000000,-1650000000,-1729000000,None,None,11000000,None,None,None,884000000,585000000,585000000,None,2011-12-31,2457000000,2976000000,None,None,None,None,None,None,None,None,None,-1420000000,None,None,CAD
1586000000,-1485000000,-1383000000,None,None,-43000000,None,None,None,834000000,503000000,503000000,None,2010-12-31,2104000000,2999000000,None,None,None,None,None,None,None,None,None,-913000000,None,None,CAD
1402000000,-884000000,-1437000000,None,None,32000000,None,None,None,790000000,474000000,474000000,None,2009-12-31,1854000000,2279000000,None,None,None,None,None,None,None,None,None,0,None,None,CAD
1424000000,-559000000,-1400000000,None,None,-23000000,None,None,None,725000000,436000000,436000000,None,2008-12-31,1895000000,2031000000,None,None,None,None,None,None,None,None,None,-1021000000,None,None,CAD
1387000000,-1343000000,-895000000,None,None,18000000,None,None,None,678000000,418000000,418000000,None,2007-12-31,2158000000,2417000000,None,None,None,None,None,None,None,None,None,-1584000000,None,None,CAD
1298000000,-1484000000,-1349000000,None,None,-36000000,None,None,None,653000000,340000000,340000000,None,2006-12-31,2087000000,2950000000,None,None,None,None,None,None,None,None,None,-1483000000,None,None,CAD
1185672250,-1440000000,-1075000000,None,None,-25000000,None,None,None,630000000,275000000,275000000,None,2005-12-31,1556000000,2705000000,None,None,None,None,None,None,None,None,None,-1418000000,None,None,CAD
