comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,10079000000,10079000000,None,1892000000,6743000000,8635000000,2024-12-31,6967000000,5852000000,1404000000,None,891000000,879000000,None,4448000000,4448000000,-891000000,None,720000000,6247000000,None,CAD,None,3814000000,17046000000
None,9677000000,9677000000,None,1817000000,7210000000,9027000000,2023-12-31,7151000000,6488000000,863000000,None,722000000,715000000,None,5625000000,4915000000,-676000000,None,554000000,6597000000,None,CAD,None,479000000,16828000000
None,9711000000,9711000000,None,1729000000,7311000000,9040000000,2022-12-31,7396000000,6763000000,1645000000,None,548000000,548000000,None,5118000000,5118000000,-548000000,None,556000000,6840000000,None,CAD,None,498000000,17107000000
None,8408000000,8408000000,None,1598000000,6952000000,8550000000,2021-12-31,6069000000,6342000000,1443000000,None,610000000,610000000,None,4899000000,4892000000,-610000000,None,453000000,5616000000,None,CAD,None,407000000,14477000000
None,8048000000,8048000000,None,1589000000,5075000000,6664000000,2020-12-31,5771000000,4521000000,976000000,None,554000000,557000000,None,3545000000,3562000000,-554000000,None,994000000,4777000000,None,CAD,None,292000000,13819000000
None,8832000000,8832000000,None,1562000000,5967000000,7529000000,2019-12-31,6085000000,5429000000,1213000000,None,538000000,613000000,None,4216000000,4216000000,-538000000,None,171000000,5593000000,0,CAD,0,321000000,14917000000
None,8359000000,8359000000,None,1329000000,6171000000,7500000000,2018-12-31,5962000000,5682000000,1354000000,None,489000000,332000000,None,4328000000,4328000000,-489000000,None,167000000,5493000000,0,CAD,0,302000000,14321000000
None,7366000000,7366000000,None,1281000000,5570000000,6851000000,2017-12-31,5675000000,5089000000,-395000000,None,481000000,553000000,None,5484000000,5484000000,-481000000,None,117000000,5243000000,0,CAD,0,315000000,13041000000
None,6642000000,6642000000,None,1225000000,5407000000,6632000000,2016-12-31,5395000000,4927000000,1287000000,None,480000000,481000000,None,3640000000,3640000000,-480000000,None,83000000,5032000000,0,CAD,0,280000000,12037000000
None,6951000000,6951000000,None,1158000000,5313000000,6471000000,2015-12-31,5660000000,4874000000,1336000000,None,439000000,378000000,None,3538000000,503214349.36,None,None,394000000,5266000000,0,CAD,0,2779000000,12611000000
None,7142000000,7142000000,None,1050000000,4731000000,5781000000,2014-12-31,4992000000,4360000000,1193000000,None,371000000,None,None,3167000000,2725238791.84,None,None,368000000,4624000000,None,CAD,0,2648000000,12134000000
None,6407000000,6407000000,None,980000000,3946000000,4926000000,2013-12-31,4168000000,3589000000,977000000,None,357000000,None,None,2612000000,0,None,None,295000000,3873000000,None,CAD,0,2457000000,10575000000
None,5897000000,5897000000,None,924000000,4000000000,4924000000,2012-12-31,4023000000,3658000000,978000000,None,342000000,None,None,2680000000,0,None,None,338000000,3685000000,None,CAD,0,2201000000,9920000000
None,5456000000,5456000000,None,884000000,3697000000,4581000000,2011-12-31,3572000000,3356000000,899000000,None,341000000,None,None,2457000000,0,None,None,276000000,3296000000,None,CAD,0,2088000000,9028000000
None,4905000000,4905000000,None,834000000,3236000000,4070000000,2010-12-31,3392000000,2876000000,772000000,None,360000000,None,None,2104000000,0,None,None,368000000,3024000000,None,CAD,0,2112000000,8297000000
None,2131000000,2131000000,None,790000000,2673000000,3463000000,2009-12-31,5236000000,2261000000,407000000,None,412000000,None,None,1854000000,0,None,None,2830000000,2406000000,None,CAD,0,2040000000,7367000000
None,2802000000,2802000000,None,725000000,2920000000,3645000000,2008-12-31,5680000000,2545000000,650000000,None,375000000,None,None,1895000000,1274390614.73,None,None,2786000000,2894000000,None,CAD,0,2061000000,8482000000
None,2318000000,2318000000,None,678000000,3042000000,3720000000,2007-12-31,5579000000,2706000000,548000000,None,336000000,None,None,2158000000,2207148791.01,None,None,2703000000,2876000000,None,CAD,0,2026000000,7897000000
None,1930578000,1930578000,None,653000000,3030000000,3683000000,2006-12-31,5785422000,2729000000,642000000,None,0,None,None,2087000000,1536027703.92,None,None,4899000000,3030000000,None,CAD,0,1998000000,7929000000
None,1738207000,1738207000,None,630000000,2624000000,3254000000,2005-12-31,5501793000,2337000000,781000000,None,0,None,None,1556000000,0,None,None,4616000000,2624000000,None,CAD,0,2065000000,7240000000
