accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,2460000000,14161000000,14161000000,2000000,444803000,19783000000,None,None,3203000000,None,2025-08-31,None,None,None,18116000000,None,5713000000,None,None,1777000000,14471000000,None,2654000000,None,USD,22650000000,8173000000,None,1123000000,77099000000,38380000000,37108000000,47935000000,38719000000,10827000000,29164000000,None
None,2375000000,9906000000,9906000000,2000000,444759000,19421000000,None,103000000,2721000000,None,2024-08-31,994000000,None,None,18647000000,None,5794000000,None,None,1734000000,15940000000,None,2576000000,33082000000,USD,17619000000,8272000000,103000000,1238000000,69831000000,34246000000,35464000000,46209000000,35585000000,10745000000,23622000000,None
None,2426000000,13700000000,13700000000,2000000,444452000,17483000000,None,1081000000,2285000000,None,2023-08-31,994000000,None,None,16651000000,None,5377000000,None,None,1709000000,15019000000,None,2550000000,30722000000,USD,19521000000,8884000000,1081000000,1534000000,68994000000,35879000000,33583000000,43936000000,33115000000,10353000000,25058000000,None
None,2482000000,10203000000,10203000000,2000000,444757000,17848000000,None,73000000,2241000000,None,2022-08-31,993000000,None,None,17907000000,None,6484000000,None,None,1499000000,14077000000,None,2555000000,27420000000,USD,15585000000,9039000000,73000000,846000000,64166000000,32696000000,31998000000,43519000000,31470000000,11521000000,20642000000,None
None,2642000000,11258000000,11258000000,4000000,444346000,16278000000,None,799000000,1803000000,None,2021-08-31,996000000,940000000,940000000,14215000000,None,6692000000,None,None,1312000000,12364000000,None,2415000000,27382000000,USD,11666000000,10133000000,799000000,917000000,59268000000,29505000000,29441000000,41190000000,29763000000,11749000000,17564000000,None
None,2558000000,12277000000,12277000000,4000000,443901000,14172000000,None,95000000,1550000000,None,2020-08-31,988000000,988000000,988000000,12242000000,None,7514000000,None,None,1023000000,10577000000,None,1935000000,25187000000,USD,12879000000,10167000000,95000000,1028000000,55556000000,28120000000,24844000000,36851000000,27436000000,12007000000,18284000000,None
None,None,8384000000,8384000000,4000000,442923000,11679000000,None,1699000000,1535000000,None,2019-08-31,53000000,None,None,11395000000,None,5124000000,None,None,1111000000,3792000000,None,1455000000,20890000000,USD,10258000000,7218000000,1699000000,1060000000,45400000000,23485000000,23237000000,29816000000,21915000000,6579000000,15243000000,None
None,None,6055000000,6055000000,4000000,441834000,11237000000,None,None,1669000000,None,2018-08-31,None,None,None,11040000000,None,6487000000,None,None,321000000,6968000000,None,1314000000,19681000000,USD,7887000000,6974000000,97000000,1204000000,40830000000,20289000000,19926000000,27727000000,20541000000,7801000000,12799000000,None
None,None,4546000000,4546000000,4000000,440937000,9608000000,None,None,1432000000,None,2017-08-31,None,None,None,9834000000,None,6573000000,None,None,272000000,7801000000,None,None,18161000000,USD,5988000000,6659000000,86000000,1233000000,36347000000,17317000000,17495000000,25268000000,19030000000,7773000000,10778000000,None
None,None,3379000000,3379000000,2000000,441263000,7612000000,None,None,1252000000,None,2016-08-31,None,None,None,8969000000,None,None,None,None,268000000,6498000000,None,None,None,USD,7686000000,5161000000,1100000000,1350000000,33163000000,15218000000,15575000000,20831000000,17945000000,5256000000,12079000000,None
