capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
5498000000,-3775000000,-5311000000,None,None,559000000,None,None,None,2426000000,2183000000,2183000000,None,2025-08-31,8099000000,13335000000,None,None,None,None,None,None,None,None,None,-903000000,None,None,USD
4710000000,-10764000000,-4409000000,None,None,-2068000000,None,None,None,2237000000,9041000000,9041000000,None,2024-08-31,7367000000,11339000000,None,None,None,None,None,None,None,None,None,-700000000,None,None,USD
4323000000,-2614000000,-4972000000,None,None,1228000000,None,None,None,2077000000,1251000000,1251000000,None,2023-08-31,6292000000,11068000000,None,None,None,None,None,None,None,None,None,-676000000,None,None,USD
3891000000,-4283000000,-3915000000,-806000000,None,-4003000000,None,None,None,1900000000,1498000000,1498000000,None,2022-08-31,5915000000,7392000000,None,None,None,None,None,None,None,None,None,-439000000,None,None,USD
3588000000,-6488000000,-3535000000,None,None,-1892000000,None,None,None,1781000000,5748000000,5748000000,None,2021-08-31,5079000000,8958000000,None,None,None,None,None,None,None,None,None,-496000000,None,None,USD
2810000000,-1147000000,-3891000000,None,None,-791000000,None,None,None,1645000000,1479000000,1479000000,None,2020-08-31,4059000000,8861000000,None,None,None,None,None,None,None,None,None,-196000000,None,None,USD
2998000000,-1147000000,-2865000000,None,None,-536000000,None,None,None,1492000000,1038000000,1038000000,None,2019-08-31,3704000000,6356000000,None,None,None,None,None,None,None,None,None,-247000000,None,None,USD
2969000000,-1281000000,-2947000000,None,None,-1313000000,None,None,None,1437000000,689000000,689000000,None,2018-08-31,3179000000,5774000000,None,None,None,None,None,None,None,None,None,-328000000,None,None,USD
2502000000,-3218000000,-2366000000,None,None,-894000000,None,None,None,1370000000,3904000000,3904000000,None,2017-08-31,2714000000,6726000000,None,None,None,None,None,None,None,None,None,-469000000,None,None,USD
2649000000,-2419000000,-2345000000,None,None,-25000000,None,None,None,1255000000,746000000,746000000,None,2016-08-31,2376000000,3292000000,None,None,None,None,None,None,None,None,None,-486000000,None,None,USD
2393000000,-2324000000,-2480000000,None,None,-890000000,None,None,None,1127000000,2865000000,2865000000,None,2015-08-31,2409000000,4285000000,None,None,None,None,None,None,None,None,None,-481000000,None,None,USD
1993000000,-786000000,-2093000000,None,None,-563000000,None,None,None,1029000000,584000000,584000000,None,2014-08-31,2088000000,3984000000,None,None,None,None,None,None,None,None,None,-334000000,None,None,USD
2083000000,44000000,-2251000000,None,None,-898000000,None,None,None,946000000,3560000000,3560000000,None,2013-08-31,2061000000,3437000000,None,None,None,None,None,None,None,None,None,-36000000,None,None,USD
1480000000,-2281000000,-1236000000,None,None,-490000000,None,None,None,908000000,446000000,446000000,None,2012-08-31,1767000000,3057000000,None,None,None,None,None,None,None,None,None,-632000000,None,None,USD
1290000000,-1277000000,-1180000000,None,None,-642000000,None,None,None,855000000,389000000,389000000,None,2011-08-31,1542000000,3198000000,None,None,None,None,None,None,None,None,None,-624000000,None,None,USD
1055000000,-719000000,-2015000000,None,None,-213000000,None,None,None,795000000,338000000,338000000,None,2010-08-31,1323000000,2780000000,None,None,None,None,None,None,None,None,None,-551000000,None,None,USD
1250000000,-439000000,-1101000000,None,None,-394000000,None,None,None,728000000,296000000,296000000,None,2009-08-31,1086000000,2092000000,None,None,None,None,None,None,None,None,None,-69000000,None,None,USD
1598571000,-612995000,-1716392000,None,None,-191792000,None,None,None,653082000,265029000,265029000,None,2008-08-31,1282725000,2176173000,None,None,None,None,None,None,None,None,None,-895307000,None,None,USD
1385699000,-164632000,-655310000,None,None,-272513000,None,None,None,566385000,245742000,245742000,None,2007-08-31,1082772000,2076404000,None,None,None,None,None,None,None,None,None,-1977607000,None,None,USD
1212567000,-1233227000,-1153560000,None,None,-500602000,None,None,None,515285000,230211000,230211000,None,2006-08-31,1103215000,1827290000,None,None,None,None,None,None,None,None,None,-1442811000,None,None,USD
