comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,239886000000,239886000000,None,2426000000,10972000000,13398000000,2025-08-31,35349000000,10818000000,2719000000,None,154000000,505000000,None,8099000000,8099000000,351000000,None,24966000000,10383000000,None,USD,None,24966000000,275235000000
None,222358000000,222358000000,None,2237000000,9909000000,12146000000,2024-08-31,32095000000,9740000000,2373000000,None,169000000,598000000,None,7367000000,7367000000,429000000,None,22810000000,9285000000,None,USD,None,22810000000,254453000000
None,212586000000,212586000000,None,2489000000,8647000000,11136000000,2023-08-31,29704000000,8487000000,2195000000,None,160000000,339000000,None,6292000000,6292000000,373000000,None,21590000000,8114000000,None,USD,None,21590000000,242290000000
None,199382000000,199382000000,None,2277000000,7998000000,10275000000,2022-08-31,27572000000,7840000000,1925000000,None,158000000,205000000,None,5844000000,5915000000,47000000,None,19779000000,7793000000,205000000,USD,None,19779000000,226954000000
None,170684000000,170684000000,None,2067000000,6851000000,8918000000,2021-08-31,25245000000,6680000000,1601000000,None,171000000,74000000,None,5007000000,5079000000,-130000000,None,18537000000,6708000000,None,USD,None,17938000000,195929000000
None,144939000000,144939000000,None,1839000000,5527000000,7366000000,2020-08-31,21822000000,5367000000,1308000000,None,164000000,64000000,None,4002000000,4059000000,-71000000,None,16387000000,5435000000,None,USD,None,15792000000,166761000000
None,132886000000,132886000000,None,1492000000,4915000000,6407000000,2019-08-31,19817000000,4765000000,1061000000,None,150000000,3000000,None,3659000000,3704000000,-24000000,None,15080000000,4737000000,None,USD,None,15080000000,152703000000
None,123152000000,123152000000,None,1437000000,4601000000,6038000000,2018-08-31,18424000000,4442000000,1263000000,None,159000000,61000000,None,3134000000,3179000000,-84000000,None,13944000000,4480000000,None,USD,None,13944000000,141576000000
None,111882000000,111882000000,None,1370000000,4173000000,5543000000,2017-08-31,17143000000,4039000000,1325000000,None,134000000,89000000,None,2679000000,None,None,None,13032000000,4111000000,None,USD,None,13032000000,129025000000
None,102901000000,102901000000,None,1255000000,3752000000,5007000000,2016-08-31,15818000000,3619000000,1243000000,None,133000000,None,None,2350000000,None,None,None,12146000000,3672000000,None,USD,None,None,118719000000
None,101065000000,101065000000,None,1127000000,3728000000,4855000000,2015-08-31,15134000000,3604000000,1195000000,None,124000000,None,None,2377000000,None,None,None,11510000000,3624000000,None,USD,None,None,116199000000
None,98458000000,98458000000,None,1029000000,3310000000,4339000000,2014-08-31,14182000000,3197000000,1109000000,None,113000000,None,None,2058000000,None,None,None,10962000000,3220000000,None,USD,None,None,112640000000
None,91948000000,91948000000,None,946000000,3150000000,4096000000,2013-08-31,13208000000,3051000000,990000000,None,99000000,None,None,2039000000,None,None,None,10155000000,3053000000,None,USD,None,None,105156000000
None,86823000000,86823000000,None,908000000,2848000000,3756000000,2012-08-31,12314000000,2767000000,1000000000,None,95000000,None,None,1709000000,None,None,None,9555000000,2759000000,None,USD,None,None,99137000000
None,77739000000,77739000000,None,855000000,2480000000,3335000000,2011-08-31,11176000000,2383000000,841000000,None,116000000,None,None,1462000000,None,None,None,8737000000,2439000000,None,USD,None,None,88915000000
None,67995000000,67995000000,None,795000000,2100000000,2895000000,2010-08-31,9951000000,2054000000,731000000,None,111000000,None,None,1303000000,None,None,None,7874000000,2077000000,None,USD,None,None,77946000000
None,62335000000,62335000000,None,728000000,1777000000,2505000000,2009-08-31,9087000000,1714000000,628000000,None,108000000,None,None,1086000000,None,None,None,7293000000,1777000000,None,USD,None,None,71422000000
None,63502750000,63502750000,None,653082000,2059540000,2712622000,2008-08-31,8980270000,1998974000,716249000,None,103000000,None,None,1283000000,None,None,None,7011435000,1968835000,None,USD,None,None,72483020000
None,56449702000,56449702000,None,566385000,1608586000,2174971000,2007-08-31,7950453000,1709991000,627219000,None,0,None,None,1082772000,None,None,None,6341867000,1608586000,None,USD,None,None,64400155000
None,52745497000,52745497000,None,515285000,1763987000,2279272000,2006-08-31,7405730000,1751417000,648202000,None,0,None,None,1103215000,None,None,None,5774645000,1625632000,None,USD,None,None,60151227000
