accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,276532000000,276532000000,31000000,1901400000,66601000000,None,48505000000,51116000000,None,2024-12-31,19300000000,4494000000,4494000000,None,None,287300000000,None,720724000000,None,1418304000000,None,None,30192000000,USD,206294000000,590560000000,303260000000,221487000000,2352945000000,549135000000,1788165000000,2143579000000,1803810000000,355414000000,208598000000,None
None,None,260932000000,260932000000,31000000,1955800000,63539000000,None,37457000000,54190000000,None,2023-12-31,20098000000,4421000000,4421000000,-1148510000000,None,286619000000,None,733685000000,1094320000000,1464026000000,None,None,28747000000,USD,198905000000,602183000000,315564000000,245068000000,2411834000000,560190000000,1843129000000,2205583000000,1851644000000,362454000000,205453000000,None
None,None,342025000000,342025000000,31000000,1964300000,69218000000,None,47096000000,54546000000,None,2022-12-31,19691000000,4428000000,4428000000,-1167269000000,None,271606000000,None,860696000000,1112723000000,1536601000000,None,None,26253000000,USD,194734000000,521146000000,249540000000,238746000000,2416676000000,635317000000,1855359000000,2214838000000,1781359000000,359479000000,201189000000,None
None,None,262033000000,262033000000,31000000,2049400000,61430000000,None,27973000000,54795000000,None,2021-12-31,21299000000,4495000000,4495000000,-1030428000000,None,254374000000,None,844767000000,975633000000,1478759000000,None,74920000000,2900000000,USD,184948000000,473632000000,219258000000,279296000000,2291413000000,596124000000,1759447000000,2088741000000,1695289000000,329294000000,201972000000,-71240000000
None,None,309615000000,309615000000,31000000,2099000000,50484000000,None,29514000000,44806000000,None,2020-12-31,22162000000,4747000000,4747000000,-1024255000000,None,439713000000,None,822438000000,1024255000000,-79998000000,None,59983000000,2800000000,USD,168595000000,469227000000,29514000000,335084000000,2260321000000,689505000000,79998000000,2059798000000,849347000000,271686000000,199765000000,-64129000000
None,None,193919000000,193919000000,31000000,2265300000,48601000000,None,45049000000,39857000000,None,2019-12-31,22126000000,4822000000,4822000000,-761299000000,None,368654000000,None,1331403000000,761299000000,-93650000000,None,57979000000,3100000000,USD,165369000000,413703000000,45049000000,280265000000,1951158000000,514041000000,93650000000,1757212000000,671651000000,248760000000,193242000000,-61660000000
None,None,188010000000,188010000000,31000000,2494800000,64571000000,None,32346000000,35450000000,None,2018-12-31,22046000000,5220000000,5220000000,-748874000000,None,231999000000,None,614724000000,750455000000,-96917000000,None,56150000000,None,USD,151347000000,408556000000,32252000000,295250000000,1917288000000,503885000000,96917000000,1720214000000,518798000000,231999000000,196220000000,-44370000000
None,None,180516000000,180516000000,31000000,2698500000,61342000000,None,44452000000,38384000000,None,2017-12-31,22256000000,5146000000,5146000000,-702576000000,None,236709000000,None,603846000000,704312000000,-65161000000,None,58144000000,0,USD,135715000000,405208000000,44452000000,298970000000,1843059000000,502057000000,40633000000,1640793000000,521860000000,66498000000,201334000000,-30309000000
None,None,160494000000,160494000000,31000000,2888300000,57152000000,None,30701000000,28887000000,None,2016-12-31,21659000000,6678000000,6678000000,-668455000000,None,206178000000,None,597229000000,670305000000,-58508000000,None,61631000000,0,USD,146477000000,375924000000,30701000000,307637000000,1792077000000,482416000000,29345000000,1565934000000,535498000000,50717000000,225120000000,-16302000000
None,None,133097000000,133097000000,31000000,3007700000,53722000000,None,428066000000,27683000000,None,2015-12-31,22349000000,5502000000,5502000000,209000000,None,318787000000,None,1197902000000,5000000000,-74787000000,None,60147000000,0,USD,133841000000,339866000000,21079000000,306740000000,1731210000000,451663000000,14000000,1508118000000,550250000000,33400000,221857000000,-7677000000
