capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
6500000000,-38304000000,86250000000,None,None,None,None,None,None,4311000000,5199000000,5199000000,None,2024-12-31,12684000000,-19669000000,None,None,None,None,None,None,None,None,None,-7524000000,None,None,USD
6583000000,687000000,-8459000000,None,None,None,None,None,None,4560000000,5212000000,5212000000,None,2023-12-31,9229000000,-73416000000,None,None,None,None,None,None,None,None,None,-6122000000,None,None,USD
5632000000,137763000000,-79455000000,None,None,None,None,None,None,4262000000,5003000000,5003000000,None,2022-12-31,15076000000,25069000000,None,None,None,None,None,None,None,None,None,-3594000000,None,None,USD
4119000000,17272000000,-124905000000,-46384000000,None,None,None,None,None,3964000000,5198000000,5198000000,None,2021-12-31,21945000000,61249000000,None,None,None,None,None,None,None,None,None,-7938000000,None,None,USD
3446000000,233595000000,-95312000000,117662000000,None,None,None,None,None,3937000000,5352000000,5352000000,None,2020-12-31,11067000000,-20621000000,None,None,None,None,None,None,None,None,None,-3336000000,None,None,USD
5336000000,42933000000,-23374000000,6722000000,None,None,None,None,None,3905000000,5447000000,5447000000,None,2019-12-31,19405000000,-12837000000,None,None,None,None,None,None,None,None,None,-17935000000,None,None,USD
3774000000,44528000000,-73118000000,7589000000,-773000000,None,None,None,None,3754000000,5020000000,5020000000,None,2018-12-31,18053000000,36952000000,None,None,None,None,None,None,None,None,None,-15226000000,None,None,USD
3361000000,66854000000,-38751000000,732000000,693000000,0,None,None,None,3659000000,3797000000,3797000000,None,2017-12-31,-6687000000,-8774000000,None,None,None,None,None,None,None,None,None,-14541000000,None,None,USD
2756000000,28292000000,-54135000000,2143000000,-493000000,3893000000,None,None,None,3720000000,2287000000,2287000000,None,2016-12-31,14970000000,53932000000,None,None,None,None,None,None,None,None,None,-9290000000,None,None,USD
3198000000,-64773000000,14883000000,-11208000000,-1055000000,39623000000,None,None,None,3506000000,1253000000,1253000000,None,2015-12-31,17296000000,39737000000,None,None,None,None,None,None,None,None,None,-5452000000,None,None,USD
3386000000,-70270000000,28582000000,2223000000,-2432000000,0,None,None,None,3589000000,633000000,633000000,None,2014-12-31,7312000000,46343000000,None,None,None,None,None,None,None,None,None,-1232000000,None,None,USD
3490000000,23094000000,-91338000000,-6568000000,-1558000000,39322000000,None,None,None,3303000000,314000000,314000000,None,2013-12-31,13389000000,63244000000,None,None,None,None,None,None,None,None,None,-931000000,None,None,USD
3604000000,-12501000000,30335000000,7752000000,274000000,0,None,None,None,2507000000,143000000,143000000,None,2012-12-31,7599000000,-10362000000,None,None,None,None,None,None,None,None,None,-5000000,None,None,USD
3448000000,-56646000000,11266000000,-1940000000,-1301000000,26559000000,None,None,None,2872000000,107000000,107000000,None,2011-12-31,10999000000,64795000000,None,None,None,None,None,None,None,None,None,-1000000,None,None,USD
2363000000,-77428000000,43337000000,2286000000,691000000,18084000000,None,None,None,2664000000,9000000,9000000,None,2010-12-31,10670000000,35686000000,None,None,None,None,None,None,None,None,None,-6000000,None,None,USD
2264000000,13006000000,-27231000000,-3795000000,632000000,25864000000,None,None,None,2853000000,3237000000,3237000000,None,2009-12-31,-1161000000,9812000000,None,None,None,None,None,None,None,None,None,-3000000,None,None,USD
3780000000,-24537000000,36820000000,None,None,123845000000,None,None,None,2466000000,7526000000,7526000000,None,2008-12-31,-31686000000,-18288000000,None,None,None,None,None,None,None,None,None,-7000000,None,None,USD
4003000000,144494000000,-144015000000,None,None,None,None,None,None,2421000000,10778000000,10778000000,None,2007-12-31,2909000000,10208000000,None,None,None,None,None,None,None,None,None,-663000000,None,None,USD
4035000000,206430000000,-260712000000,None,None,None,None,None,None,2503000000,9826000000,9826000000,None,2006-12-31,20451000000,56519000000,None,None,None,None,None,None,None,None,None,-7000000000,None,None,USD
3724000000,33283000000,-60223000000,None,None,None,None,None,None,2318000000,9188000000,9188000000,None,2005-12-31,19806000000,31360000000,None,None,None,None,None,None,None,None,None,-12794000000,None,None,USD
