comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,99587000000,99587000000,None,4311000000,17046000000,21357000000,2024-12-31,71120000000,17046000000,4211000000,None,89618000000,143713000000,None,12682000000,12835000000,54095000000,None,54074000000,17046000000,None,USD,None,28632000000,170707000000
None,87481000000,87481000000,None,4560000000,12910000000,17470000000,2023-12-31,67901000000,12910000000,3528000000,None,78358000000,133258000000,None,9228000000,9382000000,54900000000,None,54991000000,12910000000,None,USD,None,29319000000,155382000000
None,30852000000,30852000000,None,4262000000,18807000000,23069000000,2022-12-31,69368000000,18807000000,3642000000,None,25740000000,74408000000,None,14845000000,15165000000,48668000000,None,50561000000,18807000000,None,USD,None,26749000000,100220000000
None,4090000000,4090000000,None,3964000000,27469000000,31433000000,2021-12-31,75778000000,27469000000,5451000000,None,7981000000,50475000000,None,21952000000,22018000000,42494000000,None,48309000000,27469000000,None,USD,None,25250000000,79868000000
None,30713000000,30713000000,None,3937000000,13632000000,17569000000,2020-12-31,58119000000,13632000000,2525000000,None,13338000000,58089000000,None,11047000000,11107000000,43548000000,None,44487000000,13632000000,None,USD,None,22327000000,88832000000
None,36692000000,36692000000,None,3905000000,23901000000,27806000000,2019-12-31,66757000000,23901000000,4430000000,None,28382000000,76510000000,None,19401000000,19471000000,47347000000,None,42856000000,23901000000,None,USD,None,21506000000,103449000000
None,31733000000,31733000000,None,3754000000,23445000000,27199000000,2018-12-31,65387000000,23445000000,5357000000,None,24266000000,70559000000,None,18045000000,18088000000,46293000000,None,41942000000,23445000000,None,USD,0,21255000000,97120000000
None,23860000000,23860000000,None,3659000000,22761000000,26420000000,2017-12-31,65102000000,22761000000,29388000000,None,16518000000,60982000000,None,-6798000000,-6627000000,44465000000,None,42341000000,22761000000,None,USD,0,21290000000,88962000000
None,19290000000,19290000000,None,3720000000,21477000000,25197000000,2016-12-31,64019000000,21477000000,6444000000,None,12512000000,57440000000,None,14912000000,15033000000,44929000000,None,42542000000,21477000000,None,USD,0,21174000000,83309000000
None,19103000000,19103000000,None,3506000000,24826000000,28332000000,2015-12-31,69172000000,24826000000,7440000000,None,11921000000,58551000000,None,17242000000,17386000000,46630000000,None,44346000000,24826000000,None,USD,0,22500000000,88275000000
None,20356000000,20356000000,None,3589000000,14701000000,18290000000,2014-12-31,70553000000,14701000000,7197000000,None,13690000000,None,None,7310000000,7500000000,None,None,55852000000,14701000000,None,USD,0,24760000000,90909000000
None,23861000000,23861000000,None,3303000000,19802000000,23105000000,2013-12-31,69040000000,19802000000,6186000000,None,16177000000,None,None,13659000000,13630000000,None,None,49238000000,19802000000,None,USD,0,24797000000,92901000000
None,31054000000,31054000000,None,2507000000,7825000000,10332000000,2012-12-31,58748000000,7825000000,7000000,None,20612000000,None,None,7407000000,7909000000,None,None,50923000000,7825000000,None,USD,0,26006000000,89802000000
None,35596000000,35596000000,None,2872000000,14722000000,17594000000,2011-12-31,65944000000,14722000000,3575000000,None,24209000000,None,None,11067000000,11103000000,None,None,51222000000,14722000000,None,USD,0,26586000000,101540000000
None,50173000000,50173000000,None,2664000000,13184000000,15848000000,2010-12-31,61524000000,13184000000,2233000000,None,25096000000,None,None,10602000000,10951000000,None,None,48340000000,13184000000,None,USD,0,25395000000,111697000000
None,66906000000,66906000000,None,2853000000,-7799000000,-4946000000,2009-12-31,41281000000,-7799000000,-6733000000,None,27902000000,None,None,-1606000000,-1066000000,None,None,49080000000,-7799000000,None,USD,0,26245000000,108187000000
None,86061000000,86061000000,None,2466000000,-52355000000,-49889000000,2008-12-31,18786000000,-52355000000,-20326000000,None,52750000000,None,None,-27684000000,None,None,None,71141000000,-52355000000,None,USD,None,32499000000,104847000000
None,92940000000,92940000000,None,2421000000,646000000,3067000000,2007-12-31,60318000000,646000000,-2546000000,None,75958000000,None,None,3617000000,None,None,None,59672000000,646000000,None,USD,None,33640000000,153258000000
None,62253000000,62253000000,None,2503000000,28489000000,30992000000,2006-12-31,79757000000,28489000000,7749000000,None,55683000000,None,None,21538000000,None,None,None,51268000000,28489000000,None,USD,None,30719000000,142010000000
None,44855000000,44855000000,None,2318000000,29433000000,31751000000,2005-12-31,75463000000,29433000000,9078000000,None,36676000000,None,None,24589000000,None,None,None,46030000000,29433000000,None,USD,None,26639000000,120318000000
