accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,1850000000,1850000000,4000000,420600000,1720000000,None,1848000000,2199000000,None,2024-12-31,16567000000,5370000000,5370000000,2130000000,None,5323000000,None,1081000000,185000000,1031000000,None,1281000000,6171000000,USD,-23076000000,7171000000,1848000000,None,36636000000,6364000000,4801000000,12843000000,30272000000,8042000000,23350000000,None
None,10000000,2392000000,2392000000,4000000,451200000,1675000000,None,None,2370000000,None,2023-12-31,16720000000,5814000000,5814000000,2147000000,None,7731000000,None,1071000000,605000000,1269000000,None,1234000000,6368000000,USD,-22874000000,7800000000,97000000,-411000000,38552000000,7514000000,3098000000,13827000000,31038000000,10729000000,24279000000,None
None,1000000,3662000000,3662000000,5000000,499400000,2103000000,None,300000000,2518000000,None,2022-12-31,16663000000,5495000000,5495000000,2329000000,None,7774000000,None,733000000,1459000000,1097000000,None,1151000000,5731000000,USD,-21065000000,8074000000,300000000,1302000000,41355000000,11270000000,3733000000,14338000000,30085000000,10605000000,26569000000,None
None,2000000,1972000000,1972000000,5000000,544200000,2102000000,None,150000000,2159000000,None,2021-12-31,16981000000,6222000000,6222000000,2086000000,None,10632000000,None,981000000,8086000000,2309000000,None,937000000,6966000000,USD,-23187000000,11211000000,242000000,62000000,45707000000,14303000000,4931000000,18657000000,31404000000,13726000000,26433000000,None
5997000000,2000000,2544000000,2544000000,7000000,735500000,2222000000,None,5000000,2421000000,None,2020-12-31,18702000000,8072000000,8072000000,2393000000,None,21806000000,None,1083000000,21650000000,9665000000,None,5329000000,9985000000,USD,-11586000000,16037000000,118000000,36000000,70904000000,29008000000,12226000000,31834000000,41896000000,19608000000,38504000000,None
4969000000,None,1540000000,1540000000,7000000,746300000,2934000000,None,3830000000,3834000000,None,2019-12-31,33151000000,13593000000,13593000000,4319000000,None,13617000000,None,1228000000,306000000,1203000000,None,1191000000,10699000000,USD,-8400000000,18001000000,3969000000,0,69349000000,9999000000,8346000000,27793000000,59350000000,19447000000,40987000000,None
-39495000000,None,8548000000,8548000000,8000000,771832561,2619000000,None,2802000000,3391000000,None,2018-12-31,34496000000,14655000000,14655000000,4107000000,None,12624000000,None,7905000000,110580000000,69821000000,None,8130000000,9917000000,USD,30257000000,12639000000,15000000,29000000,187855000000,126655000000,73312000000,91955000000,61200000000,18643000000,94292000000,-5421000000
None,None,13438000000,13438000000,23000000,532699467,9134000000,None,4015000000,16893000000,None,2017-12-31,59527000000,33274000000,33274000000,16992000000,None,30056000000,None,7900000000,1614000000,12136000000,None,9206000000,36247000000,USD,29211000000,34071000000,4015000000,956000000,192164000000,49893000000,26128000000,90237000000,142271000000,64109000000,100330000000,-1000000000
None,None,6607000000,6607000000,3107000000,374399625,4519000000,None,907000000,9024000000,None,2016-12-31,15272000000,6026000000,6026000000,7363000000,None,20456000000,None,6716000000,665000000,6578000000,None,6924000000,23486000000,USD,30338000000,21363000000,907000000,1362000000,79511000000,23659000000,12604000000,52282000000,55852000000,39678000000,25987000000,-1659000000
None,None,8577000000,8577000000,3107000000,413799586,3577000000,None,544000000,7846000000,None,2015-12-31,12154000000,3617000000,3617000000,6871000000,None,24087000000,None,6089000000,354000000,6643000000,None,None,32144000000,USD,28425000000,25082000000,995000000,906000000,68026000000,24475000000,11215000000,41843000000,43551000000,30628000000,25374000000,-6727000000
None,None,5654000000,5654000000,3107000000,395666271,4481000000,None,1422000000,9372000000,None,2014-12-31,12632000000,3768000000,3768000000,8101000000,None,9271000000,None,None,1140000000,5806000000,None,None,13386000000,USD,23045000000,19783000000,945000000,124000000,68687000000,24267000000,11593000000,45333000000,44432000000,33752000000,22423000000,-6727000000
None,None,5940000000,5940000000,3054000000,430133000,4590000000,None,None,9647000000,None,2013-12-31,12798000000,4314000000,4314000000,8303000000,None,10741000000,None,None,1087000000,5806000000,None,None,12993000000,USD,21407000000,17960000000,1140000000,145000000,69501000000,24977000000,11971000000,41577000000,44524000000,29606000000,26898000000,-6727000000
None,None,4318000000,4318000000,3008000000,392133000,5010000000,None,None,9679000000,None,2012-12-31,12739000000,4711000000,4711000000,8476000000,None,10465000000,None,None,1211000000,5164000000,None,None,12741000000,USD,18495000000,20987000000,1068000000,1000000,69605000000,23684000000,11493000000,47738000000,45921000000,36245000000,20877000000,-6727000000
None,None,5444000000,5444000000,2961000000,386066280,4778000000,None,None,9626000000,None,2011-12-31,12930000000,5061000000,5061000000,7577000000,None,11736000000,None,None,773000000,5184000000,None,None,13412000000,USD,19087000000,21600000000,3290000000,2000000,69224000000,23422000000,13634000000,45933000000,45802000000,32299000000,22281000000,-6727000000
None,None,7039000000,7039000000,2931000000,381266000,4356000000,None,None,9044000000,None,2010-12-31,12967000000,5530000000,5530000000,7087000000,None,10137000000,None,None,611000000,5969000000,None,None,11339000000,USD,17736000000,23827000000,3222000000,2538000000,69588000000,23781000000,13896000000,46946000000,45807000000,33050000000,21839000000,-6727000000
None,None,2846000000,2846000000,2906000000,351299648,3987000000,None,None,9195000000,None,2009-12-31,13114000000,5966000000,5966000000,6847000000,None,9528000000,None,None,672000000,5712000000,None,None,11094000000,USD,16704000000,22373000000,3221000000,2116000000,65937000000,19560000000,13106000000,44813000000,46377000000,31789000000,20555000000,-6727000000
None,None,2800000000,2800000000,2453000000,312999687,2983000000,None,None,6856000000,None,2008-12-31,3394000000,829000000,829000000,6036000000,None,7638000000,None,None,368000000,5674000000,None,None,11154000000,USD,17013000000,11856000000,3814000000,59000000,45474000000,16060000000,13108000000,31894000000,29414000000,18786000000,13511000000,-6727000000
None,None,1736000000,1736000000,2453000000,321866344,4254000000,None,None,9684000000,None,2007-12-31,3572000000,781000000,781000000,6885000000,None,5955000000,None,None,348000000,5329000000,None,None,10860000000,USD,18004000000,9715000000,2134000000,1000000,48801000000,18654000000,12445000000,28998000000,30147000000,16553000000,19389000000,-6727000000
None,None,2757000000,2757000000,2453000000,324800000,4645000000,None,None,8048000000,None,2006-12-31,3242000000,457000000,457000000,6058000000,None,6013000000,None,None,193000000,4446000000,None,None,10498000000,USD,16987000000,9546000000,1510000000,153000000,45581000000,17209000000,10601000000,28151000000,28372000000,17550000000,17065000000,-6727000000
None,None,3806000000,3806000000,2453000000,325600000,4625000000,None,None,7926000000,None,2005-12-31,2087000000,3583000000,3583000000,5319000000,None,6783000000,None,None,321000000,4518000000,None,None,10309000000,USD,14719000000,10706000000,1520000000,32000000,45934000000,17404000000,10663000000,30274000000,28530000000,19611000000,15324000000,-6727000000
