capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
579000000,-1847000000,-849000000,None,None,-7000000,None,None,None,1194000000,635000000,635000000,None,2024-12-31,743000000,1847000000,None,None,None,None,None,None,None,None,None,-500000000,None,None,USD
619000000,-2989000000,172000000,None,None,227000000,None,None,None,1147000000,651000000,651000000,None,2023-12-31,494000000,2191000000,None,None,None,None,None,None,None,None,None,-2000000000,None,None,USD
743000000,-7667000000,8923000000,1844000000,None,-569000000,None,None,-191000000,1180000000,652000000,652000000,None,2022-12-31,5847000000,588000000,None,None,None,None,None,None,None,None,None,-4375000000,None,None,USD
3237000000,-6507000000,-2401000000,-6627000000,None,-537000000,None,None,-255000000,1458000000,630000000,630000000,None,2021-12-31,6515000000,2281000000,None,None,None,None,None,None,None,None,None,-2143000000,None,None,USD
1264000000,3238000000,-202000000,-1574000000,None,570000000,None,None,None,3094000000,882000000,882000000,None,2020-12-31,-2923000000,4095000000,None,None,None,None,None,None,None,None,None,-232000000,None,None,USD
2677000000,-11550000000,-2313000000,-1665000000,None,387000000,None,None,None,3195000000,1611000000,1611000000,None,2019-12-31,600000000,1409000000,None,None,None,None,None,None,None,None,None,-2329000000,None,None,USD
3863000000,-1918000000,-2517000000,351000000,None,-1496000000,None,None,-1611000000,2170000000,3491000000,3491000000,None,2018-12-31,349000000,4786000000,None,None,None,None,None,None,None,None,None,-4421000000,None,None,USD
3757000000,-6554000000,14413000000,None,None,-2218000000,None,None,None,3969000000,3394000000,3394000000,None,2017-12-31,1524000000,-765000000,None,None,None,None,None,None,None,None,None,-1000000000,None,None,USD
3867000000,-3690000000,-3681000000,None,None,610000000,None,None,None,2862000000,2462000000,2462000000,None,2016-12-31,4296000000,5478000000,None,None,None,None,None,None,None,None,None,-916000000,None,None,USD
3749000000,-2883000000,-1508000000,None,None,780000000,None,None,None,2521000000,2253000000,2253000000,None,2015-12-31,7634000000,7516000000,None,None,None,None,None,None,None,None,None,-1166000000,None,None,USD
3620000000,-3559000000,-3129000000,None,None,224000000,None,None,None,2747000000,2020000000,2020000000,None,2014-12-31,3745000000,6502000000,None,None,None,None,None,None,None,None,None,-4193000000,None,None,USD
2302000000,-4789000000,-1411000000,None,None,130000000,None,None,None,2681000000,1479000000,1479000000,None,2013-12-31,4749000000,7823000000,None,None,None,None,None,None,None,None,None,-307000000,None,None,USD
2614000000,-2530000000,-2687000000,None,None,-871000000,None,None,None,2698000000,2050000000,2050000000,None,2012-12-31,1169000000,4075000000,None,None,None,None,None,None,None,None,None,3347000000,None,None,USD
2830000000,-3546000000,-1810000000,None,None,-702000000,None,None,None,2883000000,1258000000,1258000000,None,2011-12-31,2712000000,3879000000,None,None,None,None,None,None,None,None,None,-19000000,None,None,USD
2175000000,-278000000,206000000,None,None,-750000000,None,None,None,2962000000,1014000000,1014000000,None,2010-12-31,2310000000,4131000000,None,None,None,None,None,None,None,None,None,-14000000,None,None,USD
2396000000,12659000000,-14776000000,None,None,63000000,None,None,None,2827000000,1030000000,1030000000,None,2009-12-31,538000000,2084000000,None,None,None,None,None,None,None,None,None,-5000000,None,None,USD
2339000000,-978000000,-2743000000,None,None,812000000,None,None,None,2236000000,1563000000,1563000000,None,2008-12-31,551000000,4717000000,None,None,None,None,None,None,None,None,None,-898000000,None,None,USD
2105000000,-2728000000,-2921000000,None,None,-712000000,None,None,None,2190000000,1512000000,1512000000,None,2007-12-31,2887000000,4547000000,None,None,None,None,None,None,None,None,None,-1462000000,None,None,USD
1983000000,-3302000000,-1913000000,None,None,-758000000,None,None,None,2074000000,1404000000,1404000000,None,2006-12-31,3724000000,4160000000,None,None,None,None,None,None,None,None,None,-739000000,None,None,USD
1860000000,-2508000000,-1137000000,None,None,-240000000,None,None,None,2079000000,1287000000,1287000000,None,2005-12-31,4535000000,4515000000,None,None,None,None,None,None,None,None,None,-68000000,None,None,USD
