comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,8474000000,8474000000,None,1194000000,1558000000,2752000000,2024-12-31,3912000000,1192000000,414000000,None,366000000,73000000,None,703000000,778000000,-293000000,None,2083000000,1829000000,None,USD,531000000,1552000000,12386000000
None,8435000000,8435000000,None,1147000000,900000000,2047000000,2023-12-31,3633000000,504000000,-29000000,None,396000000,174000000,None,423000000,938000000,-243000000,None,1916000000,1717000000,None,USD,508000000,1408000000,12068000000
None,8992000000,8992000000,None,1135000000,1940000000,3075000000,2022-12-31,4025000000,1448000000,387000000,None,492000000,417000000,None,5868000000,1061000000,-492000000,None,2003000000,2022000000,266000000,USD,536000000,1439000000,13017000000
None,8537000000,8537000000,None,1112000000,1969000000,3081000000,2021-12-31,4029000000,1444000000,237000000,None,525000000,619000000,None,6467000000,1804000000,-525000000,None,2159000000,1870000000,257000000,USD,557000000,1602000000,12566000000
None,9974000000,9974000000,None,1373000000,-1574000000,-201000000,2020-12-31,4364000000,-2246000000,160000000,None,672000000,576000000,None,-2951000000,-2874000000,-767000000,None,2326000000,2038000000,866000000,USD,625000000,2235000000,14338000000
None,15106000000,15106000000,None,2066000000,194000000,2260000000,2019-12-31,6406000000,-474000000,140000000,None,667000000,639000000,None,497000000,-614000000,-613000000,None,3618000000,2788000000,237000000,USD,689000000,2663000000,21512000000
None,16346000000,16346000000,None,2170000000,655000000,2825000000,2018-12-31,6248000000,600000000,195000000,None,55000000,338000000,None,3828000000,4004000000,-1294000000,None,4098000000,2150000000,1593000000,USD,1070000000,6709000000,22594000000
None,49090000000,49090000000,None,3969000000,2279000000,6248000000,2017-12-31,13394000000,1193000000,-476000000,None,1082000000,427000000,None,1447000000,1669000000,-935000000,None,6205000000,7189000000,None,USD,657000000,4021000000,62484000000
None,37590000000,37590000000,None,2862000000,5271000000,8133000000,2016-12-31,10556000000,4413000000,9000000,None,858000000,416000000,None,4296000000,4404000000,-751000000,None,4509000000,6047000000,None,USD,1593000000,3304000000,48146000000
None,38112000000,38112000000,None,2521000000,10876000000,13397000000,2015-12-31,10595000000,9930000000,2147000000,None,946000000,272000000,None,7634000000,7783000000,None,None,4518000000,6077000000,None,USD,1598000000,2971000000,48707000000
None,47759000000,47759000000,None,2747000000,6248000000,8995000000,2014-12-31,10317000000,5265000000,1426000000,None,983000000,None,None,3745000000,3145000000,None,None,4753000000,5564000000,None,USD,1647000000,3106000000,58076000000
None,47786000000,47786000000,None,2681000000,7905000000,10586000000,2013-12-31,9232000000,6804000000,1988000000,None,1101000000,None,None,4749000000,None,None,None,4767000000,4465000000,None,USD,1747000000,3024000000,57018000000
None,48169000000,48169000000,None,2698000000,2934000000,5632000000,2012-12-31,8617000000,1665000000,565000000,None,1269000000,None,None,1169000000,None,None,None,4548000000,4069000000,None,USD,1708000000,2861000000,56786000000
None,51386000000,51386000000,None,2883000000,4940000000,7823000000,2011-12-31,8599000000,3601000000,817000000,None,1341000000,None,None,2712000000,None,None,None,4434000000,4165000000,None,USD,1646000000,2788000000,59985000000
None,46066000000,46066000000,None,2962000000,4274000000,7236000000,2010-12-31,7608000000,2802000000,481000000,None,1473000000,None,None,2310000000,None,None,None,4269000000,3339000000,None,USD,1660000000,2609000000,53674000000
None,39131000000,39131000000,None,2827000000,2039000000,4866000000,2009-12-31,5744000000,469000000,-97000000,None,1571000000,None,None,648000000,None,None,None,3919000000,1825000000,None,USD,1492000000,2487000000,44875000000
None,51558000000,51558000000,None,2236000000,1924000000,4160000000,2008-12-31,5622000000,1277000000,651000000,None,648000000,None,None,579000000,None,None,None,3276000000,2346000000,None,USD,1310000000,1969000000,57180000000
None,46377000000,46377000000,None,2190000000,4823000000,7013000000,2007-12-31,7136000000,4229000000,1244000000,None,584000000,None,None,2887000000,None,None,None,3169000000,3967000000,None,USD,1305000000,1864000000,53513000000
None,41520000000,41520000000,None,2074000000,5604000000,7678000000,2006-12-31,7604000000,4972000000,1155000000,None,632000000,None,None,3724000000,None,None,None,2827000000,4777000000,None,USD,1164000000,1663000000,49124000000
None,38245000000,38245000000,None,2079000000,7121000000,9200000000,2005-12-31,8062000000,6399000000,1782000000,None,722000000,None,None,4535000000,None,None,None,2618000000,5444000000,None,USD,1073000000,1545000000,46307000000
