accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,3633000000,3633000000,9119000000,724000000,20832000000,None,5204000000,15602000000,None,2025-01-31,19120000000,4988000000,4988000000,6716000000,None,19363000000,None,1496000000,10278000000,6818000000,None,2951000000,6996000000,USD,-1160000000,24567000000,5204000000,26000000,79746000000,36229000000,46527000000,81133000000,43517000000,34606000000,-1482000000,None
None,None,7366000000,7366000000,8926000000,736000000,19226000000,None,6982000000,13986000000,None,2024-01-31,19700000000,5701000000,5701000000,3622000000,None,19012000000,None,1316000000,11010000000,6828000000,None,3065000000,7139000000,USD,-4453000000,25994000000,6982000000,288000000,82126000000,35984000000,48354000000,84258000000,46142000000,35904000000,-2227000000,None
None,None,8607000000,8607000000,8424000000,753000000,18598000000,None,6573000000,18141000000,None,2023-01-31,19676000000,6468000000,6468000000,4776000000,None,23015000000,None,1518000000,10827000000,10941000000,None,3223000000,6209000000,USD,-6732000000,29588000000,6573000000,None,89611000000,42351000000,51654000000,92636000000,47260000000,40982000000,-3122000000,None
None,None,9477000000,9477000000,7898000000,791000000,27143000000,None,5823000000,18132000000,None,2022-01-31,19770000000,7461000000,7461000000,5898000000,None,21131000000,None,1839000000,11526000000,8992000000,None,3653000000,5415000000,USD,-8188000000,26954000000,5823000000,None,92735000000,45033000000,56219000000,94315000000,47702000000,38096000000,-1685000000,-964000000
None,2223000000,9477000000,9477000000,7898000000,767000000,27143000000,None,6362000000,18001000000,None,2021-01-31,19770000000,7461000000,7461000000,5898000000,None,41622000000,None,1624000000,11581000000,8916000000,None,5360000000,8548000000,USD,-8188000000,47445000000,5823000000,1624000000,92659000000,44957000000,56143000000,94239000000,47702000000,38096000000,-1685000000,-305000000
None,1792000000,14201000000,14201000000,16849000000,751000000,21696000000,None,7737000000,17943000000,None,2020-01-31,40829000000,14429000000,14429000000,3402000000,None,44319000000,None,864000000,8021000000,9549000000,None,913000000,7835000000,USD,-13751000000,50681000000,6362000000,0,123415000000,43567000000,54132000000,115390000000,79848000000,61258000000,2951000000,-65000000
None,None,9676000000,9676000000,16114000000,719000000,19213000000,None,4320000000,16769000000,None,2019-01-31,40089000000,22270000000,22270000000,3649000000,None,49201000000,None,1005000000,6044000000,8495000000,None,6327000000,5259000000,USD,-21349000000,57263000000,8062000000,0,111820000000,36138000000,48714000000,111566000000,75682000000,62852000000,-4569000000,-63000000
None,None,13942000000,13942000000,19889000000,718435000,18334000000,None,7873000000,15640000000,None,2018-01-31,39920000000,28265000000,28265000000,2678000000,None,43998000000,None,4163000000,5881000000,6797000000,None,687000000,5390000000,USD,-6860000000,51871000000,7873000000,2187000000,124193000000,40328000000,45839000000,106324000000,83865000000,60485000000,12103000000,-1440000000
None,None,9474000000,9474000000,20199000000,718435000,14422000000,None,6329000000,12642000000,None,2017-01-31,38910000000,35053000000,35053000000,2538000000,None,43061000000,None,3802000000,4144000000,6176000000,None,3856000000,5653000000,USD,-5609000000,49390000000,6329000000,1975000000,118206000000,30773000000,38135000000,98966000000,87433000000,60831000000,13474000000,-752000000
None,None,6322000000,6322000000,5727000000,718435000,12881000000,None,2981000000,7802000000,None,2016-01-31,8406000000,8577000000,8577000000,1619000000,None,10650000000,None,116000000,7830000000,4606000000,None,None,1649000000,USD,-3937000000,13631000000,2981000000,None,45122000000,23573000000,25310000000,43550000000,21549000000,18240000000,1572000000,None
