capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
2652000000,-5815000000,-2215000000,None,None,-3515000000,None,None,None,3123000000,1275000000,1275000000,None,2025-01-31,4576000000,4521000000,None,None,None,None,None,None,None,None,None,-3165000000,None,None,USD
2756000000,-7094000000,-2783000000,None,None,975000000,None,None,None,3303000000,1072000000,1072000000,None,2024-01-31,3372000000,8676000000,None,None,None,None,None,None,None,None,None,-2452000000,None,None,USD
3003000000,-1625000000,-3024000000,None,None,875000000,None,None,None,3156000000,964000000,964000000,None,2023-01-31,2422000000,3565000000,None,None,None,None,None,None,None,None,None,-3281000000,None,None,USD
3003000000,-1625000000,1306000000,-4996000000,None,875000000,None,None,-2434000000,3156000000,964000000,964000000,None,2022-01-31,2422000000,3565000000,None,None,None,None,None,None,None,None,None,-3281000000,None,None,USD
2082000000,-5950000000,-460000000,4997000000,None,-243000000,None,None,-1124000000,5390000000,None,None,None,2021-01-31,3505000000,11407000000,None,None,None,None,None,None,None,None,None,-1604000000,None,None,USD
2082000000,-5950000000,-4686000000,1000000,None,-243000000,None,None,-1615000000,5390000000,None,None,None,2020-01-31,3505000000,11407000000,None,None,None,None,None,None,None,None,None,-1604000000,None,None,USD
1497000000,-14329000000,3389000000,-3949000000,None,-1445000000,None,None,-2406000000,7746000000,2134000000,2134000000,None,2019-01-31,-2181000000,6991000000,None,None,None,None,None,None,None,None,None,-14490000000,None,None,USD
1212000000,403000000,-2875000000,None,None,-325000000,None,None,None,8634000000,None,None,None,2018-01-31,-2926000000,6843000000,None,None,None,None,None,None,None,None,None,-1832000000,None,None,USD
906000000,31821000000,-31236000000,2898000000,24000000,1076000000,None,None,-2527000000,4727000000,None,None,None,2017-01-31,-1158000000,2367000000,None,None,None,None,None,None,None,None,None,-1415000000,None,None,USD
482000000,-496000000,-321000000,None,None,-5000000,None,None,None,2872000000,None,None,None,2016-01-31,-1104000000,2162000000,None,None,None,None,None,None,None,None,None,-2000000,None,None,USD
478000000,-3094000000,-355000000,None,None,71000000,None,None,None,2977000000,None,None,None,2015-01-31,-1221000000,2551000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
532000000,9330000000,-6989000000,None,None,-242000000,None,None,None,1752000000,653000000,653000000,None,2014-01-31,-1705000000,2686000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
513000000,-1210000000,-3316000000,None,None,48000000,None,None,None,1144000000,None,None,None,2013-01-31,2372000000,3283000000,None,None,None,None,None,None,None,None,None,-724000000,None,None,USD
675000000,577000000,-6166000000,None,None,52000000,None,None,None,0,0,0,None,2012-01-31,3492000000,5527000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
444000000,477000000,0,None,None,0,None,None,None,0,0,0,None,2011-01-31,2635000000,3969000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
367000000,2012000000,0,None,None,0,None,None,None,0,0,0,None,2010-01-31,1433000000,3906000000,None,None,None,None,None,None,None,None,None,0,None,None,USD
440000000,None,177000000,None,None,309000000,None,None,None,None,None,None,None,2009-01-31,2478000000,1894000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
831000000,None,None,None,None,None,None,None,None,None,None,None,None,2008-01-31,2947000000,3949000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
896000000,None,1003000000,None,None,None,None,None,None,None,None,None,None,2007-01-31,2583000000,3969000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
728000000,None,3878000000,None,None,None,None,None,None,None,None,None,None,2006-01-31,3572000000,4839000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
