comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,74317000000,74317000000,None,3123000000,6462000000,9585000000,2025-01-31,21250000000,5048000000,472000000,None,1414000000,160000000,None,4592000000,4576000000,-1254000000,None,15013000000,6237000000,None,USD,3061000000,10733000000,95567000000
None,67356000000,67356000000,None,3303000000,5588000000,8891000000,2024-01-31,21069000000,4087000000,715000000,None,1501000000,305000000,None,3388000000,3195000000,-1196000000,None,15658000000,5411000000,None,USD,2801000000,11435000000,88425000000
None,79615000000,79615000000,None,3156000000,5771000000,8927000000,2023-01-31,22686000000,3225000000,803000000,None,1222000000,2546000000,None,2442000000,2422000000,-2546000000,None,16915000000,5771000000,None,USD,2779000000,14136000000,102301000000
None,79306000000,79306000000,None,4551000000,7465000000,12016000000,2022-01-31,21891000000,5923000000,981000000,None,1542000000,1264000000,None,5563000000,4942000000,1264000000,None,17232000000,4659000000,None,USD,2577000000,13257000000,101197000000
None,66530000000,66530000000,None,5390000000,4398000000,9788000000,2021-01-31,20140000000,2346000000,101000000,None,2052000000,54000000,None,3250000000,3505000000,-1474000000,None,16455000000,3685000000,-1474000000,USD,2455000000,13000000000,86670000000
None,64176000000,64176000000,None,6143000000,2345000000,8488000000,2020-01-31,20639000000,-51000000,-572000000,None,2396000000,160000000,None,4616000000,5529000000,-2818000000,None,18273000000,2366000000,-2626000000,USD,2454000000,14100000000,84815000000
None,65568000000,65568000000,None,7746000000,258000000,8004000000,2019-01-31,25053000000,-2361000000,-180000000,None,2619000000,313000000,None,-2310000000,-2181000000,-2488000000,None,25244000000,-191000000,-2170000000,USD,4604000000,19350000000,90621000000
None,58503000000,58503000000,None,8634000000,-2250000000,6384000000,2018-01-31,20537000000,-4769000000,-1843000000,None,2519000000,207000000,None,-2849000000,-3855000000,-2406000000,None,22953000000,-2416000000,None,USD,4384000000,18523000000,79040000000
None,48515000000,48515000000,None,4938000000,-2347000000,2591000000,2017-01-31,13649000000,-4494000000,-1420000000,None,1796000000,1710000000,None,-1167000000,-3737000000,-1751000000,None,16039000000,-2390000000,-2104000000,USD,2636000000,12631000000,62164000000
None,42524000000,42524000000,None,2872000000,-584000000,2288000000,2016-01-31,8387000000,-1286000000,-118000000,None,702000000,None,None,-1104000000,-1168000000,None,None,8901000000,-514000000,None,USD,1051000000,7257000000,50911000000
None,45240000000,45240000000,None,2977000000,-408000000,2569000000,2015-01-31,8739000000,-1215000000,-107000000,None,807000000,None,None,-1221000000,-1108000000,None,None,9187000000,-448000000,None,USD,920000000,7690000000,53979000000
None,46892000000,46892000000,None,1752000000,-644000000,1108000000,2014-01-31,9485000000,-1682000000,23000000,None,351000000,None,None,-1705000000,None,None,None,10765000000,-1280000000,None,USD,1273000000,8236000000,56377000000
None,44711000000,44711000000,None,1144000000,3158000000,4302000000,2013-01-31,12229000000,2841000000,469000000,None,0,None,None,2372000000,None,None,None,9218000000,3158000000,None,USD,1072000000,7177000000,56940000000
None,47275000000,47275000000,None,None,None,None,2012-01-31,14796000000,4240000000,748000000,None,0,None,None,3492000000,None,None,None,None,4744000000,None,USD,856000000,9116000000,62071000000
None,49071000000,49071000000,None,None,None,None,2011-01-31,12423000000,3350000000,715000000,None,0,None,None,2635000000,None,None,None,None,3800000000,None,USD,661000000,7653000000,61494000000
None,42551000000,42551000000,None,None,None,None,2010-01-31,10351000000,2024000000,591000000,None,0,None,None,1433000000,None,None,None,None,2769000000,None,USD,624000000,6730000000,52902000000
None,49284000000,49284000000,None,None,None,None,2009-01-31,11817000000,3324000000,846000000,None,0,None,None,2478000000,None,None,None,None,3424000000,None,USD,665000000,7624000000,61101000000
None,48866000000,48866000000,None,None,None,None,2008-01-31,12267000000,3856000000,880000000,None,0,None,None,2947000000,None,None,None,None,3745000000,None,USD,693000000,7896000000,61133000000
None,47433000000,47433000000,None,None,None,None,2007-01-31,9987000000,3382000000,762000000,None,0,None,None,2583000000,None,None,None,None,3170000000,None,USD,498000000,6346000000,57420000000
None,45227000000,45227000000,None,None,None,None,2006-01-31,10681000000,4574000000,1002000000,None,0,None,None,3572000000,None,None,None,None,4789000000,None,USD,463000000,5499000000,55908000000
