accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,2928000000,6002000000,6002000000,58592000000,1831000000,14796000000,None,6845000000,12729000000,None,2024-09-30,73326000000,10739000000,10739000000,2022000000,None,38970000000,None,4459000000,4488000000,4124000000,None,7923000000,40663000000,USD,49722000000,49517000000,7619000000,None,196219000000,25241000000,34599000000,90697000000,170978000000,56098000000,100696000000,None
None,3464000000,14182000000,14182000000,57383000000,1830000000,15125000000,None,4330000000,12330000000,None,2023-09-30,77067000000,13061000000,13061000000,1963000000,None,42101000000,None,3080000000,4288000000,3063000000,None,12069000000,34941000000,USD,46093000000,50672000000,5107000000,None,205579000000,32763000000,31139000000,92567000000,172816000000,61428000000,99277000000,None
None,3239000000,11615000000,11615000000,56398000000,1827000000,16205000000,None,3070000000,12652000000,None,2022-09-30,77897000000,14837000000,14837000000,1742000000,None,45299000000,None,3218000000,3089000000,3238000000,None,12518000000,33596000000,USD,43636000000,52259000000,3721000000,None,203631000000,29098000000,29073000000,95253000000,174533000000,66180000000,95008000000,None
-37920000000,3229000000,15959000000,15959000000,55471000000,1828000000,16357000000,None,5866000000,13367000000,None,2021-09-30,78071000000,17115000000,17115000000,1331000000,None,48540000000,None,3935000000,3000000000,4109000000,None,14522000000,32624000000,USD,40429000000,58313000000,6544000000,None,203609000000,33657000000,31077000000,101385000000,169952000000,70308000000,88553000000,-907000000
-35517000000,2911000000,17914000000,17914000000,54497000000,1808000000,12663000000,None,5711000000,12708000000,None,2020-09-30,77689000000,19173000000,19173000000,1583000000,None,52917000000,None,3903000000,875000000,4138000000,None,17204000000,36126000000,USD,38315000000,58899000000,5711000000,3903000000,201549000000,35251000000,26628000000,104037000000,166298000000,77409000000,83583000000,-907000000
None,None,5418000000,5418000000,53907000000,1666000000,13778000000,None,8857000000,15481000000,None,2019-09-30,80293000000,23215000000,23215000000,1649000000,None,38129000000,None,3224000000,5576000000,4656000000,None,8977000000,31603000000,USD,42494000000,46986000000,8857000000,None,193984000000,28124000000,31521000000,91132000000,165860000000,59611000000,88877000000,-907000000
None,None,4150000000,4150000000,36779000000,1507000000,6503000000,None,3790000000,9334000000,None,2018-09-30,31269000000,6812000000,6812000000,1392000000,None,17084000000,None,2899000000,1949000000,7567000000,None,3878000000,29540000000,USD,82679000000,20874000000,3790000000,1000000,98598000000,16825000000,17860000000,44643000000,81773000000,26783000000,48773000000,-67588000000
None,None,4017000000,4017000000,36248000000,1578000000,6490000000,None,6172000000,8633000000,None,2017-09-30,31426000000,6995000000,6995000000,1373000000,None,19119000000,None,3202000000,1866000000,6933000000,None,3162000000,28406000000,USD,72606000000,25291000000,6172000000,26000000,95789000000,15889000000,19595000000,49637000000,79900000000,30042000000,41315000000,-64011000000
None,None,4610000000,4610000000,35859000000,1639000000,6860000000,None,3687000000,9065000000,None,2016-09-30,27810000000,6949000000,6949000000,1390000000,None,16483000000,None,4280000000,1901000000,6295000000,None,2522000000,27349000000,USD,66088000000,20170000000,3687000000,0,92033000000,16966000000,16842000000,44710000000,75067000000,27868000000,43265000000,-54703000000
None,None,4269000000,4269000000,35122000000,1709000000,5504000000,None,2133000000,8019000000,None,2015-09-30,27826000000,7172000000,7172000000,1571000000,None,12773000000,None,2600000000,2899000000,6267000000,None,None,25179000000,USD,59028000000,17336000000,4563000000,0,88182000000,16758000000,16334000000,39527000000,71424000000,23193000000,44525000000,-47204000000
None,None,3421000000,3421000000,34301000000,1759000000,5371000000,None,2114000000,7822000000,None,2014-09-30,27881000000,7434000000,7434000000,1574000000,None,12905000000,None,None,1298000000,5757000000,None,None,23332000000,USD,53734000000,14840000000,2164000000,0,84186000000,15176000000,13292000000,36008000000,69010000000,22716000000,44958000000,-41109000000
None,None,3931000000,3931000000,33440000000,1813000000,4899000000,None,None,6967000000,None,2013-09-30,27324000000,7370000000,7370000000,1487000000,None,13050000000,None,None,1724000000,5293000000,None,None,22380000000,USD,47758000000,14288000000,1512000000,0,81241000000,14109000000,11704000000,33091000000,67132000000,21387000000,45429000000,-34582000000
None,None,3387000000,3387000000,31731000000,1818000000,4619000000,None,None,6540000000,None,2012-09-30,25110000000,5015000000,5015000000,1537000000,None,10981000000,None,None,2245000000,4580000000,None,None,21512000000,USD,42965000000,14595000000,3614000000,0,74898000000,13709000000,12813000000,32940000000,61189000000,20127000000,39759000000,-31671000000
None,None,3185000000,3185000000,30296000000,1909000000,4546000000,None,None,6182000000,None,2011-09-30,24145000000,5121000000,5121000000,1595000000,None,11210000000,None,None,2795000000,4487000000,None,None,19695000000,USD,38375000000,14265000000,3055000000,0,72124000000,13757000000,12088000000,32671000000,58367000000,20583000000,37385000000,-28656000000
None,None,2722000000,2722000000,28736000000,1948000000,4413000000,None,None,5784000000,None,2010-09-30,24100000000,5081000000,5081000000,1442000000,None,10354000000,None,None,2277000000,4237000000,None,None,17806000000,USD,34327000000,12704000000,2350000000,0,69206000000,12225000000,11000000000,29864000000,56981000000,18864000000,37519000000,-23663000000
None,None,3417000000,3417000000,27038000000,1875000000,4002000000,None,None,4854000000,None,2009-09-30,21683000000,2247000000,2247000000,1271000000,None,11721000000,None,None,2347000000,3726000000,None,None,17597000000,USD,31033000000,12927000000,1206000000,0,63117000000,11889000000,8934000000,27692000000,51228000000,18758000000,33734000000,-22693000000
None,None,3001000000,3001000000,26546000000,1948000000,4355000000,None,None,5373000000,None,2008-09-30,22151000000,7822000000,7822000000,1124000000,None,11351000000,None,None,2168000000,3707000000,None,None,17532000000,USD,28413000000,14880000000,3529000000,None,62497000000,11666000000,11591000000,28830000000,50831000000,17239000000,32323000000,-22555000000
None,None,3670000000,3670000000,24207000000,2092000000,3996000000,None,None,5032000000,None,2007-09-30,22085000000,7617000000,7617000000,641000000,None,12166000000,None,None,1971000000,4115000000,None,None,17433000000,USD,24805000000,15446000000,3280000000,None,60928000000,11314000000,11391000000,28880000000,49614000000,17489000000,30753000000,-18102000000
None,None,2411000000,2411000000,22377000000,2076000000,4006000000,None,None,4707000000,None,2006-09-30,22505000000,8142000000,8142000000,694000000,None,11135000000,None,None,1750000000,3522000000,None,None,17167000000,USD,20630000000,13817000000,2682000000,None,59998000000,9562000000,10210000000,26835000000,50436000000,16625000000,31820000000,-11179000000
None,None,1723000000,1723000000,13288000000,2128571429,4294000000,None,None,4585000000,None,2005-09-30,16974000000,19705000000,19705000000,626000000,None,10531000000,None,None,1401000000,2564000000,None,None,16968000000,USD,17775000000,12841000000,2310000000,None,53158000000,8845000000,9168000000,25700000000,44313000000,16532000000,26210000000,-4281000000
