capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
5412000000,-15288000000,-6881000000,None,None,-42000000,None,None,None,4990000000,1366000000,1366000000,None,2024-09-30,5773000000,13971000000,None,None,None,None,None,None,None,None,None,-2992000000,None,None,USD
4969000000,-2724000000,-4641000000,None,None,-183000000,None,None,None,5369000000,0,0,None,2023-09-30,3390000000,9866000000,None,None,None,None,None,None,None,None,None,52000000,None,None,USD
4943000000,-4741000000,-5008000000,None,None,-420000000,None,None,None,5163000000,0,0,None,2022-09-30,3553000000,6010000000,None,None,None,None,None,None,None,None,None,127000000,None,None,USD
3578000000,-4385000000,-3163000000,-1960000000,30000000,252000000,None,None,-357000000,5111000000,0,0,None,2021-09-30,2536000000,5567000000,None,None,None,None,None,None,None,None,None,435000000,None,None,USD
4022000000,8480000000,-3637000000,12284000000,38000000,14000000,None,None,1943000000,5345000000,1587000000,1587000000,None,2020-09-30,-2442000000,7618000000,None,None,None,None,None,None,None,None,None,305000000,None,None,USD
4876000000,-1090000000,-4118000000,None,None,-223000000,None,None,None,4160000000,2895000000,2895000000,None,2019-09-30,10913000000,6606000000,None,None,None,None,None,None,None,None,None,-318000000,None,None,USD
4465000000,-8843000000,-5336000000,None,None,-17000000,None,None,None,3011000000,2515000000,2515000000,None,2018-09-30,13066000000,14295000000,None,None,None,None,None,None,None,None,None,-3577000000,None,None,USD
3623000000,-8959000000,-4111000000,None,None,-5000000,None,None,None,2782000000,2445000000,2445000000,None,2017-09-30,9366000000,12343000000,None,None,None,None,None,None,None,None,None,-9368000000,None,None,USD
4773000000,-6991000000,-5758000000,None,None,186000000,None,None,None,2527000000,2313000000,2313000000,None,2016-09-30,9790000000,13213000000,None,None,None,None,None,None,None,None,None,-7499000000,None,None,USD
4265000000,-5514000000,-4245000000,None,None,1000000,None,None,None,2354000000,3063000000,3063000000,None,2015-09-30,8852000000,10909000000,None,None,None,None,None,None,None,None,None,-6095000000,None,None,USD
3311000000,-6710000000,-3345000000,None,None,-81000000,None,None,None,2288000000,1508000000,1508000000,None,2014-09-30,8004000000,9780000000,None,None,None,None,None,None,None,None,None,-6527000000,None,None,USD
2796000000,-4214000000,-4676000000,None,None,51000000,None,None,None,2192000000,1324000000,1324000000,None,2013-09-30,6636000000,9452000000,None,None,None,None,None,None,None,None,None,-4087000000,None,None,USD
3784000000,-2985000000,-4759000000,None,None,18000000,None,None,None,1987000000,1076000000,1076000000,None,2012-09-30,6173000000,7966000000,None,None,None,None,None,None,None,None,None,-3015000000,None,None,USD
3559000000,-3233000000,-3286000000,None,None,-199000000,None,None,None,1841000000,756000000,756000000,None,2011-09-30,5258000000,6994000000,None,None,None,None,None,None,None,None,None,-4993000000,None,None,USD
2110000000,-2750000000,-4523000000,None,None,-127000000,None,None,None,1713000000,653000000,653000000,None,2010-09-30,4313000000,6578000000,None,None,None,None,None,None,None,None,None,-2669000000,None,None,USD
1753000000,-3148000000,-1755000000,None,None,-117000000,None,None,None,1631000000,648000000,648000000,None,2009-09-30,3609000000,5319000000,None,None,None,None,None,None,None,None,None,-138000000,None,None,USD
1586000000,-3953000000,-2162000000,None,None,-329000000,None,None,None,1582000000,664000000,664000000,None,2008-09-30,4427000000,5446000000,None,None,None,None,None,None,None,None,None,-4453000000,None,None,USD
1566000000,-3541000000,-621000000,None,None,52000000,None,None,None,1491000000,637000000,637000000,None,2007-09-30,4687000000,5421000000,None,None,None,None,None,None,None,None,None,-6923000000,None,None,USD
1299000000,-5143000000,-227000000,None,None,-63000000,None,None,None,1436000000,519000000,519000000,None,2006-09-30,3374000000,6058000000,None,None,None,None,None,None,None,None,None,-6898000000,None,None,USD
1823000000,-2897000000,-1691000000,None,None,22000000,None,None,None,1339000000,490000000,490000000,None,2005-09-30,2533000000,4269000000,None,None,None,None,None,None,None,None,None,-2420000000,None,None,USD
