comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,58698000000,58698000000,None,4990000000,9639000000,14629000000,2024-09-30,32663000000,7569000000,1796000000,None,1447000000,406000000,None,4972000000,5773000000,-1260000000,None,20749000000,11914000000,None,USD,None,15759000000,91361000000
None,59201000000,59201000000,None,5369000000,6742000000,12111000000,2023-09-30,29697000000,4769000000,1379000000,None,1458000000,427000000,None,2354000000,3390000000,-1209000000,None,20705000000,8992000000,None,USD,None,15336000000,88898000000
None,54401000000,54401000000,None,5163000000,6834000000,11997000000,2022-09-30,28321000000,5285000000,1732000000,None,1549000000,581000000,None,3145000000,3553000000,-1397000000,None,21551000000,6770000000,None,USD,None,16388000000,82722000000
None,45131000000,45131000000,None,5111000000,3967000000,9078000000,2021-09-30,22287000000,2561000000,25000000,None,1546000000,645000000,None,1995000000,2536000000,-1406000000,None,18628000000,3659000000,962000000,USD,None,13517000000,67418000000
None,43880000000,43880000000,None,5345000000,-252000000,5093000000,2020-09-30,21508000000,-1743000000,699000000,None,1647000000,198000000,None,-2864000000,-2442000000,-1491000000,None,17714000000,3794000000,1689000000,USD,None,2642000000,65388000000
None,42061000000,42061000000,None,4167000000,14901000000,19068000000,2019-09-30,27546000000,13923000000,3026000000,None,1246000000,543000000,None,11054000000,10913000000,-978000000,None,15716000000,11830000000,None,USD,None,11541000000,69607000000
None,32726000000,32726000000,None,3011000000,15303000000,18314000000,2018-09-30,26708000000,14729000000,1663000000,None,706000000,676000000,None,12598000000,13066000000,-574000000,None,11871000000,14837000000,None,USD,0,8860000000,59434000000
None,30306000000,30306000000,None,2782000000,14295000000,17077000000,2017-09-30,24831000000,13788000000,4422000000,None,507000000,65000000,None,8980000000,9366000000,-385000000,None,10958000000,13873000000,None,USD,0,8176000000,55137000000
None,29993000000,29993000000,None,2527000000,15222000000,17749000000,2016-09-30,25639000000,14868000000,5078000000,None,354000000,666000000,None,9391000000,9790000000,-260000000,None,11281000000,14358000000,None,USD,None,8754000000,55632000000
None,28364000000,28364000000,None,2354000000,14133000000,16487000000,2015-09-30,24101000000,13868000000,5016000000,None,265000000,697000000,None,8382000000,8852000000,None,None,10877000000,13224000000,None,USD,0,8523000000,52465000000
None,26420000000,26420000000,None,2288000000,12540000000,14828000000,2014-09-30,22393000000,12246000000,4242000000,None,294000000,None,None,7501000000,8004000000,None,None,10853000000,11540000000,None,USD,0,8565000000,48813000000
None,25034000000,25034000000,None,2192000000,9969000000,12161000000,2013-09-30,20007000000,9620000000,2984000000,None,349000000,None,None,6136000000,None,None,None,10557000000,9450000000,None,USD,0,0,45041000000
None,23468000000,23468000000,None,1987000000,9732000000,11719000000,2012-09-30,18810000000,9260000000,3087000000,None,472000000,None,None,5682000000,None,None,None,9947000000,8863000000,None,USD,0,0,42278000000
None,33112000000,33112000000,None,1841000000,8478000000,10319000000,2011-09-30,7781000000,8043000000,2785000000,None,435000000,None,None,4807000000,None,None,None,33167000000,7781000000,None,USD,0,0,40893000000
None,31337000000,31337000000,None,1713000000,7083000000,8796000000,2010-09-30,6726000000,6627000000,2314000000,None,456000000,None,None,3963000000,None,None,None,31607000000,6726000000,None,USD,0,0,38063000000
None,30452000000,30452000000,None,1631000000,6246000000,7877000000,2009-09-30,5697000000,5658000000,2049000000,None,588000000,None,None,3307000000,None,None,None,30944000000,5697000000,None,USD,0,0,36149000000
None,30400000000,30400000000,None,1582000000,7926000000,9508000000,2008-09-30,7443000000,7402000000,2673000000,None,524000000,None,None,4427000000,None,None,None,30439000000,7443000000,None,USD,None,None,37843000000
None,28729000000,28729000000,None,1491000000,6781000000,8272000000,2007-09-30,6781000000,7725000000,2874000000,None,0,None,None,4687000000,None,None,None,28681000000,6781000000,None,USD,None,None,35510000000
None,28392000000,28392000000,None,1437000000,5355000000,6792000000,2006-09-30,5355000000,5324000000,1837000000,None,0,None,None,3374000000,None,None,None,28392000000,5355000000,None,USD,None,None,33747000000
None,27443000000,27443000000,None,1341000000,3931000000,5272000000,2005-09-30,3931000000,3811000000,1174000000,None,0,None,None,2533000000,None,None,None,27475000000,3931000000,None,USD,None,None,31374000000
