accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,2241000000,2189000000,2189000000,8000000,705100000,4847000000,None,632000000,6864000000,None,2024-12-31,8565000000,1721000000,1721000000,6544000000,None,14771000000,None,4299000000,610000000,4215000000,None,7351000000,23272000000,USD,20909000000,17645000000,950000000,383000000,57312000000,16590000000,10288000000,39461000000,40722000000,29173000000,17355000000,None
None,2234000000,2987000000,2987000000,8000000,709000000,4529000000,None,179000000,6614000000,None,2023-12-31,8641000000,2072000000,2072000000,6076000000,None,14034000000,None,4007000000,1937000000,4501000000,None,7632000000,22386000000,USD,21774000000,16447000000,508000000,1300000000,57967000000,17614000000,9957000000,38859000000,40353000000,28902000000,18607000000,None
None,1284000000,3886000000,3886000000,8000000,725600000,4940000000,None,724000000,7755000000,None,2022-12-31,8644000000,2442000000,2442000000,6988000000,None,14698000000,None,4382000000,1848000000,5046000000,None,7412000000,21669000000,USD,23180000000,16706000000,1011000000,939000000,60603000000,20477000000,11331000000,39356000000,40126000000,28025000000,20718000000,None
None,1463000000,2988000000,2988000000,8000000,749000000,5577000000,None,392000000,9554000000,None,2021-12-31,8764000000,2881000000,2881000000,7372000000,None,14280000000,None,5238000000,934000000,6320000000,None,7533000000,21967000000,USD,20623000000,16135000000,706000000,245000000,62990000000,20848000000,13226000000,44251000000,42142000000,31025000000,18165000000,-1625000000
None,1937000000,5104000000,5104000000,8000000,742300000,3763000000,None,616000000,7390000000,None,2020-12-31,8908000000,3352000000,3352000000,5701000000,None,16491000000,None,4102000000,889000000,5916000000,None,7292000000,22095000000,USD,16361000000,19044000000,1032000000,45000000,61470000000,19084000000,11108000000,48465000000,42386000000,37357000000,12435000000,-625000000
None,2160000000,2367000000,2367000000,8000000,742500000,3889000000,None,1021000000,7555000000,None,2019-12-31,8796000000,3759000000,3759000000,6214000000,None,15612000000,None,3992000000,679000000,4826000000,None,6547000000,23068000000,USD,17045000000,19156000000,1442000000,21000000,60524000000,16815000000,10679000000,46430000000,43709000000,35751000000,13541000000,-500000000
-37775000000,None,2724000000,2724000000,0,750000000,6935000000,None,645000000,9035000000,None,2018-12-31,13848000000,4913000000,4913000000,9260000000,None,19254000000,None,6865000000,20612000000,7185000000,None,16400000000,23662000000,USD,29808000000,19899000000,636000000,100000000,77378000000,25263000000,13755000000,49409000000,52115000000,35654000000,26831000000,None
-36614000000,None,6188000000,6188000000,None,750000000,5360000000,None,1236000000,12049000000,None,2017-12-31,13938000000,5549000000,5549000000,8376000000,None,19765000000,None,6846000000,627000000,7087000000,None,18789000000,23812000000,USD,28050000000,21001000000,1236000000,4000000,79940000000,27244000000,14377000000,52931000000,52696000000,38554000000,25823000000,None
-33952000000,None,6607000000,6607000000,3107000000,750000000,11697000000,None,907000000,9024000000,None,2016-12-31,15272000000,6026000000,6026000000,7363000000,None,20456000000,None,7424000000,665000000,635000000,None,19222000000,23486000000,USD,30338000000,None,272000000,None,79511000000,23659000000,12604000000,31826000000,55852000000,19222000000,25987000000,-1659000000
-32948000000,None,8577000000,8577000000,3107000000,750000000,10220000000,None,995000000,8673000000,None,2015-12-31,12154000000,3617000000,3617000000,6871000000,None,16215000000,None,7697000000,354000000,541000000,None,14413000000,17854000000,USD,28425000000,None,454000000,None,68026000000,24475000000,11215000000,25628000000,43551000000,14413000000,25374000000,-6155000000
