capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
3065000000,-1168000000,-2368000000,None,None,-529000000,None,None,None,2894000000,1966000000,1966000000,None,2024-12-31,1201000000,2914000000,None,None,None,None,None,None,None,None,None,-494000000,None,None,USD
2477000000,-3115000000,-2928000000,None,None,844000000,None,None,None,2611000000,1972000000,1972000000,None,2023-12-31,660000000,5196000000,None,None,None,None,None,None,None,None,None,-625000000,None,None,USD
2058000000,-3361000000,-2970000000,None,None,347000000,None,None,None,2758000000,2006000000,2006000000,None,2022-12-31,4640000000,7475000000,None,None,None,None,None,None,None,None,None,-2325000000,None,None,USD
2324000000,-6071000000,-2914000000,None,None,-1768000000,None,None,None,2842000000,2073000000,2073000000,None,2021-12-31,6405000000,7009000000,None,None,None,None,None,None,None,None,None,-1000000000,None,None,USD
1387000000,-2764000000,-841000000,None,None,515000000,None,None,None,2874000000,2071000000,2071000000,None,2020-12-31,1294000000,6226000000,None,None,None,None,None,None,None,None,None,-125000000,None,None,USD
1970000000,-4095000000,-2192000000,None,None,668000000,None,None,None,2938000000,2085000000,2085000000,None,2019-12-31,-1272000000,5930000000,None,None,None,None,None,None,None,None,None,-500000000,None,None,USD
2137000000,-5404000000,-2195000000,-3398000000,None,-983000000,None,None,-1532000000,3329000000,3711000000,3711000000,None,2018-12-31,4633000000,3894000000,None,None,None,None,None,None,None,None,None,2000000000,None,None,USD
2994000000,-3325000000,7518000000,-419000000,320000000,-891000000,None,None,-4734000000,2546000000,3235000000,3235000000,None,2017-12-31,595000000,-4929000000,None,None,None,None,None,None,None,None,None,218000000,None,None,USD
3991000000,-4014000000,5092000000,-1970000000,-77000000,610000000,None,None,-282000000,2862000000,2462000000,2462000000,None,2016-12-31,4404000000,-2957000000,None,None,None,None,None,None,None,None,None,-916000000,None,None,USD
3703000000,-3132000000,-1350000000,2923000000,-202000000,780000000,None,None,950000000,2521000000,2253000000,2253000000,None,2015-12-31,7783000000,7607000000,None,None,None,None,None,None,None,None,None,-1166000000,None,None,USD
3572000000,-3583000000,-3105000000,-286000000,-100000000,224000000,None,None,195000000,2747000000,2111000000,2111000000,None,2014-12-31,3839000000,6502000000,None,None,None,None,None,None,None,None,None,-3269000000,None,None,USD
2302000000,-4731000000,-1469000000,1622000000,-1000000,130000000,None,None,113000000,2681000000,1534000000,1534000000,None,2013-12-31,4816000000,7823000000,None,None,None,None,None,None,None,None,None,137000000,None,None,USD
2614000000,-2530000000,-2687000000,-1126000000,16000000,-871000000,None,None,116000000,2698000000,2122000000,2122000000,None,2012-12-31,1100000000,4075000000,None,None,None,None,None,None,None,None,None,295000000,None,None,USD
2717000000,-3362000000,-1994000000,-1595000000,-121000000,-702000000,None,None,-447000000,2883000000,1300000000,1300000000,None,2011-12-31,2784000000,3879000000,None,None,None,None,None,None,None,None,None,499000000,None,None,USD
2175000000,-178000000,135000000,4193000000,88000000,-750000000,None,None,-171000000,2962000000,8000000,8000000,None,2010-12-31,2321000000,4102000000,None,None,None,None,None,None,None,None,None,376000000,None,None,USD
2123000000,12659000000,-14767000000,46000000,79000000,63000000,None,None,-990000000,2827000000,24000000,24000000,None,2009-12-31,676000000,2075000000,None,None,None,None,None,None,None,None,None,8516000000,None,None,USD
