comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,38509000000,38509000000,None,2894000000,2358000000,5252000000,2024-12-31,4455000000,1600000000,399000000,None,758000000,200000000,None,1116000000,1201000000,-611000000,None,2391000000,2064000000,None,USD,810000000,1581000000,42964000000
None,39650000000,39650000000,None,2611000000,1392000000,4003000000,2023-12-31,4972000000,656000000,-4000000,None,736000000,229000000,None,589000000,660000000,-517000000,None,2456000000,2516000000,None,USD,829000000,1627000000,44622000000
None,49045000000,49045000000,None,2758000000,6741000000,9499000000,2022-12-31,7857000000,6090000000,1450000000,None,651000000,173000000,None,4582000000,4640000000,-489000000,None,2526000000,5331000000,None,USD,851000000,1675000000,56902000000
None,44580000000,44580000000,None,2842000000,8834000000,11676000000,2021-12-31,10388000000,8145000000,1740000000,None,689000000,55000000,None,6311000000,6405000000,-676000000,None,2502000000,7886000000,None,USD,857000000,1645000000,54968000000
None,33730000000,33730000000,None,2589000000,2949000000,5538000000,2020-12-31,4812000000,2071000000,777000000,None,878000000,38000000,None,1225000000,1294000000,-789000000,None,2239000000,2573000000,None,USD,768000000,1471000000,38542000000
None,36995000000,36995000000,None,2671000000,-300000000,2371000000,2019-12-31,5956000000,-1247000000,470000000,None,947000000,946000000,None,-1365000000,-1717000000,-852000000,None,2355000000,3601000000,None,USD,765000000,1590000000,42951000000
None,41444000000,41444000000,None,2736000000,4809000000,7545000000,2018-12-31,8160000000,5918000000,1285000000,None,1060000000,426000000,None,4499000000,4633000000,-1009000000,None,2582000000,5578000000,None,USD,1536000000,2846000000,60278000000
None,44236000000,44236000000,None,624000000,3775000000,4399000000,2017-12-31,11272000000,237000000,1524000000,None,976000000,66000000,None,465000000,1381000000,-848000000,None,4568000000,6704000000,1639000000,USD,803000000,1795000000,43730000000
None,38212000000,38212000000,None,544000000,5271000000,5815000000,2016-12-31,9946000000,4413000000,9000000,None,858000000,107000000,None,4318000000,5517000000,-751000000,None,4546000000,5400000000,549000000,USD,1593000000,4066000000,48158000000
None,29655000000,29655000000,None,223000000,4699000000,4922000000,2015-12-31,7446000000,8089000000,1591000000,None,0,None,None,6087000000,7783000000,None,None,1537000000,4699000000,745000000,USD,730000000,2971000000,37101000000
None,47464000000,47464000000,None,None,6326000000,None,2014-12-31,10703000000,5343000000,1426000000,None,0,None,None,3772000000,3917000000,None,None,5263000000,5440000000,886000000,USD,1647000000,3106000000,58167000000
None,47594000000,47594000000,None,None,7905000000,None,2013-12-31,9486000000,6804000000,1988000000,None,0,None,None,4787000000,4816000000,None,None,2656000000,6830000000,1075000000,USD,1747000000,3024000000,57080000000
None,47792000000,47792000000,None,None,2934000000,None,2012-12-31,8994000000,1665000000,565000000,None,0,None,None,1182000000,1100000000,None,None,6637000000,2357000000,577000000,USD,1708000000,2861000000,56786000000
None,51029000000,51029000000,None,None,4973000000,None,2011-12-31,8956000000,3632000000,817000000,None,0,None,None,2742000000,2784000000,None,None,5246000000,3710000000,1263000000,USD,1646000000,2788000000,59985000000
None,45780000000,45780000000,None,None,4239000000,None,2010-12-31,7894000000,4239000000,481000000,None,0,None,None,2310000000,2321000000,None,None,4804000000,3090000000,1149000000,USD,1660000000,2609000000,53674000000
None,39148000000,39148000000,None,None,1322000000,None,2009-12-31,5727000000,1322000000,-97000000,None,0,None,None,648000000,1419000000,None,None,5074000000,653000000,669000000,USD,1492000000,2487000000,44875000000
