accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,214000000,310000000,310000000,24383000000,839400000,1149000000,None,4225000000,2527000000,None,2024-12-31,4143000000,1136000000,1136000000,1764000000,None,37311000000,None,8550000000,2012000000,3915000000,None,1352000000,588000000,USD,2035000000,41750000000,4225000000,None,102415000000,6613000000,9289000000,72223000000,95802000000,62934000000,27253000000,None
None,192000000,184000000,184000000,23728000000,836500000,921000000,None,10995000000,2509000000,None,2023-12-31,4143000000,945000000,945000000,1698000000,None,33056000000,None,7538000000,21044000000,12560000000,None,1434000000,578000000,USD,3524000000,44243000000,10995000000,7184000000,109032000000,25435000000,24476000000,81513000000,83645000000,57037000000,27529000000,None
-27742000000,91000000,119000000,119000000,23605000000,835000000,1163000000,None,6764000000,2532000000,None,2022-12-31,4143000000,813000000,813000000,1528000000,None,38810000000,None,9359000000,5671000000,5527000000,None,1359000000,415000000,USD,3843000000,41203000000,6760000000,605000000,104795000000,9850000000,13450000000,77136000000,94945000000,63686000000,27659000000,None
-26729000000,None,283000000,283000000,21610000000,808500000,1197000000,None,3155000000,2568000000,None,2021-12-31,7405000000,784000000,784000000,1631000000,None,37426000000,None,11276000000,2787000000,4321000000,None,24573000000,59774000000,USD,5373000000,40581000000,3155000000,18000000,99590000000,7269000000,8673000000,72282000000,92321000000,63609000000,27308000000,None
-25111000000,None,172000000,172000000,21258000000,831000000,944000000,None,3057000000,2507000000,None,2020-12-31,7381000000,765000000,765000000,1550000000,None,33957000000,None,10238000000,2657000000,6842000000,None,24644000000,57848000000,USD,4189000000,37014000000,3057000000,2934000000,95905000000,6886000000,10843000000,69444000000,89019000000,58601000000,26117000000,None
None,105000000,135000000,135000000,23824000000,808900000,1023000000,None,4073000000,2425000000,None,2019-12-31,8946000000,791000000,791000000,1616000000,None,33824000000,None,6192000000,1920000000,5606000000,None,1517000000,69082000000,USD,7576000000,32414000000,3311000000,None,103823000000,6096000000,9939000000,69790000000,97735000000,59850000000,31994000000,None
-22018000000,None,268000000,268000000,12588000000,681000000,914000000,None,4031000000,2080000000,None,2018-12-31,6410000000,670000000,670000000,1418000000,None,31144000000,None,6560000000,1395000000,2702000000,None,17075000000,54560000000,USD,9219000000,35175000000,4031000000,14000000,77914000000,5161000000,7647000000,55866000000,72753000000,48219000000,20107000000,None
-21065000000,None,120000000,120000000,9865000000,636000000,875000000,None,6376000000,1786000000,None,2017-12-31,6405000000,685000000,685000000,1477000000,None,30948000000,None,6964000000,951000000,2385000000,None,16631000000,53758000000,USD,7936000000,37324000000,6376000000,6000000,76585000000,4334000000,9636000000,57215000000,72251000000,47579000000,17142000000,0
-19592000000,None,261000000,261000000,8550000000,628000000,1000000000,None,4864000000,1706000000,None,2016-12-31,6399000000,618000000,618000000,1524000000,None,30231000000,None,6343000000,757000000,2251000000,None,16424000000,49964000000,USD,6854000000,35095000000,4864000000,140000000,71610000000,4248000000,8115000000,54770000000,67362000000,46655000000,14605000000,0
-16222000000,None,607000000,607000000,6680000000,593700000,726000000,None,1989000000,1369000000,None,2015-12-31,3294000000,570000000,570000000,1348000000,None,23616000000,None,5774000000,865000000,2059000000,None,13459000000,41554000000,USD,6458000000,28802000000,5334000000,255000000,58797000000,4189000000,8120000000,45046000000,54606000000,36927000000,12664000000,0
-15136000000,None,318000000,318000000,5876000000,584500000,952000000,None,1475000000,1633000000,None,2014-12-31,3044000000,570000000,570000000,1410000000,None,21805000000,None,5561000000,2254000000,2096000000,None,13367000000,36270000000,USD,6095000000,25955000000,4150000000,13000000,54327000000,5615000000,7198000000,42370000000,48712000000,35172000000,11555000000,0
-14341000000,None,316000000,316000000,5783000000,579500000,1168000000,None,None,1836000000,None,2013-12-31,3086000000,560000000,560000000,1176000000,None,19330000000,None,5102000000,2612000000,2380000000,None,11873000000,32628000000,USD,6183000000,22776000000,3446000000,116000000,50096000000,5940000000,6994000000,38454000000,44156000000,31460000000,11642000000,0
None,None,248000000,248000000,5493000000,573900000,1137000000,None,None,1717000000,None,2012-12-31,3130000000,536000000,536000000,1259000000,None,16851000000,None,None,1916000000,1991000000,None,None,30773000000,USD,5790000000,21486000000,4635000000,36000000,46838000000,5140000000,7763000000,36213000000,41698000000,28450000000,10568000000,0
None,None,102000000,102000000,5180000000,574600000,1250000000,None,None,2035000000,None,2011-12-31,3141000000,637000000,637000000,1348000000,None,17394000000,None,None,1945000000,2419000000,None,None,29670000000,USD,6697000000,20687000000,3293000000,0,45614000000,5430000000,6962000000,34111000000,40184000000,27149000000,11446000000,0
None,None,62000000,62000000,5715000000,590100000,1562000000,None,None,2246000000,None,2010-12-31,3141000000,642000000,642000000,1163000000,None,15758000000,None,None,1929000000,2328000000,None,None,26713000000,USD,6418000000,17641000000,1883000000,0,42862000000,5400000000,5781000000,30820000000,37060000000,25047000000,12033000000,0
None,None,48000000,48000000,6525000000,593700000,1401000000,None,None,2180000000,None,2009-12-31,3354000000,693000000,693000000,1185000000,None,15481000000,None,None,3404000000,3000000000,None,None,25592000000,USD,4686000000,17913000000,2432000000,1128000000,42554000000,6817000000,6833000000,31369000000,35737000000,24536000000,11185000000,0
None,None,66000000,66000000,5994000000,580800000,1499000000,None,None,2559000000,None,2008-12-31,3503000000,712000000,712000000,1166000000,None,14956000000,None,None,2373000000,3821000000,None,None,23274000000,USD,4170000000,17430000000,2474000000,1497000000,42053000000,7661000000,7794000000,31976000000,34392000000,23925000000,10077000000,None
None,None,283000000,283000000,5733000000,654381443,1734000000,None,None,2130000000,None,2007-12-31,2130000000,4094000000,4094000000,1045000000,None,13235000000,None,None,3599000000,2792000000,None,None,21352000000,USD,3510000000,16469000000,3234000000,None,39123000000,6670000000,7746000000,29705000000,32467000000,21686000000,9406000000,None
None,None,138000000,138000000,11250000000,702290076,2142000000,None,None,2753000000,None,2006-12-31,2753000000,4926000000,4926000000,1101000000,None,14791000000,None,None,4360000000,4277000000,None,None,29382000000,USD,1960000000,19601000000,4810000000,None,49269000000,8098000000,11229000000,36333000000,41171000000,20649000000,12913000000,None
