capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
12427000000,-1771000000,-3183000000,None,None,-87000000,None,None,None,2345000000,2239000000,2239000000,None,2024-12-31,1927000000,5018000000,None,None,None,None,None,None,None,None,None,-801000000,None,None,USD
10235000000,595000000,-7207000000,None,None,-198000000,None,None,None,2580000000,2233000000,2233000000,None,2023-12-31,2156000000,6572000000,None,None,None,None,None,None,None,None,None,5840000000,None,None,USD
7591000000,2979000000,-6746000000,-67000000,None,-216000000,None,None,-985000000,3113000000,2209000000,2209000000,None,2022-12-31,994000000,3700000000,None,None,None,None,None,None,None,None,None,-1610000000,None,None,USD
5960000000,2371000000,-6247000000,161000000,None,-74000000,None,None,-183000000,2768000000,2036000000,2036000000,None,2021-12-31,3314000000,4037000000,None,None,None,None,None,None,None,None,None,10726000000,None,None,USD
6020000000,-2333000000,-2916000000,-22000000,None,39000000,None,None,-238000000,2836000000,2873000000,2873000000,None,2020-12-31,-550000000,5227000000,None,None,None,None,None,None,None,None,None,-3080000000,None,None,USD
4980000000,-704000000,-4622000000,-122000000,None,-90000000,None,None,-71000000,2977000000,2983000000,2983000000,None,2019-12-31,1376000000,5204000000,None,None,None,None,None,None,None,None,None,8569000000,None,None,USD
4405000000,-2209000000,-2358000000,206000000,None,-29000000,None,None,-110000000,2280000000,2185000000,2185000000,None,2018-12-31,2447000000,4773000000,None,None,None,None,None,None,None,None,None,7885000000,None,None,USD
5909000000,1303000000,-5942000000,-141000000,None,15000000,None,None,-103000000,2202000000,1931000000,1931000000,None,2017-12-31,2999000000,4502000000,None,None,None,None,None,None,None,None,None,4023000000,None,None,USD
6125000000,6230000000,-10703000000,-346000000,None,1000000,None,None,-286000000,1849000000,1727000000,1727000000,None,2016-12-31,2123000000,4127000000,None,None,None,None,None,None,None,None,None,8922000000,None,None,USD
5993000000,2317000000,-6503000000,289000000,None,-26000000,None,None,294000000,1669000000,1536000000,1536000000,None,2015-12-31,1899000000,4475000000,None,None,None,None,None,None,None,None,None,4296000000,None,None,USD
5551000000,1744000000,-5181000000,2000000,None,-43000000,None,None,131000000,1560000000,1409000000,1409000000,None,2014-12-31,1310000000,3439000000,None,None,None,None,None,None,None,None,None,-259000000,None,None,USD
4104000000,1016000000,-4381000000,68000000,None,-29000000,None,None,-98000000,1390000000,1319000000,1319000000,None,2013-12-31,1789000000,3433000000,None,None,None,None,None,None,None,None,None,4535000000,None,None,USD
4145000000,-151000000,-3840000000,None,None,33000000,None,None,None,1443000000,1225000000,1225000000,None,2012-12-31,1427000000,4137000000,None,None,None,None,None,None,None,None,None,2498000000,None,None,USD
3652000000,378000000,-3321000000,None,None,-188000000,None,None,None,1288000000,1146000000,1146000000,None,2011-12-31,1466000000,2983000000,None,None,None,None,None,None,None,None,None,-601000000,None,None,USD
3422000000,-2232000000,419000000,None,None,35000000,None,None,None,1258000000,1093000000,1093000000,None,2010-12-31,2963000000,1825000000,None,None,None,None,None,None,None,None,None,-900000000,None,None,USD
3837000000,-112000000,-3695000000,None,None,-10000000,None,None,None,1319000000,1056000000,1056000000,None,2009-12-31,1287000000,3786000000,None,None,None,None,None,None,None,None,None,1695000000,None,None,USD
3554000000,615000000,-3490000000,None,None,-116000000,None,None,None,1191000000,916000000,916000000,None,2008-12-31,1836000000,2659000000,None,None,None,None,None,None,None,None,None,None,None,None,USD
3972000000,-9801000000,10192000000,None,None,52000000,None,None,None,1533000000,931000000,931000000,None,2007-12-31,2705000000,-246000000,None,None,None,None,None,None,None,None,None,-5768000000,None,None,USD
4052000000,-515000000,-3494000000,None,None,3000000,None,None,None,1739000000,970000000,970000000,None,2006-12-31,1563000000,4005000000,None,None,None,None,None,None,None,None,None,-540000000,None,None,USD
3358000000,522000000,-3360000000,None,None,-220000000,None,None,None,1538000000,923000000,923000000,None,2005-12-31,1047000000,2623000000,None,None,None,None,None,None,None,None,None,-276000000,None,None,USD
