comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,7537000000,7537000000,None,2639000000,4069000000,6708000000,2024-12-31,6922000000,2182000000,308000000,None,1887000000,880000000,None,2124000000,1874000000,-1887000000,None,3675000000,3247000000,None,USD,None,None,14459000000
None,7435000000,7435000000,None,3128000000,3694000000,6822000000,2023-12-31,6958000000,2732000000,575000000,None,1674000000,896000000,None,1994000000,2157000000,-1674000000,None,3544000000,3414000000,None,USD,None,None,14393000000
None,7561000000,7561000000,None,3113000000,3260000000,6373000000,2022-12-31,6377000000,540000000,113000000,None,1002000000,1507000000,None,1321000000,985000000,-966000000,None,4944000000,1433000000,423000000,USD,None,923000000,13938000000
None,6007000000,6007000000,None,2781000000,2605000000,5386000000,2021-12-31,5412000000,1880000000,-181000000,None,1294000000,372000000,None,3399000000,2673000000,-1354000000,None,3416000000,1996000000,1433000000,USD,20000000,909000000,11419000000
None,6870000000,6870000000,None,2836000000,4099000000,6935000000,2020-12-31,7302000000,1411000000,83000000,None,1377000000,3677000000,None,-401000000,1328000000,-1377000000,None,5247000000,2055000000,733000000,USD,None,871000000,14172000000
None,8323000000,8323000000,None,2977000000,2912000000,5889000000,2019-12-31,6078000000,869000000,209000000,None,1486000000,1614000000,None,1358000000,1376000000,-1773000000,None,4534000000,1544000000,986000000,USD,None,1040000000,14401000000
None,6199000000,6199000000,None,2280000000,2760000000,5040000000,2018-12-31,5000000000,2619000000,522000000,None,1279000000,1296000000,None,2447000000,2549000000,-1493000000,None,1987000000,3013000000,1218000000,USD,0,703000000,11199000000
None,6208000000,6208000000,None,2202000000,3805000000,6007000000,2017-12-31,6378000000,3090000000,-30000000,None,1205000000,1191000000,None,2999000000,3120000000,-1205000000,None,2441000000,3937000000,147000000,USD,0,668000000,12586000000
None,6170000000,6170000000,None,1849000000,3412000000,5261000000,2016-12-31,5567000000,2867000000,655000000,None,1010000000,899000000,None,2123000000,2212000000,-1010000000,None,2119000000,3448000000,361000000,USD,0,596000000,11737000000
None,6201000000,6201000000,None,1669000000,3536000000,5205000000,2015-12-31,5482000000,2828000000,905000000,None,904000000,904000000,None,1899000000,1923000000,None,None,1946000000,3536000000,196000000,USD,0,551000000,11683000000
None,7881000000,7881000000,None,1560000000,2721000000,4281000000,2014-12-31,4555000000,1778000000,452000000,None,1193000000,None,None,1310000000,1326000000,None,None,1834000000,2721000000,250000000,USD,0,542000000,12436000000
None,8033000000,8033000000,None,1390000000,3316000000,4706000000,2013-12-31,5087000000,2704000000,892000000,None,877000000,None,None,1697000000,1812000000,None,None,1771000000,3316000000,265000000,USD,0,563000000,13120000000
None,8300000000,8300000000,None,1443000000,2858000000,4301000000,2012-12-31,4535000000,2265000000,811000000,None,816000000,None,None,302000000,None,None,None,1677000000,2858000000,None,USD,0,0,12835000000
None,9338000000,9338000000,None,1288000000,2880000000,4168000000,2011-12-31,4427000000,2262000000,778000000,None,869000000,None,None,1408000000,None,None,None,1547000000,2880000000,None,USD,0,0,13765000000
None,9984000000,9984000000,None,1258000000,3384000000,4642000000,2010-12-31,4943000000,5195000000,2112000000,None,904000000,None,None,2808000000,None,None,None,-908000000,5851000000,None,USD,0,0,14927000000
None,6896000000,6896000000,None,1319000000,2763000000,4082000000,2009-12-31,7902000000,1874000000,596000000,None,889000000,None,None,1287000000,None,None,None,5333000000,2569000000,None,USD,0,0,14798000000
None,7600000000,7600000000,None,1191000000,3442000000,4633000000,2008-12-31,8295000000,2613000000,953000000,None,829000000,None,None,1834000000,None,None,None,4811000000,3484000000,None,USD,None,None,15895000000
None,6716000000,6716000000,None,1533000000,1932000000,3465000000,2007-12-31,8958000000,4488000000,1783000000,None,941000000,None,None,2539000000,None,None,None,7026000000,1932000000,None,USD,None,None,15674000000
None,6654000000,6654000000,None,1739000000,3318000000,5057000000,2006-12-31,9643000000,2457000000,927000000,None,1030000000,None,None,1380000000,None,None,None,6325000000,3318000000,None,USD,None,None,16297000000
None,9115000000,9115000000,None,1538000000,2387000000,3925000000,2005-12-31,8694000000,1606000000,573000000,None,966000000,None,None,1033000000,None,None,None,6307000000,2387000000,None,USD,None,None,17809000000
