accumulatedDepreciationAmortizationPPE,capitalLeaseObligations,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,currentAccountsPayable,currentDebt,currentLongTermDebt,currentNetReceivables,deferredRevenue,fiscalDateEnding,goodwill,intangibleAssets,intangibleAssetsExcludingGoodwill,inventory,investments,longTermDebt,longTermDebtNoncurrent,longTermInvestments,otherCurrentAssets,otherCurrentLiabilities,otherNonCurrentAssets,otherNonCurrentLiabilities,propertyPlantEquipment,reportedCurrency,retainedEarnings,shortLongTermDebtTotal,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalNonCurrentAssets,totalNonCurrentLiabilities,totalShareholderEquity,treasuryStock
None,None,1803000000,1803000000,71738000000,2158000000,7060000000,None,8258000000,7385000000,None,2024-12-31,36600000000,4587000000,4587000000,1488000000,None,93414000000,None,20691000000,2487000000,6463000000,None,13258000000,131889000000,CAD,-20046000000,101672000000,8258000000,None,218973000000,13163000000,23812000000,150080000000,205810000000,126268000000,65900000000,None
None,None,5901000000,5901000000,69180000000,2058000000,4308000000,None,6484000000,4842000000,None,2023-12-31,31848000000,3537000000,3537000000,1479000000,None,74715000000,None,16793000000,2177000000,4870000000,None,8653000000,105310000000,CAD,-17115000000,81199000000,6484000000,-996000000,180317000000,14399000000,17435000000,115834000000,165918000000,98399000000,61454000000,None
None,None,861000000,861000000,64760000000,2029000000,5340000000,None,8041000000,7366000000,None,2022-12-31,32440000000,4018000000,4018000000,2255000000,None,72939000000,None,15936000000,604000000,6140988800,None,9189000000,105140000000,CAD,-15486000000,81019000000,8041000000,660000000,179608000000,12147000000,20301000000,116210000000,167461000000,95909000000,59887000000,None
None,None,286000000,286000000,64799000000,2025000000,4560000000,None,7679000000,6181000000,None,2021-12-31,32775000000,4008000000,4008000000,1670000000,None,67961000000,None,13324000000,259000000,717000000,None,7617000000,100067000000,CAD,-10989000000,75673000000,7679000000,64000000,168864000000,8959000000,18229000000,105496000000,159905000000,87267000000,60826000000,None
None,None,452000000,452000000,64768000000,2021000000,3519000000,None,4078000000,5001000000,None,2020-12-31,32700000000,2080000000,2080000000,1536000000,None,62819000000,None,13818000000,361000000,896000000,None,8783000000,95403000000,CAD,-9995000000,66995000000,4078000000,13818000000,160276000000,7350000000,13979000000,95913000000,152938000000,81934000000,61367000000,None
0,0,648000000,648000000,64746000000,2020000000,4536000000,None,5302000000,6523000000,None,2019-12-31,33153000000,2173000000,2173000000,1299000000,None,59661000000,None,16528000000,1210000000,5282000000,None,8324000000,94525000000,CAD,-6314000000,64963000000,5302000000,0,163269000000,8825000000,16010000000,93862000000,154444000000,77852000000,66043000000,0
0,0,518000000,518000000,64677000000,1727000000,4604000000,None,4283000000,5288000000,None,2018-12-31,34459000000,2372000000,2372000000,1339000000,None,60327000000,None,16707000000,1427000000,5167000000,None,8834000000,94540000000,CAD,-5538000000,64610000000,4283000000,22000000,166905000000,8572000000,14855000000,93470000000,158333000000,78615000000,69470000000,0
0,0,480000000,480000000,50737000000,1532000000,5135000000,None,4315000000,7100000000,None,2017-12-31,34457000000,3267000000,3267000000,1528000000,None,60865000000,None,16644000000,107000000,5174000000,None,7510000000,90711000000,CAD,-2468000000,65180000000,4315000000,8000000,162093000000,9215000000,14624000000,96361000000,152878000000,81737000000,58135000000,-0.02
0,0,2117000000,2117000000,10492000000,918000000,3718000000,None,5074000000,5024000000,None,2016-12-31,78000000,1573000000,1573000000,1233000000,None,36494000000,None,6836000000,1232000000,3715000000,None,1441000000,64284000000,CAD,-716000000,41568000000,5074000000,0.01,85832000000,8410000000,12966000000,63869000000,77422000000,50903000000,21386000000,-0.01
0,0,1015000000,1015000000,7391000000,858000000,561000000,None,363258747.40,3757000000,None,2015-12-31,80000000,1348000000,1348000000,1111000000,None,39391000000,None,999317133.58,1714000000,6838000000,None,0,64434000000,CAD,142000000,42490000000,2950000000,2000000,84664000000,7597000000,10814000000,64466000000,77067000000,53652000000,18898000000,-0.01
