capitalExpenditures,cashflowFromFinancing,cashflowFromInvestment,changeInCashAndCashEquivalents,changeInExchangeRate,changeInInventory,changeInOperatingAssets,changeInOperatingLiabilities,changeInReceivables,depreciationDepletionAndAmortization,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,fiscalDateEnding,netIncome,operatingCashflow,paymentsForOperatingActivities,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromOperatingActivities,proceedsFromRepaymentsOfShortTermDebt,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,profitLoss,reportedCurrency
6930000000,3544000000,-20363000000,None,None,177000000,None,None,None,5167000000,8262000000,8262000000,None,2024-12-31,5631000000,12600000000,None,None,None,None,None,None,None,None,None,2485000000,None,None,CAD
4876000000,-2864000000,-6043000000,None,None,763000000,None,None,None,4613000000,7628000000,7628000000,None,2023-12-31,6058000000,14201000000,None,None,None,None,None,None,None,None,None,-125000000,None,None,CAD
4821000000,-5428000000,-5270000000,None,None,-599000000,None,None,None,4317000000,7306000000,7306000000,None,2022-12-31,2938000000,11230000000,None,None,None,None,None,None,None,None,None,-1154000000,None,None,CAD
8093000000,1236000000,-10657000000,None,None,-118000000,None,None,None,3852000000,7133000000,7133000000,None,2021-12-31,6314000000,9256000000,None,None,None,None,None,None,None,None,None,-415000000,None,None,CAD
5620000000,-4770000000,-5177000000,None,None,-254000000,None,None,None,3712000000,6940000000,6940000000,None,2020-12-31,3416000000,9781000000,None,None,None,None,None,None,None,None,None,6995000000,None,None,CAD
5692000000,-4745000000,-4658000000,0,0,-24000000,None,None,0,3391000000,6356000000,6356000000,None,2019-12-31,5827000000,9398000000,None,None,None,None,None,None,None,None,None,-300000000,None,None,CAD
7346000000,-7503000000,-1634000000,0,0,164000000,None,None,0,3246000000,3844000000,3844000000,None,2018-12-31,3333000000,10502000000,None,None,None,None,None,None,None,None,None,-210000000,None,None,CAD
8864000000,3476000000,-11002000000,0,0,-289000000,None,None,0,3163000000,3080000000,3080000000,None,2017-12-31,3266000000,6584000000,None,None,None,None,None,None,None,None,None,10693000000,None,None,CAD
5255000000,1102000000,-5192000000,0,0,-371000000,None,None,0,2240000000,1443000000,1443000000,None,2016-12-31,2309000000,5211000000,None,None,None,None,None,None,None,None,None,4831000000,None,None,CAD
7374000000,2973000000,-7933000000,0,0,-315000000,None,None,0,2024000000,1238000000,1238000000,None,2015-12-31,376000000,4571000000,None,None,None,None,None,None,None,None,None,4686000000,None,None,CAD
10732000000,9770000000,-11891000000,None,None,-186000000,None,None,None,1577000000,994000000,994000000,None,2014-12-31,1562000000,2547000000,None,None,None,None,None,None,None,None,None,11713000000,None,None,CAD
8447000000,5070000000,-9431000000,None,None,-315000000,None,None,None,1370000000,852000000,852000000,None,2013-12-31,629000000,3341000000,None,None,None,None,None,None,None,None,None,5480000000,None,None,CAD
5631000000,4395000000,-6204000000,None,None,42000000,None,None,None,1206000000,690000000,690000000,None,2012-12-31,1015000000,2874000000,None,None,None,None,None,None,None,None,None,5232000000,None,None,CAD
2681000000,1380000000,-4017000000,None,None,93000000,None,None,None,937000000,537000000,537000000,None,2011-12-31,1227000000,3371000000,None,None,None,None,None,None,None,None,None,2003000000,None,None,CAD
2407000000,749000000,-2674000000,None,None,-42000000,None,None,None,864000000,433000000,433000000,None,2010-12-31,970000000,1851000000,None,None,None,None,None,None,None,None,None,2305000000,None,None,CAD
3320000000,1109000000,-3306000000,None,None,99000000,None,None,None,764000000,454000000,454000000,None,2009-12-31,1562000000,2017000000,None,None,None,None,None,None,None,None,None,2132000000,None,None,CAD
3635700000,1840200000,-2852900000,None,None,-135300000,None,None,None,658500000,366100000,366100000,None,2008-12-31,1327700000,1387700000,None,None,None,None,None,None,None,None,None,1117800000,None,None,CAD
2299199523,904200020,-2255900288,None,None,159500447,None,None,None,596900387,459199523,459199523,None,2007-12-31,707100010,1378699970,None,None,None,None,None,None,None,None,None,601000000,None,None,CAD
1185300559,268099953,-1580000000,None,None,134099487,None,None,None,587399814,410000000,410000000,None,2006-12-31,622299627,1297700373,None,None,None,None,None,None,None,None,None,63000000,None,None,CAD
680600070,-22100244,-833000349,None,None,-215699500,None,None,None,575299453,367999767,367999767,None,2005-12-31,562900337,903500407,None,None,None,None,None,None,None,None,None,54000000,None,None,CAD
