comprehensiveIncomeNetOfTax,costOfRevenue,costofGoodsAndServicesSold,depreciation,depreciationAndAmortization,ebit,ebitda,fiscalDateEnding,grossProfit,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,interestExpense,interestIncome,investmentIncomeNet,netIncome,netIncomeFromContinuingOperations,netInterestIncome,nonInterestIncome,operatingExpenses,operatingIncome,otherNonOperatingIncome,reportedCurrency,researchAndDevelopment,sellingGeneralAndAdministrative,totalRevenue
None,34207000000,34207000000,None,5167000000,11700000000,16867000000,2024-12-31,19266000000,7299000000,1668000000,None,4401000000,2972000000,None,5441000000,5631000000,-4419000000,None,9617000000,9649000000,None,CAD,None,9442000000,53473000000
None,25979000000,25979000000,None,4613000000,11736000000,16349000000,2023-12-31,17670000000,7879000000,1821000000,None,3822000000,1412000000,None,6191000000,6058000000,-3812000000,None,9019000000,8651000000,None,CAD,None,135000000,43649000000
None,36906000000,36906000000,None,4317000000,7766000000,12083000000,2022-12-31,16403000000,4542000000,1604000000,None,3224000000,2170000000,None,3003000000,2938000000,-3179000000,None,11225000000,5178000000,None,CAD,None,239000000,53309000000
None,32554000000,32554000000,None,3852000000,10434000000,14286000000,2021-12-31,14517000000,7729000000,1415000000,None,2705000000,608000000,None,6189000000,6314000000,-2655000000,None,6712000000,7805000000,None,CAD,None,150000000,47071000000
None,24381000000,24381000000,None,3712000000,5620000000,9332000000,2020-12-31,14706000000,4190000000,774000000,None,2844000000,1473000000,None,3363000000,3416000000,-2790000000,None,6749000000,7957000000,None,CAD,None,6749000000,39087000000
None,34395000000,34395000000,None,3391000000,8783000000,12174000000,2019-12-31,15674000000,7535000000,1708000000,None,2730000000,683000000,None,5705000000,5827000000,-2663000000,None,6991000000,8260000000,0,CAD,0,6991000000,50069000000
None,32647000000,32647000000,None,3246000000,4390000000,7636000000,2018-12-31,13731000000,3570000000,237000000,None,2834000000,1716000000,None,2882000000,3333000000,-2703000000,None,6792000000,4816000000,0,CAD,0,6792000000,46378000000
None,31800000000,31800000000,None,3163000000,2564000000,5727000000,2017-12-31,12578000000,569000000,-2697000000,None,2826000000,1217000000,None,2859000000,3266000000,-2556000000,None,6442000000,1571000000,0,CAD,0,6442000000,44378000000
None,26245000000,26245000000,None,2240000000,3613000000,5853000000,2016-12-31,8315000000,2451000000,142000000,None,1590000000,1007000000,None,2069000000,2309000000,-1564000000,None,4358000000,2581000000,0,CAD,0,4360000000,34560000000
None,27265000000,27265000000,None,2024000000,1284000000,3308000000,2015-12-31,6529000000,11000000,170000000,None,1624000000,2442000000,None,251000000,-22614777.15,None,None,4227000000,1862000000,0,CAD,0,4248000000,33794000000
None,31060000000,31060000000,None,1577000000,3039000000,4616000000,2014-12-31,6581000000,2173000000,611000000,None,1080000000,None,None,1405000000,1344118406.33,None,None,3378000000,3200000000,None,CAD,0,3281000000,37641000000
None,28177000000,28177000000,None,1370000000,1327000000,2697000000,2013-12-31,4741000000,613000000,123000000,None,907000000,None,None,629000000,461263296.62,None,None,3375000000,1365000000,None,CAD,0,3014000000,32918000000
None,20992000000,20992000000,None,1206000000,1859000000,3065000000,2012-12-31,4314000000,1071000000,128000000,None,841000000,None,None,715000000,0,None,None,2802000000,1512000000,None,CAD,0,2890000000,25306000000
None,14854000000,14854000000,None,937000000,2227000000,3164000000,2011-12-31,4548000000,1628000000,568000000,None,711000000,None,None,1004000000,0,None,None,2657000000,1891000000,None,CAD,0,2259000000,19402000000
None,11291000000,11291000000,None,864000000,1984000000,2848000000,2010-12-31,3836000000,1231000000,251000000,None,687000000,None,None,970000000,0,None,None,2330000000,1506000000,None,CAD,0,2032000000,15127000000
None,9011000000,9011000000,None,764000000,2473000000,3237000000,2009-12-31,3455000000,1868000000,306000000,None,597000000,None,None,1562000000,0,None,None,2194000000,1261000000,None,CAD,0,1430000000,12466000000
None,12792000000,12792000000,None,658500000,2443500000,3102000000,2008-12-31,3339300000,1836600000,508900000,None,550800000,None,None,1327700000,0,None,None,1970600000,1368700000,None,CAD,0,1312200000,16131300000
None,9009500447,9009500447,None,596900387,1149099216,1745999603,2007-12-31,2909899692,916299533,209199523,None,37900487,None,None,707100010,0,None,None,1760599861,1149299831,None,CAD,0,1163700467,11919400139
None,7824600419,7824600419,None,587399814,1040499768,1627899582,2006-12-31,2819899814,814600419,192299627,None,225900514,None,None,622299627,0,None,None,1671599487,1148300326,None,CAD,0,1084199674,10644500233
None,5728399814,5728399814,None,575299453,1091800210,1667099663,2005-12-31,2724700547,784200488,221300151,None,75999536,None,None,562900337,0,None,None,1632900337,1091800209,None,CAD,0,1057599721,8453100361
